acc:aMSumattantra,41686:aMSumattantra:n:
acc:aMSumadBedasaMgraha,4:aMSumadBedasaMgraha:n:
acc:akaqamacakracitra,6:akaqamacakracitra:n:
acc:akaTahacakra,41687:akaTahacakra:n:
acc:akaTahacakra,41687:akaTahacakra:n:
acc:akabarIyakAlidAsa,4022:akabarIyakAlidAsa:n:
acc:akAlaBAskara,9:akAlaBAskara:n:
acc:akulAgamatantra,10:akulAgamatantra:n:
acc:akulAgameyogasArasamuccayaH,31312:akulAgameyogasArasamuccayaH:n:
acc:akzatAdilakzapUjAviDi,11:akzatAdilakzapUjAviDi:n:
acc:akzayakavaca,41690:akzayakavaca:n:
acc:akzayatftIyAvratakaTA,15:akzayatftIyAvratakaTA:n:
acc:akzayavaMSakavaca,41693:akzayavaMSakavaca:n:
acc:akzayaSAstrin,16:akzayaSAstrin:n:
acc:akzoByatantre,41695:akzoByatantre:n:
acc:akzoByatIrTa,23:akzoByatIrTa:n:
acc:akzoByasaMhitAyAmugratArAsahasranAma,39271:akzoByasaMhitAyAmugratArAsahasranAma:n:
acc:akzyupanizad,24:akzyupanizad:n:
acc:agaRitacAra,34:agaRitacAra:n:
acc:agastikalpa,31314:agastikalpa:n:
acc:agastyArGaviDi,42:agastyArGaviDi:n:
acc:agastyArGyaviDi,39273:agastyArGyaviDi:n:
acc:agAravinoda,43:agAravinoda:n:
acc:agni,31317:agni:n:
acc:agnikArya,46:agnikArya:n:
acc:agnikAryapadDati,31318:agnikAryapadDati:n:
acc:agnikumAra,48:agnikumAra:n:
acc:agnikzamApuzpa,29972:agnikzamApuzpa:n:
acc:agnicayanakArikA,51:agnicayanakArikA:n:
acc:agnicayanapadDati,41701:agnicayanapadDati:n:
acc:agnicitikArikA,53:agnicitikArikA:n:
acc:agnicitkArikA,39274:agnicitkArikA:n:
acc:agnibrAhmaRa,61:agnibrAhmaRa:n:
acc:agnimAndyaharaprAyaScitta,31322:agnimAndyaharaprAyaScitta:n:
