ap90:aMSayitf,8:aMSayitf:n:
ap90:aMSala,6:aMSala:n:
ap90:aMSukaM,13:aMSukaM:n:
ap90:aMSumat,12:aMSumat:n:
ap90:aMSula,14:aMSula:n:
ap90:aMSya,10:aMSya:n:
ap90:aMhu,28:aMhu:n:
ap90:aMhura,20:aMhura:n:
ap90:akarmaRya,49:akarmaRya:n:
ap90:akarman,47:akarman:n:
ap90:akUrca,90:akUrca:n:
ap90:akUvAra,89:akUvAra:n:
ap90:akftta,95:akftta:n:
ap90:akftya,94:akftya:n:
ap90:akzarI,137:akzarI:n:
ap90:akzarya,136:akzarya:n:
ap90:akzarya,136:akzarya:n:
ap90:akzavatI,120:akzavatI:n:
ap90:agnAyI,214:agnAyI:n:
ap90:agniH,213:agniH:n:
ap90:agrAhya,233:agrAhya:n:
ap90:agrima,226:agrima:n:
ap90:agruH,234:agruH:n:
ap90:agre,229:agre:n:
ap90:aGarma,241:aGarma:n:
ap90:aGala,237:aGala:n:
ap90:aMkatiH,253:aMkatiH:n:
ap90:aMkanaM,249:aMkanaM:n:
ap90:aMkas,254:aMkas:n:
ap90:aMkasaM,250:aMkasaM:n:
ap90:aMkurakaH,259:aMkurakaH:n:
ap90:aMkurita,258:aMkurita:n:
ap90:aMkUzaH,265:aMkUzaH:n:
ap90:aMkfyat,263:aMkfyat:n:
ap90:aMkolikA,267:aMkolikA:n:
ap90:aMkya,252:aMkya:n:
ap90:aMgArakita,287:aMgArakita:n:
ap90:aMgAriH,286:aMgAriH:n:
ap90:aMgAryA,292:aMgAryA:n:
ap90:aMgikA,273:aMgikA:n:
ap90:aMgirasAmayanaM,298:aMgirasAmayanaM:n:
ap90:aMgirastama,295:aMgirastama:n:
ap90:aMgIkAraH,300:aMgIkAraH:n:
ap90:aMgIkf,299:aMgIkf:n:
ap90:aMgIkf,299:aMgIkf:n:
ap90:aMgIya,275:aMgIya:n:
ap90:aMgUzaH,309:aMgUzaH:n:
ap90:aMgya,276:aMgya:n:
ap90:acitvas,329:acitvas:n:
ap90:aciMtita,328:aciMtita:n:
ap90:aciMtita,328:aciMtita:n:
ap90:aciMtya,327:aciMtya:n:
ap90:acCaMdas,343:acCaMdas:n:
ap90:acCAvAkaH,340:acCAvAkaH:n:
ap90:acCuptA,348:acCuptA:n:
ap90:acCedika,346:acCedika:n:
ap90:ajakavaH,358:ajakavaH:n:
ap90:ajakA,353:ajakA:n:
ap90:ajana,367:ajana:n:
ap90:ajanaM,354:ajanaM:n:
ap90:ajananiH,369:ajananiH:n:
ap90:ajaniH,355:ajaniH:n:
ap90:ajarat,378:ajarat:n:
ap90:ajarya,377:ajarya:n:
ap90:ajahA,384:ajahA:n:
ap90:ajA,356:ajA:n:
ap90:aMcalaH,429:aMcalaH:n:
ap90:aMcita,427:aMcita:n:
ap90:awaru,455:awaru:n:
ap90:awala,454:awala:n:
ap90:aqqacalaH,471:aqqacalaH:n:
ap90:aqqanaM,470:aqqanaM:n:
ap90:aRIyas,481:aRIyas:n:
ap90:aRu,476:aRu:n:
ap90:aRUBU,482:aRUBU:n:
ap90:aMwA,453:aMwA:n:
ap90:aMqIraH,488:aMqIraH:n:
ap90:aRvaM,480:aRvaM:n:
ap90:aRvaM,480:aRvaM:n:
ap90:aRvI,479:aRvI:n:
ap90:atadguRaH,496:atadguRaH:n:
ap90:atanaM,491:atanaM:n:
ap90:atikramaRIya,524:atikramaRIya:n:
ap90:atikrAMta,522:atikrAMta:n:
ap90:atigaMDAlu,533:atigaMDAlu:n:
ap90:atigam,529:atigam:n:
ap90:atitaraRaM,564:atitaraRaM:n:
ap90:atitarAM,560:atitarAM:n:
ap90:atitArin,565:atitArin:n:
ap90:atitIvra,561:atitIvra:n:
ap90:atiTigvaH,568:atiTigvaH:n:
ap90:atiTin,567:atiTin:n:
ap90:atidevaH,576:atidevaH:n:
ap90:atideSaH,573:atideSaH:n:
ap90:atipattiH,596:atipattiH:n:
ap90:atipatraH,592:atipatraH:n:
ap90:atipara,599:atipara:n:
ap90:atiparicayaH,598:atiparicayaH:n:
ap90:atiparokza,600:atiparokza:n:
ap90:atipAtaH,588:atipAtaH:n:
ap90:atipAtakaM,601:atipAtakaM:n:
ap90:atipAtita,589:atipAtita:n:
ap90:atiprage,604:atiprage:n:
ap90:atiprabaMDaH,603:atiprabaMDaH:n:
ap90:atiprAQA,609:atiprAQA:n:
ap90:atiprezitaM,608:atiprezitaM:n:
ap90:atiBavaH,617:atiBavaH:n:
ap90:atiBIH,615:atiBIH:n:
ap90:atirikta,647:atirikta:n:
ap90:atiric,646:atiric:n:
ap90:atirUpa,652:atirUpa:n:
ap90:atirekaH,648:atirekaH:n:
ap90:ativartin,678:ativartin:n:
ap90:ativartula,663:ativartula:n:
ap90:ativarDanaM,680:ativarDanaM:n:
ap90:ativah,664:ativah:n:
ap90:ativAsaH,672:ativAsaH:n:
ap90:ativAhaH,665:ativAhaH:n:
ap90:ativyAptiH,687:ativyAptiH:n:
ap90:ativrahmacaryaM,613:ativrahmacaryaM:n:
ap90:atiSayin,696:atiSayin:n:
ap90:atiSarvaraM,689:atiSarvaraM:n:
ap90:atiSAyin,698:atiSAyin:n:
ap90:atiSI,691:atiSI:n:
ap90:atisarjanaM,720:atisarjanaM:n:
ap90:atisarpaRaM,709:atisarpaRaM:n:
ap90:atisAMvatsara,712:atisAMvatsara:n:
ap90:atisAMtapanaM,711:atisAMtapanaM:n:
ap90:atisArin,717:atisArin:n:
ap90:atisf,714:atisf:n:
ap90:atisnehaH,724:atisnehaH:n:
ap90:atisparSa,723:atisparSa:n:
ap90:atf,749:atf:n:
ap90:atfRAdaH,741:atfRAdaH:n:
ap90:attf,810:attf:n:
ap90:atTitiH,7878:atTitiH:n:
ap90:atTitiH,7878:atTitiH:n:
ap90:atnaM,750:atnaM:n:
ap90:atyaMhas,753:atyaMhas:n:
ap90:atyaH,752:atyaH:n:
ap90:atyaya,762:atyaya:n:
ap90:atyayaH,728:atyayaH:n:
ap90:atyAkam,768:atyAkam:n:
ap90:atyAkAraH,767:atyAkAraH:n:
ap90:atyADAnaM,772:atyADAnaM:n:
ap90:atyAnaMdA,771:atyAnaMdA:n:
ap90:aTarya,799:aTarya:n:
ap90:aTaryati,798:aTaryati:n:
ap90:aTarvaRiH,803:aTarvaRiH:n:
ap90:aTarvan,802:aTarvan:n:
ap90:aTavA,808:aTavA:n:
ap90:aTo,796:aTo:n:
ap90:adoza,870:adoza:n:
ap90:adohaH,869:adohaH:n:
ap90:adruh,888:adruh:n:
ap90:adreSya,864:adreSya:n:
ap90:aDamArgavaH,923:aDamArgavaH:n:
ap90:aDara,906:aDara:n:
ap90:aDarAcIna,913:aDarAcIna:n:
ap90:aDarAMc,912:aDarAMc:n:
ap90:aDarAMc,912:aDarAMc:n:
ap90:aDarIkf,907:aDarIkf:n:
ap90:aDarIRa,909:aDarIRa:n:
ap90:aDarIBU,908:aDarIBU:n:
ap90:aDikarmikaH,933:aDikarmikaH:n:
ap90:aDikAma,927:aDikAma:n:
ap90:aDikAritA,936:aDikAritA:n:
ap90:aDikArin,935:aDikArin:n:
ap90:aDikArin,935:aDikArin:n:
ap90:aDikf,928:aDikf:n:
ap90:aDigaMtf,949:aDigaMtf:n:
ap90:aDigam,945:aDigam:n:
ap90:aDinirRij,969:aDinirRij:n:
ap90:aDinI,967:aDinI:n:
ap90:aDipAMSula,974:aDipAMSula:n:
ap90:aDipAH,973:aDipAH:n:
ap90:aDibalaM,979:aDibalaM:n:
ap90:aDiBAtika,6222:aDiBAtika:n:
ap90:aDivaktf,1009:aDivaktf:n:
ap90:aDivac,1008:aDivac:n:
ap90:aDivastra,1013:aDivastra:n:
ap90:aDivAkaH,1011:aDivAkaH:n:
ap90:aDivAs,1016:aDivAs:n:
ap90:aDivAsaH,1014:aDivAsaH:n:
ap90:aDivAsita,1020:aDivAsita:n:
ap90:aDivAsin,1019:aDivAsin:n:
ap90:aDiSayita,1029:aDiSayita:n:
ap90:aDiSI,1028:aDiSI:n:
ap90:aDiSrayaRaM,1032:aDiSrayaRaM:n:
ap90:aDiSri,1030:aDiSri:n:
ap90:aDizWAnaM,1039:aDizWAnaM:n:
ap90:aDizWita,1037:aDizWita:n:
ap90:aDIkAraH,1055:aDIkAraH:n:
ap90:aDIta,1043:aDIta:n:
ap90:aDImaMTa,1057:aDImaMTa:n:
ap90:aDIyAnaH,1046:aDIyAnaH:n:
ap90:aDopahAsaH,919:aDopahAsaH:n:
ap90:aDyakza,1074:aDyakza:n:
ap90:aDyaya,1082:aDyaya:n:
ap90:aDyayaH,1047:aDyayaH:n:
ap90:aDyavasita,1089:aDyavasita:n:
ap90:aDyavaso,1085:aDyavaso:n:
ap90:aDyasta,1094:aDyasta:n:
ap90:aDyasTi,1092:aDyasTi:n:
ap90:aDyApaka,1100:aDyApaka:n:
ap90:aDyApakaH,1049:aDyApakaH:n:
ap90:aDyAs,1108:aDyAs:n:
ap90:aDyAsaH,1095:aDyAsaH:n:
ap90:aDyAhAraH,1111:aDyAhAraH:n:
ap90:aDyuzita,1015:aDyuzita:n:
ap90:aDyUhanaM,1117:aDyUhanaM:n:
ap90:aDyetf,1054:aDyetf:n:
ap90:anaMSumatPalA,1135:anaMSumatPalA:n:
ap90:anaH,1132:anaH:n:
ap90:anakasmAt,1140:anakasmAt:n:
ap90:anakz,1137:anakz:n:
ap90:anaqutka,1155:anaqutka:n:
ap90:anaquh,1154:anaquh:n:
ap90:anadyatana,1161:anadyatana:n:
ap90:anadryaH,1160:anadryaH:n:
ap90:anaDyAyaH,1168:anaDyAyaH:n:
ap90:ananaM,1133:ananaM:n:
ap90:anaMtarAya,1178:anaMtarAya:n:
ap90:anaMtarIya,1176:anaMtarIya:n:
ap90:anaMtargarBin,1179:anaMtargarBin:n:
ap90:anaMtavat,1174:anaMtavat:n:
ap90:anaMtavat,1174:anaMtavat:n:
ap90:anaMtya,1173:anaMtya:n:
ap90:anapraSnaH,1747:anapraSnaH:n:
ap90:anapsaras,1210:anapsaras:n:
ap90:anarTya,1237:anarTya:n:
ap90:anarDya,1235:anarDya:n:
ap90:anavekza,1277:anavekza:n:
ap90:anavekzaka,1276:anavekzaka:n:
ap90:anAgaMDita,1305:anAgaMDita:n:
ap90:anAgama,1301:anAgama:n:
ap90:anAgas,1306:anAgas:n:
ap90:anAgAmin,1303:anAgAmin:n:
ap90:anAtmaka,1312:anAtmaka:n:
ap90:anAtman,1311:anAtman:n:
ap90:anAmaka,1345:anAmaka:n:
ap90:anAman,1344:anAman:n:
ap90:anAmayitnu,1349:anAmayitnu:n:
ap90:anAmA,1346:anAmA:n:
ap90:anAraBya,1361:anAraBya:n:
ap90:anAraMBaH,1360:anAraMBaH:n:
ap90:anAsrAva,1400:anAsrAva:n:
ap90:anAsvAda,1398:anAsvAda:n:
ap90:anAharin,1403:anAharin:n:
ap90:anAhAra,1402:anAhAra:n:
ap90:animiza,1432:animiza:n:
ap90:animizaM,1431:animizaM:n:
ap90:anirloqita,1460:anirloqita:n:
ap90:anirvacanIya,1449:anirvacanIya:n:
ap90:anirviRRa,1453:anirviRRa:n:
ap90:anirvida,1452:anirvida:n:
ap90:anirvftiH,1456:anirvftiH:n:
ap90:anirvedaH,1454:anirvedaH:n:
ap90:anukalpaH,1522:anukalpaH:n:
ap90:anukAMkzA,1500:anukAMkzA:n:
ap90:anukArya,1515:anukArya:n:
ap90:anukAla,1503:anukAla:n:
ap90:anukramaRaM,1530:anukramaRaM:n:
ap90:anukrIH,1516:anukrIH:n:
ap90:anugatiH,1542:anugatiH:n:
ap90:anugam,1539:anugam:n:
ap90:anugAdin,1551:anugAdin:n:
ap90:anugAmin,1544:anugAmin:n:
ap90:anugItaM,1558:anugItaM:n:
ap90:anugIti,1552:anugIti:n:
ap90:anugItiH,1559:anugItiH:n:
ap90:anuguRa,1553:anuguRa:n:
ap90:anugrAsakaH,1564:anugrAsakaH:n:
ap90:anugrAhaka,1563:anugrAhaka:n:
ap90:anugrAhaka,1563:anugrAhaka:n:
ap90:anugrAhya,1562:anugrAhya:n:
ap90:anucarciH,1570:anucarciH:n:
ap90:anucArakaH,1569:anucArakaH:n:
ap90:anuja,1578:anuja:n:
ap90:anujan,1577:anujan:n:
ap90:anutaraM,1602:anutaraM:n:
ap90:anutarzaH,1595:anutarzaH:n:
ap90:anutarzaRaM,1596:anutarzaRaM:n:
ap90:anutApaH,1591:anutApaH:n:
ap90:anutUlanaM,1600:anutUlanaM:n:
ap90:anutUlayati,1599:anutUlayati:n:
ap90:anudarSanaM,1631:anudarSanaM:n:
ap90:anudA,1621:anudA:n:
ap90:anudfzwi,1632:anudfzwi:n:
ap90:anudeyI,1622:anudeyI:n:
ap90:anuDyeya,1653:anuDyeya:n:
ap90:anuDyE,1649:anuDyE:n:
ap90:anunayin,1664:anunayin:n:
ap90:anunAdaH,1655:anunAdaH:n:
ap90:anunAyika,1667:anunAyika:n:
ap90:anunAsika,1658:anunAsika:n:
ap90:anupadavI,1689:anupadavI:n:
ap90:anupadika,1686:anupadika:n:
ap90:anupamardanaM,1697:anupamardanaM:n:
ap90:anupameya,1696:anupameya:n:
ap90:anupaskAra,1711:anupaskAra:n:
ap90:anupaskfta,1710:anupaskfta:n:
ap90:anupAKya,1726:anupAKya:n:
ap90:anupAta,1725:anupAta:n:
ap90:anupAtakaM,1727:anupAtakaM:n:
ap90:anupAtin,1681:anupAtin:n:
ap90:anupArSva,1728:anupArSva:n:
ap90:anupAlanaM,1723:anupAlanaM:n:
ap90:anuplavaH,1759:anuplavaH:n:
ap90:anuplu,1758:anuplu:n:
ap90:anubadDa,1761:anubadDa:n:
ap90:anubaMD,1760:anubaMD:n:
ap90:anuBartf,1788:anuBartf:n:
ap90:anuBava,1773:anuBava:n:
ap90:anuBAvin,1784:anuBAvin:n:
ap90:anuBAzaRaM,1774:anuBAzaRaM:n:
ap90:anuBf,1787:anuBf:n:
ap90:anuBogaH,1778:anuBogaH:n:
ap90:anumatiH,1795:anumatiH:n:
ap90:anumatta,1791:anumatta:n:
ap90:anumatta,1791:anumatta:n:
ap90:anumad,1790:anumad:n:
ap90:anumAtf,1804:anumAtf:n:
ap90:anumAdya,1792:anumAdya:n:
ap90:anumAsaH,1812:anumAsaH:n:
ap90:anumitiH,1807:anumitiH:n:
ap90:anumf,1816:anumf:n:
ap90:anumeya,1809:anumeya:n:
ap90:anuyAjaH,1825:anuyAjaH:n:
ap90:anuyAtf,1820:anuyAtf:n:
ap90:anuyuktin,1828:anuyuktin:n:
ap90:anuyuj,1826:anuyuj:n:
ap90:anuyojanaM,1833:anuyojanaM:n:
ap90:anuyojya,1832:anuyojya:n:
ap90:anuraktiH,1836:anuraktiH:n:
ap90:anuraMj,1834:anuraMj:n:
ap90:anurasaH,1846:anurasaH:n:
ap90:anurasita,1845:anurasita:n:
ap90:anurahasa,1848:anurahasa:n:
ap90:anurAga,1840:anurAga:n:
ap90:anurUpataH,1858:anurUpataH:n:
ap90:anurodanaM,1852:anurodanaM:n:
ap90:anulIna,1865:anulIna:n:
ap90:anulepaH,1863:anulepaH:n:
ap90:anuvaktf,1874:anuvaktf:n:
ap90:anuvakra,1872:anuvakra:n:
ap90:anuvartman,1914:anuvartman:n:
ap90:anuvaSa,1888:anuvaSa:n:
ap90:anuvahaH,1892:anuvahaH:n:
ap90:anuvAkaH,1876:anuvAkaH:n:
ap90:anuvAtaH,1893:anuvAtaH:n:
ap90:anuvAdaH,1884:anuvAdaH:n:
ap90:anuvAsita,1897:anuvAsita:n:
ap90:anuvAsin,1890:anuvAsin:n:
ap90:anuvittiH,1899:anuvittiH:n:
ap90:anuvid,1898:anuvid:n:
ap90:anuveDaH,1924:anuveDaH:n:
ap90:anuvelaM,1918:anuvelaM:n:
ap90:anuvellita,1919:anuvellita:n:
ap90:anuveSaH,1907:anuveSaH:n:
ap90:anuvrata,1932:anuvrata:n:
ap90:anuvrAjya,1931:anuvrAjya:n:
ap90:anuSayin,1946:anuSayin:n:
ap90:anuSaraH,1935:anuSaraH:n:
ap90:anuSiSuH,1942:anuSiSuH:n:
ap90:anuSizwiH,1940:anuSizwiH:n:
ap90:anuSravaH,1954:anuSravaH:n:
ap90:anuSru,1953:anuSru:n:
ap90:anuzaMgin,1961:anuzaMgin:n:
ap90:anuzaMj,1956:anuzaMj:n:
ap90:anuzWa,1968:anuzWa:n:
ap90:anuzWA,1967:anuzWA:n:
ap90:anuzWiH,1975:anuzWiH:n:
ap90:anuzWita,1974:anuzWita:n:
ap90:anuzyaMdaH,1979:anuzyaMdaH:n:
ap90:anuzvaDa,1978:anuzvaDa:n:
ap90:anusaMhita,1988:anusaMhita:n:
ap90:anusaMcar,1981:anusaMcar:n:
ap90:anusaMtatiH,1984:anusaMtatiH:n:
ap90:anusaMtan,1983:anusaMtan:n:
ap90:anusamayaH,1991:anusamayaH:n:
ap90:anusamApanaM,1989:anusamApanaM:n:
ap90:anusamAhAraH,2023:anusamAhAraH:n:
ap90:anusami,1990:anusami:n:
