ccs:aMSumant,9:aMSumant:n:
ccs:aMsa,10:aMsa:n:
ccs:akzAralavaRASin,99:akzAralavaRASin:n:
ccs:akzi,100:akzi:n:
ccs:aNkya,29708:aNkya:n:
ccs:aNKay,199:aNKay:n:
ccs:aYjaHsava,304:aYjaHsava:n:
ccs:aYjana,301:aYjana:n:
ccs:atimUQa,394:atimUQa:n:
ccs:atiyaSa,29709:atiyaSa:n:
ccs:atoza,521:atoza:n:
ccs:atka,447:atka:n:
ccs:aTarvANgiras,476:aTarvANgiras:n:
ccs:ad,306:ad:n:
ccs:adaRqa,480:adaRqa:n:
ccs:adaRqayant,479:adaRqayant:n:
ccs:aDaHsTa,572:aDaHsTa:n:
ccs:aDana,549:aDana:n:
ccs:ananyamanas,698:ananyamanas:n:
ccs:ananyaruci,697:ananyaruci:n:
ccs:anaBisaMhitam,721:anaBisaMhitam:n:
ccs:anaBisaMDi,720:anaBisaMDi:n:
ccs:anudGAwya,952:anudGAwya:n:
ccs:anudGAta,951:anudGAta:n:
ccs:anupavacanIya,977:anupavacanIya:n:
ccs:anupasarga,970:anupasarga:n:
ccs:anumaraRa,988:anumaraRa:n:
ccs:anumAdya,29714:anumAdya:n:
ccs:anuroDa,999:anuroDa:n:
ccs:anuroDin,1000:anuroDin:n:
ccs:anuvyAKyAna,29716:anuvyAKyAna:n:
ccs:anuvrata,1016:anuvrata:n:
ccs:antaHsTa,1111:antaHsTa:n:
ccs:antaka,1069:antaka:n:
ccs:anyacitta,1147:anyacitta:n:
ccs:anyacintA,1146:anyacintA:n:
ccs:anyataHplakzA,29718:anyataHplakzA:n:
ccs:anyatama,1148:anyatama:n:
ccs:anyonyopamA,1184:anyonyopamA:n:
ccs:anyopatApin,1183:anyopatApin:n:
ccs:aparokzay,1303:aparokzay:n:
ccs:aparokzi,1301:aparokzi:n:
ccs:aBimara,29720:aBimara:n:
ccs:aBimarSa,1536:aBimarSa:n:
ccs:arbudodAsarpiRI,29728:arbudodAsarpiRI:n:
ccs:arBa,1867:arBa:n:
ccs:alaNGya,29730:alaNGya:n:
ccs:alajja,1900:alajja:n:
ccs:alalABavant,1904:alalABavant:n:
ccs:alas,1902:alas:n:
ccs:avipAla,29732:avipAla:n:
ccs:aviBakta,2109:aviBakta:n:
ccs:avizwa,2149:avizwa:n:
ccs:avizwam,2148:avizwam:n:
ccs:asaMnivftti,29734:asaMnivftti:n:
ccs:asaMnihita,2312:asaMnihita:n:
ccs:asaMBAzya,29735:asaMBAzya:n:
ccs:asaMBojya,2333:asaMBojya:n:
ccs:asvadita,29738:asvadita:n:
ccs:asvapnaj,2424:asvapnaj:n:
ccs:asvAmivikraya,29740:asvAmivikraya:n:
ccs:ah,2431:ah:n:
ccs:Akuli,29744:Akuli:n:
ccs:AkulI,2486:AkulI:n:
ccs:AkulI,2486:AkulI:n:
ccs:AkulIkar,2485:AkulIkar:n:
ccs:Akta,2585:Akta:n:
ccs:Akranda,2492:Akranda:n:
ccs:Akzepavalana,2502:Akzepavalana:n:
ccs:AkzepopamA,2501:AkzepopamA:n:
ccs:AjIvitAntam,29746:AjIvitAntam:n:
ccs:AjYapti,2560:AjYapti:n:
ccs:AttaganDa,29747:AttaganDa:n:
