mw72:aMSa,9:aMSa:n:
mw72:aMSaka,10:aMSaka:n:
mw72:akaTam,54542:akaTam:n:
mw72:akaTya,39:akaTya:n:
mw72:akarRADAra,53:akarRADAra:n:
mw72:akarRya,52:akarRya:n:
mw72:akarmaRya,58:akarmaRya:n:
mw72:akarman,56:akarman:n:
mw72:akula,98:akula:n:
mw72:akulI,54544:akulI:n:
mw72:akulIna,99:akulIna:n:
mw72:akuSala,100:akuSala:n:
mw72:akuhaka,54545:akuhaka:n:
mw72:akUpAra,104:akUpAra:n:
mw72:akUrca,106:akUrca:n:
mw72:akUvAra,105:akUvAra:n:
mw72:akftta,112:akftta:n:
mw72:akftya,111:akftya:n:
mw72:aknopana,54546:aknopana:n:
mw72:akra,136:akra:n:
mw72:akledya,152:akledya:n:
mw72:akleSa,151:akleSa:n:
mw72:akzaRvat,163:akzaRvat:n:
mw72:akzata,160:akzata:n:
mw72:akzaDara,54550:akzaDara:n:
mw72:akzan,162:akzan:n:
mw72:agadita,223:agadita:n:
mw72:agadya,222:agadya:n:
mw72:agastayas,232:agastayas:n:
mw72:agasti,231:agasti:n:
mw72:agfha,249:agfha:n:
mw72:ago,243:ago:n:
mw72:agrANguli,54553:agrANguli:n:
mw72:agrAmya,273:agrAmya:n:
mw72:agrAmya,273:agrAmya:n:
mw72:agrAhin,271:agrAhin:n:
mw72:agrAhya,272:agrAhya:n:
mw72:agrima,264:agrima:n:
mw72:agru,274:agru:n:
mw72:agre,267:agre:n:
mw72:aGawwita,8088:aGawwita:n:
mw72:aGana,280:aGana:n:
mw72:aGarma,281:aGarma:n:
mw72:aGala,277:aGala:n:
mw72:aGAtin,282:aGAtin:n:
mw72:aGAya,278:aGAya:n:
mw72:aGAsaka,54554:aGAsaka:n:
mw72:aGfRA,284:aGfRA:n:
mw72:aNkaBAj,54557:aNkaBAj:n:
mw72:aNkas,295:aNkas:n:
mw72:aNkAra,311:aNkAra:n:
mw72:aNkita,297:aNkita:n:
mw72:aNktvA,314:aNktvA:n:
mw72:aNkya,310:aNkya:n:
mw72:aNgatA,54559:aNgatA:n:
mw72:aNgati,324:aNgati:n:
mw72:aNgada,325:aNgada:n:
mw72:aNgana,317:aNgana:n:
mw72:aNgikA,338:aNgikA:n:
mw72:aNgin,321:aNgin:n:
mw72:aNgIkAra,346:aNgIkAra:n:
mw72:aNgIkf,344:aNgIkf:n:
mw72:aNgIkfti,348:aNgIkfti:n:
mw72:aNgIya,322:aNgIya:n:
mw72:acakzuzka,365:acakzuzka:n:
mw72:acakzus,364:acakzus:n:
mw72:acala,373:acala:n:
mw72:acApalya,370:acApalya:n:
mw72:acikitvas,377:acikitvas:n:
mw72:acikkaRA,375:acikkaRA:n:
mw72:acita,381:acita:n:
mw72:acitta,378:acitta:n:
mw72:acirA,390:acirA:n:
mw72:acizwu,383:acizwu:n:
mw72:acezwa,395:acezwa:n:
mw72:acEtanya,394:acEtanya:n:
mw72:acCavad,407:acCavad:n:
mw72:acCAya,398:acCAya:n:
mw72:acCidyamAna,412:acCidyamAna:n:
mw72:acCidra,411:acCidra:n:
mw72:acCuptA,416:acCuptA:n:
mw72:acCeta,409:acCeta:n:
mw72:acCedya,415:acCedya:n:
mw72:acCokti,410:acCokti:n:
mw72:acCodya,54563:acCodya:n:
mw72:acyuta,418:acyuta:n:
mw72:ajaTyA,429:ajaTyA:n:
mw72:ajana,422:ajana:n:
mw72:ajanani,433:ajanani:n:
mw72:ajani,431:ajani:n:
mw72:ajanta,54565:ajanta:n:
mw72:ajanya,434:ajanya:n:
mw72:ajjala,490:ajjala:n:
mw72:ajjukA,488:ajjukA:n:
mw72:ajmaDyasTa,54566:ajmaDyasTa:n:
mw72:ajman,502:ajman:n:
mw72:aYjalika,534:aYjalika:n:
mw72:aYjas,523:aYjas:n:
mw72:aYjika,535:aYjika:n:
mw72:aYjin,529:aYjin:n:
mw72:awala,554:awala:n:
mw72:awavi,545:awavi:n:
mw72:awRAra,564:awRAra:n:
mw72:awyA,551:awyA:n:
mw72:aRqaka,590:aRqaka:n:
mw72:aRqadala,54569:aRqadala:n:
mw72:aRqIra,593:aRqIra:n:
mw72:aRva,584:aRva:n:
mw72:atadguRa,605:atadguRa:n:
mw72:atana,596:atana:n:
mw72:atasAyya,623:atasAyya:n:
mw72:atasi,597:atasi:n:
mw72:atikrAnta,640:atikrAnta:n:
mw72:atikrAnti,54570:atikrAnti:n:
mw72:atigata,649:atigata:n:
mw72:atigam,647:atigam:n:
mw72:atitArya,683:atitArya:n:
mw72:atitfd,679:atitfd:n:
mw72:atideva,700:atideva:n:
mw72:atideSa,696:atideSa:n:
mw72:atipatti,727:atipatti:n:
mw72:atipattra,725:atipattra:n:
mw72:atipA,730:atipA:n:
mw72:atipAta,721:atipAta:n:
mw72:atiBAva,746:atiBAva:n:
mw72:atiBU,745:atiBU:n:
mw72:atirikta,771:atirikta:n:
mw72:atiric,770:atiric:n:
mw72:atiruc,774:atiruc:n:
mw72:atireka,772:atireka:n:
mw72:ativartin,791:ativartin:n:
mw72:ativalita,780:ativalita:n:
mw72:ativAsa,786:ativAsa:n:
mw72:ativAhana,782:ativAhana:n:
mw72:atividDa,787:atividDa:n:
mw72:ativipina,54572:ativipina:n:
mw72:ativela,793:ativela:n:
mw72:ativoQf,785:ativoQf:n:
mw72:atiSayin,806:atiSayin:n:
mw72:atiSastra,800:atiSastra:n:
mw72:atiSAyin,808:atiSAyin:n:
mw72:atiSI,802:atiSI:n:
mw72:atiSItam,810:atiSItam:n:
mw72:atiSeta,809:atiSeta:n:
mw72:atiSreyasi,813:atiSreyasi:n:
mw72:atiSrezWa,812:atiSrezWa:n:
mw72:atisanDam,822:atisanDam:n:
mw72:atisanDA,821:atisanDA:n:
mw72:atisarjana,835:atisarjana:n:
mw72:atisarva,826:atisarva:n:
mw72:atisArakin,832:atisArakin:n:
mw72:atisf,829:atisf:n:
mw72:atIkzRA,846:atIkzRA:n:
mw72:atIta,844:atIta:n:
mw72:attA,880:attA:n:
mw72:atti,878:atti:n:
mw72:atrasnu,939:atrasnu:n:
mw72:atri,935:atri:n:
mw72:atrijAta,940:atrijAta:n:
mw72:atrin,936:atrin:n:
mw72:aTarvaRi,953:aTarvaRi:n:
mw72:aTarvan,950:aTarvan:n:
mw72:aTarvan,950:aTarvan:n:
mw72:aTarvavid,54573:aTarvavid:n:
mw72:aTarvI,957:aTarvI:n:
mw72:aTo,945:aTo:n:
mw72:aTo,945:aTo:n:
mw72:aTyarbuda,1331:aTyarbuda:n:
mw72:adakza,965:adakza:n:
mw72:adakziRa,54574:adakziRa:n:
mw72:adaRqya,969:adaRqya:n:
mw72:adat,961:adat:n:
mw72:adadryaYc,974:adadryaYc:n:
mw72:adana,962:adana:n:
mw72:adamuyaYc,985:adamuyaYc:n:
mw72:adamBa,982:adamBa:n:
mw72:adAkziRya,999:adAkziRya:n:
mw72:adAtf,1000:adAtf:n:
mw72:adAnta,1008:adAnta:n:
mw72:adAnya,1003:adAnya:n:
mw72:adABya,1009:adABya:n:
mw72:adAman,1004:adAman:n:
mw72:adAyika,1011:adAyika:n:
mw72:adAyin,1005:adAyin:n:
mw72:adAra,1012:adAra:n:
mw72:adASu,1006:adASu:n:
mw72:adikka,1016:adikka:n:
mw72:aditi,1007:aditi:n:
mw72:adeSya,1055:adeSya:n:
mw72:adEva,1052:adEva:n:
mw72:adogDf,1059:adogDf:n:
mw72:adomada,1056:adomada:n:
mw72:adreSya,54576:adreSya:n:
mw72:adroGa,1081:adroGa:n:
mw72:aDaHkriyA,54577:aDaHkriyA:n:
mw72:aDana,1099:aDana:n:
mw72:aDaraya,54579:aDaraya:n:
mw72:aDarAk,1104:aDarAk:n:
mw72:aDikaraRya,1135:aDikaraRya:n:
mw72:aDikarmakara,1129:aDikarmakara:n:
mw72:aDikarmika,1137:aDikarmika:n:
mw72:aDikalpin,1130:aDikalpin:n:
mw72:aDikArin,1139:aDikArin:n:
mw72:aDikArma,1131:aDikArma:n:
mw72:aDigantf,1156:aDigantf:n:
mw72:aDigam,1153:aDigam:n:
mw72:aDija,1170:aDija:n:
mw72:aDijan,1169:aDijan:n:
mw72:aDipaTam,1200:aDipaTam:n:
mw72:aDipA,1199:aDipA:n:
mw72:aDiBojana,1214:aDiBojana:n:
mw72:aDiBOtika,1213:aDiBOtika:n:
mw72:aDivaktf,1247:aDivaktf:n:
mw72:aDivac,1246:aDivac:n:
mw72:aDivastra,1257:aDivastra:n:
mw72:aDivAka,1249:aDivAka:n:
mw72:aDivAs,1261:aDivAs:n:
mw72:aDivAsa,1252:aDivAsa:n:
mw72:aDivAsita,1259:aDivAsita:n:
mw72:aDivAsin,1254:aDivAsin:n:
mw72:aDivijYAna,54583:aDivijYAna:n:
mw72:aDivid,1268:aDivid:n:
mw72:aDividyam,1273:aDividyam:n:
mw72:aDivinnA,1269:aDivinnA:n:
