mw:aMS,9:aMS:n:
mw:aMSa,10:aMSa:n:
mw:aMSaka,39:aMSaka:n:
mw:aMSakaraRa,20:aMSakaraRa:n:
mw:aMSala,44:aMSala:n:
mw:aMSavat,28:aMSavat:n:
mw:aMSitA,46:aMSitA:n:
mw:aMSin,45:aMSin:n:
mw:aMSin,45:aMSin:n:
mw:aMSIkf,38:aMSIkf:n:
mw:aMSuka,81:aMSuka:n:
mw:aMSujAla,57:aMSujAla:n:
mw:aMSula,85:aMSula:n:
mw:aMSuvARa,76:aMSuvARa:n:
mw:aMsaPalaka,99:aMsaPalaka:n:
mw:aMsaBAra,100:aMsaBAra:n:
mw:aMsala,105:aMsala:n:
mw:aMseBAra,101:aMseBAra:n:
mw:aMhasaspati,122:aMhasaspati:n:
mw:aMhaspati,121:aMhaspati:n:
mw:aMhUraRa,131:aMhUraRa:n:
mw:aMhomuc,124:aMhomuc:n:
mw:aMhriSiras,113:aMhriSiras:n:
mw:aMhriskanDa,112:aMhriskanDa:n:
mw:akaraRIya,171:akaraRIya:n:
mw:akarA,165:akarA:n:
mw:akarmaRya,197:akarmaRya:n:
mw:akarman,186:akarman:n:
mw:akARqaSUla,230:akARqaSUla:n:
mw:akARqe,226:akARqe:n:
mw:akAlakzepam,49408:akAlakzepam:n:
mw:akAlaja,258:akAlaja:n:
mw:akAlajaladodaya,261:akAlajaladodaya:n:
mw:akAlajAta,259:akAlajAta:n:
mw:akAlajAta,259:akAlajAta:n:
mw:akAlatas,252:akAlatas:n:
mw:akAlikam,266:akAlikam:n:
mw:akAle,252:akAle:n:
mw:akiMcid,50373:akiMcid:n:
mw:akitava,275:akitava:n:
mw:akutaScidBaya,288:akutaScidBaya:n:
mw:akutas,284:akutas:n:
mw:akutra,290:akutra:n:
mw:akutracaBaya,289:akutracaBaya:n:
mw:akulatA,301:akulatA:n:
mw:akulA,298:akulA:n:
mw:akftitva,343:akftitva:n:
mw:akftin,342:akftin:n:
mw:akfttaruc,348:akfttaruc:n:
mw:akftya,344:akftya:n:
mw:aktA,380:aktA:n:
mw:akti,378:akti:n:
mw:akroDana,410:akroDana:n:
mw:akroDamaya,409:akroDamaya:n:
mw:akzaka,537:akzaka:n:
mw:akzakarRa,432:akzakarRa:n:
mw:akzakI,537:akzakI:n:
mw:akzakuSala,466:akzakuSala:n:
mw:akzacaraRa,536:akzacaraRa:n:
mw:akzaja,434:akzaja:n:
mw:akzata,542:akzata:n:
mw:akzatattva,471:akzatattva:n:
mw:akzatayoni,550:akzatayoni:n:
mw:akzatA,542:akzatA:n:
mw:akzatra,551:akzatra:n:
mw:akzadarSaka,526:akzadarSaka:n:
mw:akzadarSaka,526:akzadarSaka:n:
mw:akzadAya,473:akzadAya:n:
mw:akzadAya,473:akzadAya:n:
mw:akzadfkkarman,437:akzadfkkarman:n:
mw:akzadfS,527:akzadfS:n:
mw:akzadevana,474:akzadevana:n:
mw:akzadrugDa,480:akzadrugDa:n:
mw:akzadvAra,438:akzadvAra:n:
mw:akzaDUrta,483:akzaDUrta:n:
mw:akzaDUrtila,440:akzaDUrtila:n:
mw:akzan,552:akzan:n:
mw:akzanEpuRa,484:akzanEpuRa:n:
mw:akzanvat,669:akzanvat:n:
mw:akzapawala,528:akzapawala:n:
mw:akzapad,663:akzapad:n:
mw:akzaparAjaya,486:akzaparAjaya:n:
mw:akzapAwika,532:akzapAwika:n:
mw:akzapAta,488:akzapAta:n:
mw:akzapAda,665:akzapAda:n:
mw:akzapIqa,441:akzapIqa:n:
mw:akzapriya,490:akzapriya:n:
mw:akzaBA,443:akzaBA:n:
mw:akzamatA,556:akzamatA:n:
mw:akzamada,492:akzamada:n:
mw:akzamA,553:akzamA:n:
mw:akzamAtra,493:akzamAtra:n:
mw:akzayatftIyA,566:akzayatftIyA:n:
