pgn:acyutadAsa,84:acyutadAsa:n:
pgn:acyutanandin,34:acyutanandin:n:
pgn:acyutanandin,34:acyutanandin:n:
pgn:acyutaBadra,169:acyutaBadra:n:
pgn:ajapura,366:ajapura:n:
pgn:anantadevI,20:anantadevI:n:
pgn:aBayamitra,277:aBayamitra:n:
pgn:amaradatta,263:amaradatta:n:
pgn:ayoDyA,384:ayoDyA:n:
pgn:arkkadAsa,116:arkkadAsa:n:
pgn:avaqara,458:avaqara:n:
pgn:avamukta,445:avamukta:n:
pgn:avamukta,445:avamukta:n:
pgn:ahiSarmman,200:ahiSarmman:n:
pgn:AwavikarAja,316:AwavikarAja:n:
pgn:AdityabanDu,244:AdityabanDu:n:
pgn:AnandapuravAsaka,383:AnandapuravAsaka:n:
pgn:ABIra,314:ABIra:n:
pgn:AmrakArddava,65:AmrakArddava:n:
pgn:ArjunAyanas,315:ArjunAyanas:n:
pgn:AryAvartta,464:AryAvartta:n:
pgn:indrapura,369:indrapura:n:
pgn:indravizRu,37:indravizRu:n:
pgn:ISvaracandra,246:ISvaracandra:n:
pgn:ISvaravAsaka,385:ISvaravAsaka:n:
pgn:ugrasena,32:ugrasena:n:
pgn:uttarakuru,466:uttarakuru:n:
pgn:uttaramaRqala,352:uttaramaRqala:n:
pgn:uttaramaRqala,352:uttaramaRqala:n:
pgn:udicAryya,296:udicAryya:n:
pgn:udicAryya,296:udicAryya:n:
pgn:undAna,240:undAna:n:
pgn:upamita,297:upamita:n:
pgn:umayaSas,139:umayaSas:n:
pgn:Urjayat,483:Urjayat:n:
pgn:eraRqapalla,411:eraRqapalla:n:
pgn:eraRqapalla,411:eraRqapalla:n:
pgn:ErAvatagorAjya,359:ErAvatagorAjya:n:
pgn:ErAvatagorAjya,359:ErAvatagorAjya:n:
pgn:ErikiRa,354:ErikiRa:n:
pgn:kakuBa,400:kakuBa:n:
pgn:kaNkuwi,234:kaNkuwi:n:
pgn:kawaka,381:kawaka:n:
pgn:kapita,286:kapita:n:
pgn:kapita,286:kapita:n:
pgn:kapila,255:kapila:n:
pgn:kartfpura,370:kartfpura:n:
pgn:karppawika,275:karppawika:n:
pgn:kAkanAdabowa,465:kAkanAdabowa:n:
pgn:kAkas,319:kAkas:n:
pgn:kAYcI,448:kAYcI:n:
pgn:kAnteqadakagrAma,401:kAnteqadakagrAma:n:
pgn:kAnteqadakagrAma,401:kAnteqadakagrAma:n:
pgn:kAmanakuRqa,188:kAmanakuRqa:n:
pgn:kAmarUpa,447:kAmarUpa:n:
pgn:kAla,144:kAla:n:
pgn:kAlindI,471:kAlindI:n:
pgn:kASI,449:kASI:n:
pgn:kASI,449:kASI:n:
pgn:kIrttivizRu,221:kIrttivizRu:n:
pgn:kumAragupta,7:kumAragupta:n:
pgn:kumAradeva,135:kumAradeva:n:
pgn:kumAradevI,18:kumAradevI:n:
pgn:kumAraBava,171:kumAraBava:n:
pgn:kumArayaSas,248:kumArayaSas:n:
pgn:kumAravizRu,222:kumAravizRu:n:
pgn:kurAla,452:kurAla:n:
pgn:kurus,322:kurus:n:
pgn:kurus,322:kurus:n:
pgn:kuladAsa,173:kuladAsa:n:
pgn:kulavfdDi,79:kulavfdDi:n:
pgn:kuSika,287:kuSika:n:
pgn:kusTalapura,372:kusTalapura:n:
pgn:kfmilA,347:kfmilA:n:
pgn:kfmilA,347:kfmilA:n:
pgn:kfzRa,300:kfzRa:n:
pgn:kfzRa,300:kfzRa:n:
pgn:kfzRadatta,179:kfzRadatta:n:
pgn:kfzRadatta,179:kfzRadatta:n:
pgn:kfzRadAsa,106:kfzRadAsa:n:
pgn:kElASa,480:kElASa:n:
pgn:kEvarttaSarman,204:kEvarttaSarman:n:
pgn:kEvarttiSrezWin,94:kEvarttiSrezWin:n:
pgn:kowivarza,346:kowivarza:n:
pgn:kowwUra,451:kowwUra:n:
pgn:kotas,321:kotas:n:
pgn:kosala,450:kosala:n:
pgn:kramaSarmman,205:kramaSarmman:n:
pgn:kzetra,424:kzetra:n:
pgn:kzemadatta,146:kzemadatta:n:
pgn:KaRqaviquggurikakzetra,427:KaRqaviquggurikakzetra:n:
pgn:Karaparikas,320:Karaparikas:n:
pgn:KAdpAra,345:KAdpAra:n:
pgn:KAsaka,145:KAsaka:n:
pgn:gaNgA,468:gaNgA:n:
pgn:gaRapati,24:gaRapati:n:
pgn:gaReSvaravitAlapuzkariRI,444:gaReSvaravitAlapuzkariRI:n:
pgn:gaRqa,132:gaRqa:n:
pgn:guRekAgrahAragrAma,398:guRekAgrahAragrAma:n:
pgn:gupta,1:gupta:n:
pgn:gulmaganDikA,397:gulmaganDikA:n:
pgn:guha,231:guha:n:
pgn:guhanandin,284:guhanandin:n:
