pwg:agrataHsara,536:agrataHsara:n:
pwg:agratas,535:agratas:n:
pwg:aYjaHsava,1077:aYjaHsava:n:
pwg:aYjaka,1053:aYjaka:n:
pwg:aRvI,1187:aRvI:n:
pwg:aRvya,1140:aRvya:n:
pwg:anurvellita,3032:anurvellita:n:
pwg:anulApa,2976:anulApa:n:
pwg:anojas,63839:anojas:n:
pwg:anonimittam,63044:anonimittam:n:
pwg:antaHsveda,3398:antaHsveda:n:
pwg:antaka,3240:antaka:n:
pwg:anyastrIga,3593:anyastrIga:n:
pwg:anyasTAstotra,3562:anyasTAstotra:n:
pwg:apakASi,3828:apakASi:n:
pwg:apakukzi,3683:apakukzi:n:
pwg:apnaHsTa,4224:apnaHsTa:n:
pwg:apnarAj,4220:apnarAj:n:
pwg:apraketa,4240:apraketa:n:
pwg:apraklapta,4239:apraklapta:n:
pwg:aBisaMTA,4800:aBisaMTA:n:
pwg:aBisaMdadi,4798:aBisaMdadi:n:
pwg:amBaHsU,5350:amBaHsU:n:
pwg:amBas,5347:amBas:n:
pwg:ayaHsTURa,5464:ayaHsTURa:n:
pwg:ayakzma,5416:ayakzma:n:
pwg:ayukCada,5486:ayukCada:n:
pwg:ayukta,5483:ayukta:n:
pwg:arIhaRa,5702:arIhaRa:n:
pwg:arI|a,5701:arI|a:n:
pwg:aruHsrARa,5745:aruHsrARa:n:
pwg:arugRa,5706:arugRa:n:
pwg:arDuka,6003:arDuka:n:
pwg:arDumuzwi,5984:arDumuzwi:n:
pwg:avakrAmin,6266:avakrAmin:n:
pwg:avaklapti,6257:avaklapti:n:
pwg:aSreDant,7596:aSreDant:n:
pwg:aSreyaMs,7025:aSreyaMs:n:
pwg:azaqakzIRa,7190:azaqakzIRa:n:
pwg:azaRI,6073:azaRI:n:
pwg:ahaHsaMDimant,66007:ahaHsaMDimant:n:
pwg:ahaMkaraRa,65980:ahaMkaraRa:n:
pwg:ahnaya,7755:ahnaya:n:
pwg:ahnavAyya,7750:ahnavAyya:n:
pwg:AjunAvaka,9251:AjunAvaka:n:
pwg:Ajur,8143:Ajur:n:
pwg:Anupak,8661:Anupak:n:
pwg:AnupaTya,8637:AnupaTya:n:
pwg:ApoSAna,8795:ApoSAna:n:
pwg:AposUrti,8794:AposUrti:n:
pwg:AyaHSUlika,9031:AyaHSUlika:n:
pwg:Ayaka,9006:Ayaka:n:
pwg:ArDuka,9293:ArDuka:n:
pwg:ArDya,9238:ArDya:n:
pwg:ASuPala,9605:ASuPala:n:
pwg:ASuboDa,9604:ASuboDa:n:
pwg:AzAQikA,9711:AzAQikA:n:
pwg:AzAQI,9704:AzAQI:n:
pwg:iLAdaDa,67170:iLAdaDa:n:
pwg:iMreja,67141:iMreja:n:
pwg:utpalApIqa,11050:utpalApIqa:n:
pwg:utpalAvatI,11045:utpalAvatI:n:
pwg:udagranTi,11244:udagranTi:n:
pwg:udagrABa,11187:udagrABa:n:
pwg:upakrozwar,11681:upakrozwar:n:
pwg:upaklapta,11668:upaklapta:n:
pwg:upadeSaka,11809:upadeSaka:n:
pwg:upadeSatA,11808:upadeSatA:n:
pwg:ulmukya,12562:ulmukya:n:
pwg:ulmuzImant,12557:ulmuzImant:n:
pwg:etagva,13494:etagva:n:
pwg:etacetas,13219:etacetas:n:
pwg:okUlaka,13759:okUlaka:n:
pwg:okodanI,13758:okodanI:n:
pwg:katitTAsya,14878:katitTAsya:n:
pwg:katiTa,14603:katiTa:n:
pwg:kadiladruma,14896:kadiladruma:n:
pwg:kaduzwra,14678:kaduzwra:n:
pwg:kambant,15063:kambant:n:
pwg:kambara,15037:kambara:n:
pwg:kambavAtAyin,15058:kambavAtAyin:n:
pwg:kambi,15048:kambi:n:
pwg:karULatin,15248:karULatin:n:
pwg:karUkara,15247:karUkara:n:
pwg:karRandu,15339:karRandu:n:
pwg:karRaMDAriRI,15337:karRaMDAriRI:n:
pwg:karRendu,15417:karRendu:n:
pwg:karRowiriwirA,15416:karRowiriwirA:n:
pwg:kalahin,15677:kalahin:n:
pwg:kalahu,15676:kalahu:n:
pwg:kalpa,6208:kalpa:n:
pwg:kalpaka,15751:kalpaka:n:
pwg:kahva,15967:kahva:n:
pwg:ka~yya,14152:ka~yya:n:
pwg:kARakaRWa,16737:kARakaRWa:n:
pwg:kARatva,16188:kARatva:n:
pwg:kAtfRa,16258:kAtfRa:n:
pwg:kAtkar,16252:kAtkar:n:
pwg:kitArArjunIya,17269:kitArArjunIya:n:
pwg:kinAwa,17217:kinAwa:n:
pwg:kubalaprasTa,18201:kubalaprasTa:n:
pwg:kubudDi,17799:kubudDi:n:
pwg:kuvera,18230:kuvera:n:
pwg:kuveraka,17801:kuveraka:n:
pwg:kUlya,18540:kUlya:n:
pwg:kUlvaja,18539:kUlvaja:n:
pwg:kUlvaja,18539:kUlvaja:n:
pwg:kUvara,18495:kUvara:n:
pwg:ketunAlin,19023:ketunAlin:n:
pwg:ketuBa,19020:ketuBa:n:
pwg:kEnara,19198:kEnara:n:
pwg:kEMdarBa,19196:kEMdarBa:n:
pwg:kozaRa,71697:kozaRa:n:
pwg:kozaDAvana,71686:kozaDAvana:n:
pwg:klIbarUpa,20036:klIbarUpa:n:
pwg:klIvatA,20034:klIvatA:n:
pwg:kzudraduHsparSA,20476:kzudraduHsparSA:n:
pwg:kzudradurAlaBA,20475:kzudradurAlaBA:n:
pwg:KarbUja,21046:KarbUja:n:
pwg:Karma,21037:Karma:n:
pwg:KalevAlI,21072:KalevAlI:n:
pwg:Kalevusam,21070:Kalevusam:n:
pwg:KallAsara,21080:KallAsara:n:
pwg:KallikA,21079:KallikA:n:
pwg:gagaRecara,21335:gagaRecara:n:
pwg:gaganacara,21324:gaganacara:n:
pwg:gaBastala,21796:gaBastala:n:
pwg:gaBasti,21795:gaBasti:n:
pwg:gamBIra,21834:gamBIra:n:
pwg:gamBIraka,21805:gamBIraka:n:
pwg:gAmIyaka,23791:gAmIyaka:n:
pwg:gAmuka,22279:gAmuka:n:
pwg:gfhASramin,22952:gfhASramin:n:
pwg:gfhASrayA,22949:gfhASrayA:n:
pwg:gORasADyavasAnA,73140:gORasADyavasAnA:n:
pwg:gORasAropA,73139:gORasAropA:n:
pwg:Ganopala,23998:Ganopala:n:
pwg:GanDakAlikA,21652:GanDakAlikA:n:
pwg:GarmyezWa,24035:GarmyezWa:n:
pwg:Garvavant,24021:Garvavant:n:
pwg:GulaGulArava,24099:GulaGulArava:n:
pwg:GulaYca,24098:GulaYca:n:
pwg:cakzuHSruti,24406:cakzuHSruti:n:
pwg:cakzupa,24389:cakzupa:n:
pwg:catuHsrakti,24664:catuHsrakti:n:
pwg:catur,24530:catur:n:
pwg:ciklida,25341:ciklida:n:
pwg:ciKalla,25340:ciKalla:n:
pwg:cIlikA,25699:cIlikA:n:
pwg:cIv,25676:cIv:n:
pwg:CanacCan,26096:CanacCan:n:
pwg:Cand,26083:Cand:n:
pwg:CandaHstuB,26108:CandaHstuB:n:
pwg:Candaka,26099:Candaka:n:
pwg:jarvara,26844:jarvara:n:
pwg:jarhila,26842:jarhila:n:
pwg:jalodBUta,27090:jalodBUta:n:
pwg:jalonnAda,27088:jalonnAda:n:
pwg:jahla,27147:jahla:n:
pwg:ja|u,27106:ja|u:n:
pwg:jUwaka,27727:jUwaka:n:
pwg:jUq,27725:jUq:n:
pwg:jyEzWasAman,27975:jyEzWasAman:n:
pwg:jyEzWasAmika,27963:jyEzWasAmika:n:
pwg:jyotiHsidDAnta,28027:jyotiHsidDAnta:n:
pwg:jyotika,27984:jyotika:n:
pwg:tapaHsTalI,28751:tapaHsTalI:n:
pwg:tapatI,28722:tapatI:n:
pwg:tAmAleya,29258:tAmAleya:n:
pwg:tAmi,29257:tAmi:n:
pwg:tejaHsena,30488:tejaHsena:n:
pwg:tejana,30471:tejana:n:
pwg:trayaHsaptati,30790:trayaHsaptati:n:
pwg:trayayAyya,30779:trayayAyya:n:
pwg:triHsnAna,31255:triHsnAna:n:
pwg:trika,30855:trika:n:
pwg:trimantu,31075:trimantu:n:
pwg:trimalla,31074:trimalla:n:
pwg:trimuparRa,75369:trimuparRa:n:
pwg:trimUQaka,75321:trimUQaka:n:
pwg:dantaprakzAlana,31945:dantaprakzAlana:n:
pwg:dantaPala,31944:dantaPala:n:
pwg:danturacCada,32003:danturacCada:n:
pwg:danturita,32002:danturita:n:
pwg:davAvfD,34776:davAvfD:n:
pwg:davizWa,32209:davizWa:n:
pwg:dityOhI,32877:dityOhI:n:
pwg:ditsA,32860:ditsA:n:
pwg:dipari,35752:dipari:n:
pwg:dipsu,32928:dipsu:n:
pwg:dIrGapad,33234:dIrGapad:n:
pwg:dIrGaparRa,33231:dIrGaparRa:n:
pwg:dIvana,33320:dIvana:n:
pwg:dIvAkIrtya,32965:dIvAkIrtya:n:
pwg:duHsvapnapratiboDana,34072:duHsvapnapratiboDana:n:
pwg:dukUla,33354:dukUla:n:
pwg:durniHsaraRa,33680:durniHsaraRa:n:
pwg:durnigraha,33668:durnigraha:n:
pwg:duzwu,33952:duzwu:n:
pwg:duzwuta,33950:duzwuta:n:
pwg:duzmanta,34008:duzmanta:n:
pwg:duzyaca,33953:duzyaca:n:
pwg:dfzwiguru,34356:dfzwiguru:n:
pwg:dfzwigocara,34354:dfzwigocara:n:
pwg:doHSiKara,35014:doHSiKara:n:
pwg:doga,34996:doga:n:
pwg:dorganDya,35077:dorganDya:n:
pwg:dorgraha,35006:dorgraha:n:
pwg:dvAHsTita,35622:dvAHsTita:n:
pwg:dvAcatvAriMSa,35523:dvAcatvAriMSa:n:
pwg:dviHsvara,35883:dviHsvara:n:
pwg:dvika,35624:dvika:n:
pwg:DanArTin,36070:DanArTin:n:
pwg:DanArDa,36069:DanArDa:n:
pwg:DanuHstamBa,36125:DanuHstamBa:n:
pwg:DanuketakI,36085:DanuketakI:n:
pwg:Danozman,36133:Danozman:n:
pwg:DanOzen,36132:DanOzen:n:
pwg:Dabalapakza,36472:Dabalapakza:n:
pwg:Dam,36169:Dam:n:
pwg:Dfzwi,37011:Dfzwi:n:
pwg:Dfzwokta,37010:Dfzwokta:n:
pwg:DmANkza,37090:DmANkza:n:
pwg:DmANK,37089:DmANK:n:
pwg:Dvajin,37202:Dvajin:n:
pwg:DvajinyutsavasaMketa,37199:DvajinyutsavasaMketa:n:
pwg:Dvat,37258:Dvat:n:
pwg:Dvan,37208:Dvan:n:
pwg:DvAntonmeza,37257:DvAntonmeza:n:
pwg:DvAsara,37228:DvAsara:n:
pwg:nati,37503:nati:n:
pwg:natsTa,28484:natsTa:n:
pwg:naBaHspfS,37665:naBaHspfS:n:
pwg:naBakAnana,37642:naBakAnana:n:
pwg:namiTuna,40723:namiTuna:n:
pwg:namI,37718:namI:n:
pwg:nazAc,40752:nazAc:n:
pwg:nazwa,38057:nazwa:n:
pwg:nAqodBava,40419:nAqodBava:n:
pwg:nAqvaleya,38333:nAqvaleya:n:
pwg:nAntra,38395:nAntra:n:
pwg:nAnda,38394:nAnda:n:
pwg:nABila,38440:nABila:n:
pwg:nABivarDana,38438:nABivarDana:n:
pwg:nAlavaMSa,38571:nAlavaMSa:n:
pwg:nAlAnda,38569:nAlAnda:n:
pwg:niHkrAmaRa,40125:niHkrAmaRa:n:
pwg:niHkzatra,38662:niHkzatra:n:
pwg:nirahaMkata,39215:nirahaMkata:n:
pwg:nirahaMkAra,39214:nirahaMkAra:n:
pwg:nirAhAra,39291:nirAhAra:n:
pwg:nirAhAvant,39290:nirAhAvant:n:
pwg:nirmATin,39570:nirmATin:n:
pwg:nirmAd,39569:nirmAd:n:
pwg:nizkapa,40109:nizkapa:n:
pwg:nizkampa,40064:nizkampa:n:
pwg:nIvan,40609:nIvan:n:
pwg:nIvara,40608:nIvara:n:
pwg:nIsARa,77616:nIsARa:n:
pwg:nIsOra,77615:nIsOra:n:
pwg:nEHsvya,41026:nEHsvya:n:
pwg:nEka,40861:nEka:n:
pwg:paNkuka,41305:paNkuka:n:
pwg:paNkeja,41288:paNkeja:n:
