sch:aMSu,9:aMSu:n:
sch:aMSukapallava,10:aMSukapallava:n:
sch:aMSuBartf,27661:aMSuBartf:n:
sch:aMSumatPala,12:aMSumatPala:n:
sch:aMsasTala,27664:aMsasTala:n:
sch:aMsoccala,18:aMsoccala:n:
sch:akaRwakin,27665:akaRwakin:n:
sch:akaRWa,25:akaRWa:n:
sch:akAtaratva,84:akAtaratva:n:
sch:akAnti,27668:akAnti:n:
sch:akArpaRya,97:akArpaRya:n:
sch:akAryakAritA,27669:akAryakAritA:n:
sch:akArzRya,99:akArzRya:n:
sch:akAlakzepam,100:akAlakzepam:n:
sch:akuka,27670:akuka:n:
sch:akuYcita,113:akuYcita:n:
sch:akulasPIti,27671:akulasPIti:n:
sch:akulIna,133:akulIna:n:
sch:akftaSulka,27672:akftaSulka:n:
sch:akftaSmaSAna,156:akftaSmaSAna:n:
sch:aklama,27674:aklama:n:
sch:aklizwa,206:aklizwa:n:
sch:akzaRa,27675:akzaRa:n:
sch:akzaRika,217:akzaRika:n:
sch:akzatAyate,27676:akzatAyate:n:
sch:akzatimant,222:akzatimant:n:
sch:akzaracCedinI,27679:akzaracCedinI:n:
sch:akzaracyutaka,248:akzaracyutaka:n:
sch:akzavawa,27680:akzavawa:n:
sch:akzavatI,258:akzavatI:n:
sch:akzaSAlA,27681:akzaSAlA:n:
sch:akzaSikzA,264:akzaSikzA:n:
sch:akzasraj,27682:akzasraj:n:
sch:akzahfdaya,271:akzahfdaya:n:
sch:akzibanDa,290:akzibanDa:n:
sch:akziBAj,27683:akziBAj:n:
sch:akzetratara,307:akzetratara:n:
sch:akzepaRIya,27685:akzepaRIya:n:
sch:akzoDuka,310:akzoDuka:n:
sch:akzoBita,27686:akzoBita:n:
sch:akzyupanizad,315:akzyupanizad:n:
sch:aksaya,27678:aksaya:n:
sch:agaqa,339:agaqa:n:
sch:agaRa,27688:agaRa:n:
sch:agati,346:agati:n:
sch:agatvara,27689:agatvara:n:
sch:agadaMkAra,348:agadaMkAra:n:
sch:agadaMkArin,27690:agadaMkArin:n:
sch:agamyarUpa,356:agamyarUpa:n:
sch:agarIyaMs,27691:agarIyaMs:n:
sch:agaru,357:agaru:n:
sch:agarukAla,27693:agarukAla:n:
sch:agalita,379:agalita:n:
sch:agasti,361:agasti:n:
sch:agADa,371:agADa:n:
sch:agADatA,27694:agADatA:n:
sch:agniSiKa,460:agniSiKa:n:
sch:agniSudDi,27696:agniSudDi:n:
sch:agnizWa,465:agnizWa:n:
sch:agnisaMyoga,27698:agnisaMyoga:n:
sch:agnisaMcaya,466:agnisaMcaya:n:
sch:agnisaha,27699:agnisaha:n:
sch:agrataHsTa,502:agrataHsTa:n:
sch:agratalasaMcAra,501:agratalasaMcAra:n:
sch:agrAmIRa,529:agrAmIRa:n:
sch:agrAmya,27700:agrAmya:n:
sch:agrAha,533:agrAha:n:
sch:agrAhya,27701:agrAhya:n:
sch:agresarI,541:agresarI:n:
sch:agresarIkfta,27702:agresarIkfta:n:
sch:aGona,563:aGona:n:
sch:aGopaGAta,27703:aGopaGAta:n:
sch:aNka,568:aNka:n:
sch:aNkacarman,27704:aNkacarman:n:
sch:aNkurita,585:aNkurita:n:
sch:aNkurIkfta,27705:aNkurIkfta:n:
sch:aNkUray,590:aNkUray:n:
sch:aNkolasAra,27706:aNkolasAra:n:
sch:aNgana,605:aNgana:n:
sch:aNganAkulaguru,27707:aNganAkulaguru:n:
sch:aNganAguru,606:aNganAguru:n:
sch:aNgapAlI,27708:aNgapAlI:n:
sch:aNgalatikA,619:aNgalatikA:n:
sch:aNgaleKaka,27709:aNgaleKaka:n:
sch:aNgasamAKyAyam,628:aNgasamAKyAyam:n:
sch:aNgasevA,27710:aNgasevA:n:
sch:aNgAreSvara,645:aNgAreSvara:n:
sch:aNgAla,27711:aNgAla:n:
sch:ajabanDu,798:ajabanDu:n:
sch:ajabindu,27714:ajabindu:n:
sch:ajAtaSatru,814:ajAtaSatru:n:
sch:ajAtaSAtrava,6736:ajAtaSAtrava:n:
sch:ajitendriyamiSra,825:ajitendriyamiSra:n:
sch:ajinacitra,27715:ajinacitra:n:
sch:ajira,829:ajira:n:
sch:ajihAsu,27716:ajihAsu:n:
sch:ajIrRa,836:ajIrRa:n:
sch:ajIrRaBAj,27717:ajIrRaBAj:n:
sch:ajU,844:ajU:n:
sch:ajeyatA,27718:ajeyatA:n:
sch:aYcita,857:aYcita:n:
sch:aYcitatara,27719:aYcitatara:n:
