skd:aM,5734:aM:n:
skd:aMSa,5:aMSa:n:
skd:aMSumatI,16:aMSumatI:n:
skd:aMSumatPalA,15:aMSumatPalA:n:
skd:aMsraM,3070:aMsraM:n:
skd:aMhaH,25:aMhaH:n:
skd:aMhriskanDaH,31:aMhriskanDaH:n:
skd:aH,3:aH:n:
skd:akramaH,93:akramaH:n:
skd:akravyAdaH,92:akravyAdaH:n:
skd:akzaraM,131:akzaraM:n:
skd:akzaraH,130:akzaraH:n:
skd:akzaramuKaH,141:akzaramuKaH:n:
skd:akzaravinyAsaH,140:akzaravinyAsaH:n:
skd:akzIbaH,159:akzIbaH:n:
skd:akzIvaM,158:akzIvaM:n:
skd:agaru,193:agaru:n:
skd:agarhitaH,192:agarhitaH:n:
skd:agADaM,199:agADaM:n:
skd:agADaH,198:agADaH:n:
skd:agnijihvA,228:agnijihvA:n:
skd:agnijvAlA,227:agnijvAlA:n:
skd:agnibAhuH,250:agnibAhuH:n:
skd:agniBaM,236:agniBaM:n:
skd:agnivardDakaH,247:agnivardDakaH:n:
skd:agnivardDanaM,235:agnivardDanaM:n:
skd:aNgArakuzWakaH,388:aNgArakuzWakaH:n:
skd:aNgAratElaM,386:aNgAratElaM:n:
skd:ajihvaH,522:ajihvaH:n:
skd:ajInapatrI,517:ajInapatrI:n:
skd:ajYAnaM,535:ajYAnaM:n:
skd:ajyezWavfttiH,528:ajyezWavfttiH:n:
skd:ataeva,611:ataeva:n:
skd:ataH,610:ataH:n:
skd:atipatraH,651:atipatraH:n:
skd:atipanTAH,650:atipanTAH:n:
skd:atisAmyA,690:atisAmyA:n:
skd:atisAraH,688:atisAraH:n:
skd:atyantaH,715:atyantaH:n:
skd:atyantakopanaH,713:atyantakopanaH:n:
skd:adButasAraH,781:adButasAraH:n:
skd:adButasvanaH,780:adButasvanaH:n:
skd:aDaHkziptaH,810:aDaHkziptaH:n:
skd:aDaHpuzpI,809:aDaHpuzpI:n:
skd:aDikziptaH,867:aDikziptaH:n:
skd:aDityakA,851:aDityakA:n:
skd:aDimAMsakaH,856:aDimAMsakaH:n:
skd:aDimAsaH,855:aDimAsaH:n:
skd:aDokzajaH,892:aDokzajaH:n:
skd:aDoGaRwA,885:aDoGaRwA:n:
skd:aDyakzaH,898:aDyakzaH:n:
skd:aDyagni,893:aDyagni:n:
skd:anakzi,992:anakzi:n:
skd:anagAraH,931:anagAraH:n:
skd:anikzuH,1064:anikzuH:n:
skd:anigIrRaH,1028:anigIrRaH:n:
skd:anirlocitaH,1057:anirlocitaH:n:
skd:anirvftiH,1051:anirvftiH:n:
skd:anirvftiH,1051:anirvftiH:n:
skd:anirvvacanIyaH,1048:anirvvacanIyaH:n:
skd:anukzaRaM,1186:anukzaRaM:n:
skd:anugaH,1089:anugaH:n:
skd:anugamanaM,1093:anugamanaM:n:
skd:anugavInaH,1091:anugavInaH:n:
skd:anuBUtAdyavismftiH,1133:anuBUtAdyavismftiH:n:
skd:anuBUtiH,1132:anuBUtiH:n:
skd:antarikzaM,1240:antarikzaM:n:
skd:antaritaM,1239:antaritaM:n:
skd:antarIkzajala,1244:antarIkzajala:n:
skd:antarIpaM,1241:antarIpaM:n:
skd:anvakzaH,1354:anvakzaH:n:
skd:anvayaH,1351:anvayaH:n:
skd:aparatiH,1422:aparatiH:n:
skd:aparatvaM,1421:aparatvaM:n:
skd:apAkzaM,1522:apAkzaM:n:
skd:apANgaH,1498:apANgaH:n:
skd:apAnaH,1509:apAnaH:n:
skd:apAMnATaH,1491:apAMnATaH:n:
skd:apAmpatiH,1512:apAmpatiH:n:
skd:apAMpatiH,1493:apAMpatiH:n:
skd:apekzAbudDiH,1544:apekzAbudDiH:n:
skd:apetarAkzasI,1540:apetarAkzasI:n:
skd:apratyakzaH,1568:apratyakzaH:n:
skd:apratyayaH,1567:apratyayaH:n:
skd:abanDyaH,2485:abanDyaH:n:
skd:abalaM,1603:abalaM:n:
skd:aBakzyaM,1642:aBakzyaM:n:
skd:aBayaM,1639:aBayaM:n:
skd:aBizavaM,1725:aBizavaM:n:
skd:aBizavaH,1724:aBizavaH:n:
skd:aBIkzRaM,1755:aBIkzRaM:n:
skd:aBIpsitaM,1744:aBIpsitaM:n:
skd:aByaNkzaH,1764:aByaNkzaH:n:
skd:aByaNgaH,1763:aByaNgaH:n:
skd:am,1829:am:n:
skd:ama,1827:ama:n:
skd:amUdfSaH,1884:amUdfSaH:n:
