bur:akz,46: Root
bur:ag,84: Root
bur:aG,115: Root
bur:aNk,121: Root
bur:aNg,135: Root
bur:aNG,161: Root
bur:aj,176: Root
bur:aYc,222: Root
bur:aYC,225: Root
bur:aYj,226: Root
bur:aw,237: Root
bur:aww,245: Root
bur:aW,251: Root
bur:aq,252: Root
bur:aqq,253: Root
bur:aRW,260: Root
bur:ad,360: Root
bur:anD,808: Root
bur:ab,1025: Root
bur:aBr,1275: Root
bur:am,1282: Root
bur:amb,1319: Root
bur:amB,1327: Root
bur:ay,1335: Root
bur:ark,1412: Root
bur:arG,1415: Root
bur:arc,1418: Root
bur:arj,1422: Root
bur:arT,1434: Root
bur:arb,1453: Root
bur:arv,1460: Root
bur:arh,1467: Root
bur:al,1471: Root
bur:az,1842: Root
bur:as,1854: Root
bur:as,1855: Root
bur:ah,1962: Root
bur:aMS,1988: Root
bur:aMh,1999: Root
bur:AYC,2096: Root
bur:Ap,2235: Root
bur:Ard,2397: Root
bur:As,2525: Root
bur:i,2590: Root
bur:iK,2596: Root
bur:ig,2598: Root
bur:iw,2607: Root
bur:ind,2637: Root
bur:inD,2646: Root
bur:iMv,2648: Root
bur:il,2674: Root
bur:iv,2685: Root
bur:iz,2688: Root
bur:iz,2689: Root
bur:I,2707: Root
bur:Ikz,2709: Root
bur:INK,2711: Root
bur:Ij,2713: Root
bur:Iq,2717: Root
bur:Int,2721: Root
bur:Ir,2725: Root
bur:Irkzy,2727: Root
bur:Il,2735: Root
bur:IL,2736: Root
bur:IS,2738: Root
bur:Iz,2740: Root
bur:Iz,2741: Root
bur:Ih,2749: Root
bur:u,2753: Root
bur:ukz,2758: Root
bur:uK,2761: Root
bur:uc,2766: Root
bur:uC,2781: Root
bur:uC,2794: Root
bur:ujJ,2802: Root
bur:uYC,2803: Root
bur:uW,2805: Root
bur:und,3038: Root
bur:ubj,3328: Root
bur:uB,3329: Root
bur:urd,3347: Root
bur:urv,3349: Root
bur:uz,3395: Root
bur:uh,3416: Root
bur:Un,3429: Root
bur:Uy,3432: Root
bur:Urj,3437: Root
bur:UrRu,3443: Root
bur:Urd,3444: Root
bur:Uz,3457: Root
bur:Uh,3463: Root
bur:f,3466: Root
bur:f,3467: Root
bur:fkz,3470: Root
bur:fc,3476: Root
bur:fC,3480: Root
bur:fj,3481: Root
bur:fYj,3485: Root
bur:fR,3488: Root
bur:ft,3491: Root
bur:fD,3500: Root
bur:fP,3501: Root
bur:fz,3504: Root
bur:F,3510: Root
bur:ej,3586: Root
bur:eW,3588: Root
bur:eD,3609: Root
bur:ez,3632: Root
bur:Et,3660: Root
bur:Es,3681: Root
bur:oK,3687: Root
bur:oj,3693: Root
bur:oR,3699: Root
bur:kak,3766: Root
bur:kaK,3774: Root
bur:kag,3776: Root
bur:kaNk,3777: Root
bur:kac,3796: Root
bur:kac,3797: Root
bur:kaj,3803: Root
bur:kaYc,3806: Root
bur:kaw,3812: Root
bur:kaW,3838: Root
bur:kaq,3849: Root
bur:kaqq,3857: Root
bur:kaR,3858: Root
bur:kaRw,3865: Root
bur:kraRW,3870: Root
bur:kaRq,3872: Root
bur:kaRq,3873: Root
bur:katT,3889: Root
bur:katr,3890: Root
bur:kaT,3892: Root
bur:kad,3901: Root
bur:kan,3919: Root
bur:kab,3981: Root
bur:kamp,3995: Root
bur:karj,4078: Root
bur:karR,4079: Root
bur:kartr,4095: Root
bur:kard,4097: Root
bur:karb,4107: Root
bur:karv,4121: Root
bur:kal,4134: Root
bur:kal,4135: Root
bur:kav,4219: Root
bur:kaS,4245: Root
bur:kaz,4258: Root
bur:kas,4268: Root
bur:kaMs,4281: Root
bur:kANkz,4306: Root
bur:kAYc,4315: Root
bur:kAS,4532: Root
bur:kAs,4546: Root
bur:kAs,4547: Root
bur:ki,4563: Root
bur:kiw,4576: Root
bur:kit,4582: Root
bur:kit,4583: Root
bur:kil,4612: Root
bur:kizk,4623: Root
bur:kIw,4635: Root
bur:kIl,4649: Root
bur:kuk,4657: Root
bur:kuc,4676: Root
bur:kuc,4677: Root
bur:kuj,4687: Root
bur:kuYc,4691: Root
bur:kuYj,4693: Root
bur:kuw,4698: Root
bur:kuw,4699: Root
bur:kuww,4715: Root
bur:kuq,4726: Root
bur:kuR,4731: Root
bur:kuR,4732: Root
bur:kuRw,4737: Root
bur:kuRW,4739: Root
bur:kuRq,4742: Root
bur:kuRq,4743: Root
bur:kuts,4759: Root
bur:kuT,4765: Root
bur:kud,4767: Root
bur:kunT,4780: Root
bur:kundr,4786: Root
bur:kup,4787: Root
bur:kumb,4809: Root
bur:kur,4822: Root
bur:kur,4823: Root
bur:kurd,4845: Root
bur:kul,4852: Root
