001:a:3,4:
001:a:5,7:
001:aMSa:8,9:
001:aMSakalpanA:10,11:
001:aMSaprakalpanA:12,13:
001:aMSapradAna:14,15:
001:aMSaBAgin:16,18:
001:aMSaBAj:19,21:
001:aMSaBUta:22,23:
001:aMSu:24,25:
001:aMSuka:26,27:
001:aMSukAnta:28,29:
001:aMSupawwa:30,31:
001:aMSumant:32,33:
001:aMsa:34,35:
001:aMsakUwa:36,38:
001:aMsatra:39,40:
001:aMsala:41,42:
001:aMsavartin:43,44:
001:aMsavyApin:45,46:
001:aMh:47,48:
001:aMhati:49,50:
001:aMhIyaMs:51,52:
001:aMhura:53,54:
001:aMhUraRa:55,56:
001:aMhri:57,58:
001:aka:59,60:
001:akaWora:61,62:
001:akaRwaka:63,64:
001:akaTita:65,66:
001:akanizWa:67,69:
001:akandasamutTita:70,71:
001:akanyA:72,73:
001:akampita:74,75:
001:akaraRa:76,77:
001:akaruRa:78,79:
001:akarRa:80,81:
001:akartavya:82,83:
001:akartf:84,85:
001:akarmaka:86,87:
001:akarmakft:88,89:
001:akarman:90,91:
001:akarman:92,93:
001:akalaha:94,95:
001:akalita:96,98:
001:akalpa:99,101:
001:akalmaza:102,103:
001:akalya:104,105:
001:akava:106,107:
001:akavi:108,109:
001:akasmAt:110,112:
001:akARqa:113,115:
001:akAma:116,118:
001:akAra:119,120:
001:akAraka:121,122:
001:akAraRa:123,124:
001:akAraRabanDu:125,126:
001:akAraRamAraka:127,128:
001:akArya:129,130:
002:akAryakArin:131,133:
002:akAla:134,136:
002:akAlakzepam:137,138:
002:akAladurdina:139,140:
002:akAlahInam:141,143:
002:akiMcana:144,146:
002:akiMcitkurvARa:147,148:
002:akIrti:149,150:
002:akIrtita:151,152:
002:akutoBaya:153,155:
002:akutsayant:156,157:
002:akurvant:158,159:
002:akurvARa:160,161:
002:akula:162,163:
002:akulIna:164,165:V
002:akulatA:166,167:
002:akuSala:168,170:
002:akusumita:171,172:
002:akUpAra:173,174:
002:akfta:175,177:
002:akftacUqa:178,179:
002:akftajYa:180,182:
002:akftapuRya:183,185:
002:akftapUrva:186,187:
002:akftaprasAda:188,189:
002:akftabudDi:190,192:
002:akftavEra:193,194:
002:akftasatkAra:195,197:
002:akftAtman:198,199:
002:akftAnna:200,201:
002:akftArTa:202,204:
002:akftAhnika:205,206:
002:akftya:207,208:
002:akftsna:209,210:
002:akftsnavid:211,212:
002:akfpaRa:213,214:
002:akfzIvala:215,216:
002:akfzwa:217,218:
002:aketu:219,220:
002:akEtava:221,222:
002:akopayant:223,224:
002:aktA:225,226:
002:aktu:227,229:
002:akra:230,231:
002:akra:232,233:
002:akratu:234,235:
002:akrama:236,237:
002:akravyAd:238,239:
002:akravyAda:240,241:
002:akriyA:242,243:
002:akrIta:244,245:
002:akrUra:246,247:
002:akroDa:248,249:
002:akroDa:250,251:
002:akroDana:252,253:
002:aklizwa:254,256:
002:akleSa:257,258:
002:akza:259,260:
002:akza:261,262:
002:akza:263,264:
002:akza:265,266:
002:akzaRvant:267,268:
002:akzata:269,270:
002:akzatayoni:271,273:
002:akzatra:274,275:
002:akzadyUta:276,277:
002:akzan:278,279:
002:akzanEpuRa:280,281:
002:akzapriya:282,283:
002:akzaBaNga:284,285:OO
002:akzaBa:286,288:
002:akzamAlA:289,291:
003:akzaya:292,293:
003:akzayaPala:294,295:
003:akzayya:296,297:
003:akzara:298,300:
003:akzaracCandas:301,303:
003:akzarapaNkti:304,305:
003:akzarapada:306,307:
003:akzarA:308,309:
003:akzavatI:310,311:
003:akzahfdaya:312,314:
003:akzAralavaRa:315,317:
003:akzi:318,319:
003:akziRvant:320,321:
003:akzita:322,323:
003:akzIRa:324,325:V
003:akzIyamARa:326,327:V
003:akziti:328,329:
003:akzipat:330,331:
003:akziroga:332,333:
003:akziSiromuKa:334,335:
003:akzI:336,337:
003:akzu:338,339:
003:akzuRa:340,341:
003:akzetra:342,343:
003:akzetra:344,345:
003:akzetrin:346,347:
003:akzOhiRI:348,349:
003:akzRayA:350,351:
003:akzRayAvan:352,353:
003:aKaRqa:354,355:
003:aKaRqakala:356,358:
003:aKaRqita:359,360:
003:aKaRqitacAritra:361,363:
003:aKarva:364,365:
003:aKAdita:366,367:
003:aKidra:368,369:
003:aKidrayAman:370,371:
003:aKila:372,374:
003:aKeda:375,376:
003:aKKalI:377,379:
003:aga:380,381:
003:agaRayant:382,384:
003:agata:385,386:
003:agatAsu:387,388:
003:agada:389,390:
003:agada:391,393:
003:aganDa:394,395:
003:aganDavant:396,397:
003:agama:398,399:
003:agamya:400,402:
003:agamyAgamana:403,405:
003:agarhita:406,407:
003:agasti:408,409:
003:agastya:410,411:
003:agAgra:412,413:
003:agADa:414,416:
003:agAra:417,418:
003:agu:419,420:
003:aguRa:421,423:
003:aguRIBUta:424,425:
003:agupta:426,427:
003:aguru:428,430:
003:agfBIta:431,433:
003:agfhIta:434,435:
003:agfhItvA:436,437:
003:agfhRant:438,439:
003:agfhya:440,441:
003:agocara:442,444:
003:agopA:445,446:
003:agopAla:447,448:
004:agohya:449,450:
004:agnAyI:451,452:
004:agni:453,454:
004:agnikarman:455,457:
004:agnikalpa:458,459:
004:agnikAma:460,461:
004:agnikArya:462,463:
004:agnigfha:464,465:
004:agnicaya:466,468:
004:agnijihU:469,470:
004:agnijvalitatejana:471,473:
004:agnitraya:474,475:
004:agnida:476,477:
004:agnidagDa:478,480:
004:agnidagDa:481,483:
004:agnidUta:484,486:
004:agnidUzita:487,488:
004:agniD:489,490:
004:agnipakva:491,493:
004:agniparikriyA:494,495:
004:agniparicCada:496,498:
004:agnipurARa:499,500:
004:agnipraveSa:501,503:
004:agniBrAjas:504,505:
004:agnimant:506,508:
004:agnimitra:509,510:
004:agnivant:511,512:
004:agnivarRa:513,514:
004:agniSaraRa:515,516:
004:agniSiKa:517,519:
004:agniSudDi:520,521:
004:agniSuSUzA:522,523:
004:agnizwut:524,526:
004:agnizwoma:527,528:
004:agnizvAtta:529,531:
004:agnisaMskAra:532,534:
004:agnisAt:535,536:
004:agnisvAmin:537,538:
004:agnihotra:539,540:
004:agnihotra:541,542:
004:agnihotrahavaRI:543,544:
004:agnihotrin:545,546:
004:agnIndra:547,548:OO
004:agnID:549,550:
004:agnInDana:551,552:
004:agnIzoma:553,554:
004:agnyAgAra:555,556:
004:agnyADAna:557,558:
004:agnyADeya:559,560:
004:agnyAhita:561,562:
004:agra:563,568:
004:agrakara:569,570:
004:agraja:571,572:
004:agrajanman:573,574:
004:agraRI:575,576:
004:agratas:577,579:
004:agraBAga:580,581:
004:agramuKa:582,583:
004:agrayAyin:584,585:
004:agrahasta:586,588:
004:agrahAra:589,591:
004:agrAnIka:592,593:
004:agrAhayitvA:594,596:
004:agrAhin:597,598:
004:agrAhya:599,600:
004:agrima:601,602:
004:agriya:603,605:
004:agru:606,607:
004:agrega:608,609:
004:agregA:610,611:
004:agregU:612,613:
004:agrediDizu:614,617:
005:agrepA:618,619:
005:agrepU:620,621:
005:agresara:622,623:
005:argya:624,625:X:agrya:t:
005:aGa:626,628:
005:aGamarzaRa:629,631:
005:aGaviGAtakartf:632,633:
005:aGaSaMsa:634,635:
005:aGAy:636,637:
005:aGAhan:638,639:
005:aGfRa:640,641:
005:aGoraGaRwa:642,643:
005:aGnya:644,645:
005:aGnya:646,647:
005:aGreya:648,649:
005:aNka:650,652:
005:aNkapAlI:653,654:
005:aNkay:655,657:
005:aNkayazwi:658,659:
005:aNkaSAyin:660,661:
005:aNkas:662,663:
005:aNkasa:664,665:
005:aNkasTa:666,667:
005:aNkura:668,669:
005:aNkuraya:670,671:
005:aNkuSa:672,673:
005:aNkuSin:674,675:
005:aNKay:676,677:? prob. = mw aNK
005:aNkya:678,679:
005:aNga:680,681:
005:aNga:682,684:
005:aNga:685,687:
005:aNga:688,690:
005:aNgaRa:691,692:
005:aNgada:693,694:
005:aNgana:695,696:
005:aNganA:697,698:
005:aNgaBaNga:699,700:
005:aNgarAga:701,703:
005:aNgarAja:704,705:
005:aNgavikAra:706,707:
005:aNgavidyA:708,710:
005:aNgasaMskAra:711,712:
005:aNgasaMtApa:713,714:
