1-0002b:aicadeva:208,209:aicadeva:Ecadeva
1-0002b:aiculA:210,211:aicula1:EculA
1-0002b:aibuka:212,213:aibuka:Ebuka
1-0002b:aivuli:214,215:aivuli:Evuli
1-0027b:aMsapArSvAmitApa:3435,3437:am3sapa1rs4va1bhita1pa:aMsapArSvABitApa
1-0028b:aMsaBitti:3509,3514:am3sa-bhitti1:aMsaBittI
1-0032a:aMhi:3979,4011:am3h-ri:aMhri
1-0032b:aMhrayagra:4063,4064:am3hryagra:aMhryagra
1-0033b:aMsamadaBaYjana:4177,4179:a-kam3samadabhan5jana:akaMsamadaBaYjana
1-0036a:akaTayitavya:4522,4523:a-kathayitvya:akaTayitvya
1-0053a:akarmAMSa:6686,6687:a-karmam3s4a:akarmaMSa
1-0058a:akalpitAvidyA:7304,7306:akalpita1vidva1:akalpitAvidvA
1-0059a:akalyARaPala:7453,7454:akalya1n2an2a-phala:akalyARaRaPala
1-0064b:akARqA:8163,8164:a1ka1n2d2a1:AkARqA
1-0074a:akAraRatvatas:9330,9332:aka1ran2at2va-tas:akAraRawvatas
1-0074a:akAraRadvizwa:9357,9360:akara1n2a-dvis2t2a:akarARadvizwa
1-0076a:akArapUrvaka:9597,9598:akarapu1rva-ka:akarapUrvaka
1-0083a:akAryakAraRaBAva:10482,10487:a-ka1ryaka1rn2abha1va:akAryakArRaBAva
1-0084a:akAryanirbanDitA:10668,10669:aka1ryani1rbandhi-ta1:akAryanIrbanDitA
1-0084b:akAryapratizeDa:10695,10696:aka1rya-prat2is2edha:akAryaprawizeDa
1-0085b:akAryArTatva:10839,10842:a1ka1rya1rtha-tva:AkAryArTatva
1-0089b:akAlanIhAravfzwi:11339,11341:aka1la-ni1ha1ravr2s2ti:akAlanIhAravfzti
1-0090a:akAlapratikANkzaRatA:11397,11398:a1ka1lapratika1n3ks2an2a-ta1:AkAlapratikANkzaRatA
1-0092b:akAlaharaRam:11726,11727:a-ka1laharan2am3:akAlaharaRa
1-0093b:akAlopakAnta:11848,11855:aka1lopakra1nta:akAlopakrAnta
1-0099a:akIrtidveza:12579,12580:akirti-dves2a:akirtidveza
1-0100a:aNkukumAlepana:12692,12695:a-kun3kuma1lepana:akuNkumAlepana
1-0100a:akuwitvA:12711,12713:a-kutitva1:akutitvA
1-0100b:akuwilAtman:12767,12769:akutila1tman:akutilAtman
1-0101b:akuRWavarcas:12867,12870:akun2t2ha-vareas:akuRWavareas
1-0106a:akulaja:13480,13485:akula-ja~a-kulaja:akulaja~akulaja
1-0109a:akuhakArTa:13842,13844:a-kuhaka1rtha~akuhaka1rtha:akuhakArTa~akuhakArTa
1-0115b:akftadArasaMgraha:14683,14685:akr2ta-da1rasa1n3graha:akftadArasANgraha
1-0116b:akftapadaSabdam:14775,14777:akr2ta-pada1s4abdam:akftapadASabdam
1-0120a:akftaSayanakiya:15246,15247:akr2ta-s4ayanakriya:akftaSayanakriya
1-0123b:akftAputra:15690,15692:akr2ta-putra:akftaputra
1-0124a:akftArcana:15774,15775:akr2ta1cana:akftAcana
1-0132b:akfSASva:16857,16859:aks4a1s4va:akSASva
1-0135a:akxptakamatva:17134,17140:akl2ptakrama-tva:akxptakramatva
1-0146b:akriyAvizwa:18620,18621:a-kriya1vis2ta:akriyAvizta
1-0146b:akrItayajamAna:18668,18669:akri1ta-yajama1n2a:akrItayajamARa
1-0147a:akruDyat:18699,18704:a4-kruddhyat:akrudDyat
1-0152a:aklizwamanas:19348,19350:aklis2ta-manas:akliztamanas
1-0153b:akleSitASaya:19554,19555:akles4ita1s4a1ya:akleSitASAya
1-0155b:akzaMvAwa:19811,19812:aksham3-va1t2a:akshaMvAwa
1-0156b:akzakIPala:19909,19910:aks2aki-phala:akzakiPala
1-0158a:akzaglAni:20107,20109:aks2a-gla1n2i:akzaglARi
1-0168b:akzatriyArTa:21430,21431:aks2atri1ya1rtha:akzatrIyArTa
1-0169b:akzadvyaruRa:21569,21570:aks2adyvarun2a:akzadyvaruRa
1-0173b:akzabIja:22115,22121:aks2a-bija:akzabija
1-0179b:akzayapitftfpti:22864,22866:aks2aya-pitr2pti:akzayapitfpti
1-0180a:akzayabudDavaMSanirdeSA:22930,22931:aks2ayabuddhavams4anirdes4a1:akzayabudDavamSanirdeSA
1-0180a:akzayabudDavaMSavyUha:22932,22933:aks2ayabuddhavams4avyu1ha:akzayabudDavamSavyUha
1-0183b:akzayyatftIyA:23374,23378:a1ks2ayya-tr2tiya1:AkzayyatftiyA
1-0188a:akzaracyupraSnottara:23944,23947:aks2aracyuta-pras4nottara:akzaracyutapraSnottara
1-0188b:akzarajYAnastuti:23989,23991:aks2arajn5a1na1-stuti:akzarajYAnAstuti
1-0190b:akzarapaNkti:24239,24263:aks2a1ra-pan3kti:akzArapaNkti
1-0194b:akzaraviSezalakzaRa:24792,24795:aks2aravis4es2a-laks2ana:akzaraviSezalakzana
1-0195b:akzaraSrutipratyaBijYAna:24911,24914:aks2aras4ruti1-pratyabhijn5a1na:akzaraSrutIpratyaBijYAna
1-0196a:akzarasaMhitA:24971,24974:aks2ara-samehita1:akzarasamehitA
1-0198a:akzarA:25228,25250:a4ks2ara1, aks2a4ra1:akzarA, akzarA
1-0203a:akzaviDvaMsana:25882,25883:aks2a-vidhavam3sana:akzaviDavaMsana
1-0209a:akzAnekatva:26662,26666:as2ka1neka-tva:azkAnekatva
1-0209b:akzAntaragocara:26693,26694:aka1s2ntara-gocara:akAzntaragocara
1-0211a:akzAralavaRASana:26901,26904:aks2aralavan2a1s4ana:akzaralavaRASana
1-0223a:akzisattA:28408,28410:aks2i-sat2t2a1:akzisawwA
1-0226b:akzIRalocana:28873,28874:aks2in2a-locana:akziRalocana
1-0227a:akzIRAyus:28926,28927:aks2in2a1yus:akziRAyus
1-0228b:akzuRRAkANkza:29143,29145:aks2unna1ka1n3ks2a:akzunnAkANkza
1-0229a:akzudraparivAratva:29226,29228:aks2kudrapariva1ra-tva:akzkudraparivAratva
1-0232a:akzowanAlikerANka:29565,29567:aks2otana1likera1n3ka:akzotanAlikerANka
1-0236a:akzRayAstomIyA:30073,30079:aks2naya1-stomi1ya1:akznayAstomIyA
1-0237b:aKawvaka:30256,30261:akhatva-ka:aKatvaka
1-0237b:aKaNga:30299,30300:a-khadga:aKadga
1-0243a:aKaRqamahiman:30965,30966:akhan2d2a-mahimodaya:aKaRqamahimodaya
1-0243b:aKaRqavastyanavalambana:31061,31066:akhan2d2avastv-anavalambana:aKaRqavastvanavalambana
1-0245a:aKaRqazANguRyapaTa:31267,31269:akhan2d2as2a1d2gun2ya-patha:aKaRqazAqguRyapaTa
1-0248a:aKaRqArTaviroDitva:31638,31641:akhan2d2a1rtha1virodhi-tva:aKaRqArTAviroDitva
1-0251b:aKaRqakarasa:32090,32103:akhan2d2aikarasa:aKaRqEkarasa
1-0253b:aKarvasarvakazakriya:32310,32312:akharvasarvan3kas2a-kriya:aKarvasarvaNkazakriya
1-0256b:aKilakAraRatva:32686,32689:akhila1ka1ran2a-tva:aKilAkAraRatva
1-0256b:aKilakAryakaraRa:32693,32695:akhila1ka1rya-karan2a:aKilAkAryakaraRa
1-0256b:aKilakAryaniBitta:32700,32702:akhilaka1rya-nimitta:aKilakAryanimitta
1-0256b:aKilakuwumba:32727,32728:akhila-kutumba:aKilakutumba
1-0258b:aKilajagadAkzepaskArin:32992,32994:akhilajagad-a1ks2epaka1rin:aKilajagadAkzepakArin
1-0258b:aKilajagadekanAyaka:33000,33002:akhi1lajagad-ekana1yaka:aKIlajagadekanAyaka
1-0260b:aKikadiS:33198,33208:akhila-dis4:aKiladiS
1-0261b:aKilaDAtujitvara:33349,33351:akhiladha1tu-ji1tvara:aKilaDAtujItvara
1-0261b:aKilaDArtarAzwra:33358,33360:akhila-dha1rta1ra1s2t2ra:aKilaDArtArAzwra
1-0262a:aKilapaRyajIvin:33405,33407:akhi1la-pan2yaji1vin:aKIlapaRyajIvin
1-0271b:aKilasADana:34612,34614:akhlia-sa1dhana:aKliasADana
1-0276b:aKKalIkftya:35270,35272:akhkhali1-kr21tya:aKKalIkFtya
1-0280b:agaRitakUtakIrti:35802,35804:agan2itakr2ta-ki1rti:agaRitakftakIrti
1-0293a:agamyAgamanasaMbanDin:37373,37375:agamya1gaman2a-sambandhin:agamyAgamaRasambanDin
1-0294b:agarukAzWa:37574,37575:agaru-ks2oda:agarukzoda
1-0297a:agarhyavarhiHSeza:37875,37877:agarhyabarhin2-s4es2a:agarhyabarhiRSeza
1-0298b:agastISvara:38101,38103:agati1s4vara:agatISvara
1-0300a:agastyagItA:38312,38314:agastya-gi1ta:agastyagIta
1-0304a:agasyotdayanirviza:38813,38816:agastyodaya-nirvis2a:agastyodayanirviza
1-0310a:agItoha:39574,39576:agitoha:agitoha
1-0310a:agIyamAnasAmamantratA:39577,39579:agiyama1nasa1mamantra-ta1:agiyamAnasAmamantratA
1-0310b:aguqapizwASITuja:39608,39611:a-gud2apis2t2as4i1thuja:aguqapizwaSITuja
1-0311b:aguRatA:39731,39737:agun2a-t2a1:aguRawA
1-0312b:aguRaSIla:39863,39865:a-gun2as4ila:aguRaSila
1-0316a:agurvAdya:40343,40345:agurva-a1dya:agurvaAdya
1-0317b:agfhasTa:40497,40500:a-gr2hast2ha:agfhasWa
1-0318a:agfhItakAlaniyama:40570,40572:agr2hi1ta-ka1aniyama:agfhItakAaniyama
