skd:aMSaBAk,9:aMSaBAk:n:SaB
acc:accAdIkzita,185:accAdIkzita:n:cAd
ieg:aYjazwasaBA,359:aYjazwasaBA:n:jaz
pwg:aRuvedAntarasaprakaraRa,62905:aRuvedAntarasaprakaraRa:n:Ruv
ccs:atisurva,435:atisurva:n:isu
mw:atyagnisomArka,3396:atyagnisomArka:n:iso
acc:atyASramopanizad,276:atyASramopanizad:n:mop
inm:aTida,942:aTida:n:Tid
ieg:adugDadaDigrahaRa,6875:adugDadaDigrahaRa:n:Dad
md:adyOt,958:adyOt:n:dyO
pwg:aDibuBUpu,63225:aDibuBUpu:n:BUp,Dib
acc:aDomuKajananaSAnti,446:aDomuKajananaSAnti:n:omu
acc:anantacaturdaSIvratakaTA,545:anantacaturdaSIvratakaTA:n:tac
sch:anantacCadin,2042:anantacCadin:n:tac
acc:anantezwipadDati,597:anantezwipadDati:n:tez
acc:anumitiparAmarSahetuhetumadBAvavicAra,41848:anumitiparAmarSahetuhetumadBAvavicAra:n:Sah
gst:anuvAsanopAya,3343:anuvAsanopAya:n:nop
gst:anekArTABiyukta,3632:anekArTABiyukta:n:TAB
gst:anohaka,3664:anohaka:n:noh
gst:antaHpadaMvivftti,3683:antaHpadaMvivftti:n:Hpa
mw:antaHpade,7994:antaHpade:n:Hpa
pw:antaHsTAcCandas,5433:antaHsTAcCandas:n:HsT
mw:antardaSAhAt,8108:antardaSAhAt:n:SAh
vcp:antaryAmivrAhmaRa,2298:antaryAmivrAhmaRa:n:miv
bhs:apatTadAyin,1247:apatTadAyin:n:Tad
acc:apamftyurogAdiSAntiviDi,31482:apamftyurogAdiSAntiviDi:n:ogA
mw:aparagodAni,9430:aparagodAni:n:god
ieg:aparamparAbalIvarda,6905:aparamparAbalIvarda:n:lIv
pw:aparaSuvfkaRa,6077:aparaSuvfkaRa:n:Suv
bhs:aparipanTadAyin,1304:aparipanTadAyin:n:Tad
acc:apaSabdAKyakAvya,881:apaSabdAKyakAvya:n:dAK
pw:apaScAdaDvan,6276:apaScAdaDvan:n:cAd
bhs:apiqita,1355:apiqita:n:piq
gst:apirADaya,5190:apirADaya:n:pir
acc:apUrvaBAvanopapatti,886:apUrvaBAvanopapatti:n:nop
pw:apraBUtI,6884:apraBUtI:n:UtI
bhs:apramARaguRasAgarapraBa,1420:apramARaguRasAgarapraBa:n:Rag
bhs:apramARABAsvara,1424:apramARABAsvara:n:RAB
gst:abjavIjaBft,5768:abjavIjaBft:n:jaB
acc:aBinavanArAyaRacampU,31513:aBinavanArAyaRacampU:n:Rac
