mw72:akArRAvezwakika,80:akArRAvezwakika:n:RAv
ieg:aNgaqasidDAya,335:aNgaqasidDAya:n:qas
bhs:acintyaguRAnuttaraDarmagocara,199:acintyaguRAnuttaraDarmagocara:n:goc
mw:acCambawkArAya,1866.4:acCambawkArAya:n:awk
ccs:atisAdvasa,432:atisAdvasa:n:Adv
pui:aTArvikA,323:aTArvikA:n:TAr
mw72:adDyAlohakarRA,1064:adDyAlohakarRA:n:dDy
acc:advayASramapUjyapAdaSizya,325:advayASramapUjyapAdaSizya:n:Ujy
ccs:aDizwAtar,610:aDizwAtar:n:wAt
acc:anumitilakzaRAvataraRa,721:anumitilakzaRAvataraRa:n:RAv
bhs:antaroddAna,1155:antaroddAna:n:odd
sch:apaSabdABAsa,3506:apaSabdABAsa:n:dAB
acc:apratizWatvaharAdiviDi,41912:apratizWatvaharAdiviDi:n:Wat
acc:aBinavatARqavazawkaRWa,958:aBinavatARqavazawkaRWa:n:wka,awk
ieg:aByantarasidDyA,6860:aByantarasidDyA:n:dDy
acc:amarAnandayogIndra,1024:amarAnandayogIndra:n:ogI
ieg:amArirUQi,284:amArirUQi:n:UQi
acc:ambikAdvirUpanAmaDyAna,1086:ambikAdvirUpanAmaDyAna:n:Adv
sch:ayorajomaya,4691:ayorajomaya:n:yor
skd:avakIrRo,2398:avakIrRo:n:rRo
pw:avaKARqana,10228:avaKARqana:n:vaK
sch:avagUQi,5215:avagUQi:n:UQi
cae:aSadDeya,3534:aSadDeya:n:dDe
pw:aSvatTasaMniBA,11828:aSvatTasaMniBA:n:Mni
acc:aSvameDARqapille,1386:aSvameDARqapille:n:lle
acc:azwakASOcaBAzya,31603:azwakASOcaBAzya:n:caB,ASO
ccs:asaMniDya,2356:asaMniDya:n:Mni
acc:AcAroddyota,1638:AcAroddyota:n:odd
bhs:AWya,2622:AWya:n:AWy
mw:ARuka,23316.1:ARuka:n:Ruk
sch:AdvAdaSavarzaBAvin,6937:AdvAdaSavarzaBAvin:n:Adv
sch:AbadDya,7086:AbadDya:n:dDy
vcp:ArcaBin,7453:ArcaBin:n:caB
vcp:AvidDakarRo,7658:AvidDakarRo:n:rRo
bhs:ASradDya,3051:ASradDya:n:dDy
acc:ASvalAyanARqapille,2229:ASvalAyanARqapille:n:lle
acc:ASvalAyanottarazawkaprayoga,42189:ASvalAyanottarazawkaprayoga:n:wka,awk
sch:AzwApada,7487:AzwApada:n:wAp
mw:iqaspade,28693:iqaspade:n:qas
sch:ISvarAdvayadarSana,7830:ISvarAdvayadarSana:n:Adv
ieg:ukkowaBaNga,6142:ukkowaBaNga:n:kko
bhs:ucCrApayati,3285:ucCrApayati:n:CrA
sch:utkIrRikA,28228:utkIrRikA:n:tkI
acc:uttarARqapille,2516:uttarARqapille:n:lle
pw:uttarAdvAta,18243:uttarAdvAta:n:Adv
bhs:uttizWate,3402:uttizWate:n:Wat
pw:utpattyapUrva,18377:utpattyapUrva:n:tty
mw:utsAhagAtratA,31889.1:utsAhagAtratA:n:hag
pw:udAharaRAvalI,18876:udAharaRAvalI:n:RAv
bhs:unmUQi,3619:unmUQi:n:UQi
bhs:upapattyaMSika,3728:upapattyaMSika:n:tty
pw:upabAhyakasfYjayI,19766:upabAhyakasfYjayI:n:pab
mci:upamanyor,1870:upamanyor:n:yor
pw:UnAgra,20999:UnAgra:n:UnA
stc:UrRoti,7287:UrRoti:n:rRo
sch:fdDyaBisaMskAra,9034:fdDyaBisaMskAra:n:dDy
sch:ekanATAryaBAgavata,9088:ekanATAryaBAgavata:n:TAr
acc:ekapaYcASadvidyA,2952:ekapaYcASadvidyA:n:cAS
pw:ekasmAnnapaYcASa,22027:ekasmAnnapaYcASa:n:cAS
ap:ekika,10652:ekika:n:eki
bhs:Otkara,4271:Otkara:n:Otk
acc:Otkala,3074:Otkala:n:Otk
bhs:OpapattyaMSika,4292:OpapattyaMSika:n:tty
bhs:OpapattyaNgika,4293:OpapattyaNgika:n:tty
mw:OrRAvatya,41205:OrRAvatya:n:RAv
mw:kakzADyAya,41551:kakzADyAya:n:zAD
sch:kaRWatrAna,9603:kaRWatrAna:n:Wat
mw72:kadryac,13548:kadryac:n:dry
ieg:kampanodgrAhaka,2496:kampanodgrAhaka:n:odg
bhs:karuRAvicintin,4510:karuRAvicintin:n:RAv
mw:karkeRata,44750:karkeRata:n:rke
pw:karRAvataMsI,25052:karRAvataMsI:n:RAv
sch:karRAvatI,28412:karRAvatI:n:RAv
acc:kastUritilakapaYcASat,3621:kastUritilakapaYcASat:n:cAS
sch:kARqacCedana,28452:kARqacCedana:n:qac
acc:kAmanandABiDAnakAvya,42508:kAmanandABiDAnakAvya:n:dAB
acc:kAmyezwyaRqabilA,42520:kAmyezwyaRqabilA:n:qab
pwg:kArRaKariki,16635:kArRaKariki:n:RaK
mw:kArzApaRAvara,48976:kArzApaRAvara:n:RAv
acc:kAlikAkulAmfte,42576:kAlikAkulAmfte:n:fte
inm:kuwwAparanta,6413:kuwwAparanta:n:wAp
mw:kuRWitASri,51841:kuRWitASri:n:tAS
acc:kuRqacakrARi,42656:kuRqacakrARi:n:qac
acc:kuRqasADanaviDi,4329:kuRqasADanaviDi:n:qas
vcp:kumudABiKya,14133:kumudABiKya:n:dAB
mw:kulawApatI,53104:kulawApatI:n:wAp
shs:kfRAvAsa,11538:kfRAvAsa:n:RAv
mw:kfzRAvatAra,55521:kfzRAvatAra:n:RAv
mw:kfzRAvadAta,55522:kfzRAvadAta:n:RAv
acc:kriyAkramoddyota,5245:kriyAkramoddyota:n:odd
bhs:kzaRekzaRA,5341:kzaRekzaRA:n:Rek
mw:kzAralavaRAvarAnnasaMsfzwa,59198.1:kzAralavaRAvarAnnasaMsfzwa:n:RAv
ieg:KaRqasPuwitajIrRodDAra,2722:KaRqasPuwitajIrRodDAra:n:rRo,qas
stc:KarozwrI,8584:KarozwrI:n:wrI
sch:KalAtkAra,11884:KalAtkAra:n:Atk
sch:gaYjulikA,12008:gaYjulikA:n:jul
acc:gaRoddeSadIpikA,30588:gaRoddeSadIpikA:n:odd
pw:gahagahArava,35147:gahagahArava:n:hag
bhs:guRAvaguRWitaBUta,5779:guRAvaguRWitaBUta:n:RAv
pe:guRAvatI,2538:guRAvatI:n:RAv
sch:guptavfttyA,28632:guptavfttyA:n:tty
acc:gururahasyANgapUjAviDAnastotra,32643:gururahasyANgapUjAviDAnastotra:n:jAv
acc:gurusUryagocaravicAra,6126:gurusUryagocaravicAra:n:goc
acc:gfhyARqapille,6192:gfhyARqapille:n:lle
bhs:gocarapariSudDisUtra,5842:gocarapariSudDisUtra:n:goc
mw:gocarADyAya,67005:gocarADyAya:n:goc
bhs:gocarin,5844:gocarin:n:goc
mw:gocarmamAtra,67012.1:gocarmamAtra:n:goc
ieg:gocCakapati,2005:gocCakapati:n:goc
pwg:grahagalatva,73185:grahagalatva:n:hag
acc:grahaRAvalI,6734:grahaRAvalI:n:RAv
ieg:grAmanilayanAqasarvabADAparihAreRa,6942:grAmanilayanAqasarvabADAparihAreRa:n:qas
vcp:cakravfdvi,19026:cakravfdvi:n:fdv
bhs:caYcitASraya,6028:caYcitASraya:n:tAS
acc:caturaDyAyikASOnakIyA,6972:caturaDyAyikASOnakIyA:n:ASO
acc:caturnavatikalAkrama,6997:caturnavatikalAkrama:n:rna
mw:catuzpaYcASadaDikaSata,71409.2:catuzpaYcASadaDikaSata:n:cAS
bhs:candrodgata,6125:candrodgata:n:odg
sch:cayanAnandapille,13101:cayanAnandapille:n:lle
pui:cAruRAvatI,4743:cAruRAvatI:n:RAv
acc:cOrasuratapaYcASikA,39950:cOrasuratapaYcASikA:n:cAS
vcp:CAgavAdvana,20300:CAgavAdvana:n:Adv
sch:CAtkAra,13549:CAtkAra:n:Atk
acc:jagajjyotirmalla,43456:jagajjyotirmalla:n:jjy
vcp:jananASOca,20557:jananASOca:n:ASO
mw:jalakAntASman,77788:jalakAntASman:n:tAS
acc:jAtisawkaprakaraRa,8049:jAtisawkaprakaraRa:n:wka,awk
mw:jihmAkza,79474:jihmAkza:n:hmA
acc:jIrRodDAradaSakavyAKyA,43560:jIrRodDAradaSakavyAKyA:n:rRo
cae:jIrRodyana,11399:jIrRodyana:n:rRo
acc:jIvacCrAdDaviDi,33130:jIvacCrAdDaviDi:n:CrA
acc:jYAnavEBavatantra,8247:jYAnavEBavatantra:n:EBa
sch:taqilleKAyate,14199:taqilleKAyate:n:lle
mw:tadAtvamAtraSradDeya,82176.1:tadAtvamAtraSradDeya:n:dDe
acc:tarkataraNgiRIviSezArTaviSezavivaraRa,8796:tarkataraNgiRIviSezArTaviSezavivaraRa:n:RIv
acc:tAjikajyotirmaRi,43724:tAjikajyotirmaRi:n:tAj
acc:tAjikavarzapattraPala,40084:tAjikavarzapattraPala:n:tAj
acc:tAjikAcandrikAvinoda,8870:tAjikAcandrikAvinoda:n:tAj
acc:tAntrakuRqasidDiprayoga,8920:tAntrakuRqasidDiprayoga:n:qas
ccs:tAmUna,8527:tAmUna:n:AmU
sch:tiraskftAyamAna,14580:tiraskftAyamAna:n:skf
mw:tUrRodita,86417:tUrRodita:n:rRo
acc:tEttirIyapUjyatAnirUpaRa,9210:tEttirIyapUjyatAnirUpaRa:n:Ujy
pw:tripaYcASatkriyAkaTAnaka,47538:tripaYcASatkriyAkaTAnaka:n:cAS
vcp:tvampadABiDa,24022:tvampadABiDa:n:dAB
yat:dakzaRAvat,17806:dakzaRAvat:n:RAv
pe:daSadryu,1764:daSadryu:n:dry
acc:daSaDAtmajanirRaya,9722:daSaDAtmajanirRaya:n:SaD
acc:daSaDenudAna,33583:daSaDenudAna:n:SaD
mw:dArARukramaRa,91679:dArARukramaRa:n:Ruk
md:dfzwyagocara,9549:dfzwyagocara:n:goc
skd:devadryaN,16960:devadryaN:n:dry
mw:devadryac,95745:devadryac:n:dry
pw:dEvadattyA,52908:dEvadattyA:n:tty
mw:dEvayajYapiRqasUrya,96818:dEvayajYapiRqasUrya:n:qas
acc:dEvikaDarmaMnirUpaRa,10435:dEvikaDarmaMnirUpaRa:n:Mni
inm:drazwAtman,3647:drazwAtman:n:wAt
mw:dvApaYcASadakzara,98174:dvApaYcASadakzara:n:cAS
vcp:dvEtAdvEta,26838:dvEtAdvEta:n:Adv
shs:DanacCu,20284:DanacCu:n:cCu
bhs:DarmacakracandrodgataSrI,7722:DarmacakracandrodgataSrI:n:odg
yat:DutAvaDi,20157:DutAvaDi:n:Dut
vcp:DUmAgni,27428:DUmAgni:n:UmA
acc:nAnUrinArAyaRa,11631:nAnUrinArAyaRa:n:AnU
ccs:nABAnedizwa,11786:nABAnedizwa:n:ned
mw72:nidiDyeya,24626:nidiDyeya:n:yey
acc:niyojyAnvaya,44416:niyojyAnvaya:n:ojy
bhs:nirnamayati,8395:nirnamayati:n:rna
mw:nisargeRa,111040:nisargeRa:n:rge
sch:nfpatI,17302:nfpatI:n:nfp
mw:nfpanApitaputranyAya,111860.1:nfpanApitaputranyAya:n:nfp
acc:nfpavaMSAvali,34190:nfpavaMSAvali:n:nfp
mw:nfpANganA,112003:nfpANganA:n:nfp
skd:nedIyAn,19636:nedIyAn:n:ned
mw:nEvaSASvatonASASvataSca,112562:nEvaSASvatonASASvataSca:n:onA
pw:nyUnAByaDika,61538:nyUnAByaDika:n:UnA
vcp:pakzADAta,29969:pakzADAta:n:zAD
ccs:paYcadaRqacCaktraprabanDa,13012:paYcadaRqacCaktraprabanDa:n:qac
vcp:paYcamUlyAdi,30136:paYcamUlyAdi:n:Uly
sch:paYcaSarAntaka,17528:paYcaSarAntaka:n:caS
acc:paYcaSlokitAjika,34328:paYcaSlokitAjika:n:caS,tAj
acc:paYcASannAman,40362:paYcASannAman:n:cAS
acc:padABinayamaYjarI,34377:padABinayamaYjarI:n:dAB
mw:padABilAzin,115379:padABilAzin:n:dAB
wil:padmapaba,23173:padmapaba:n:pab
pw:parABuve,63542:parABuve:n:ABu
mw:parituzwAtman,117656:parituzwAtman:n:wAt
acc:paryaNkASOcaviDi,34481:paryaNkASOcaviDi:n:ASO
bhs:paryaRWate,9244:paryaRWate:n:Wat
pui:pAYcASvameDika,7471:pAYcASvameDika:n:cAS
vcp:pAWi,31519:pAWi:n:AWi
vcp:pAdAByaYjana,31694:pAdAByaYjana:n:dAB
sch:pAdAByAsa,18329:pAdAByAsa:n:dAB
