acc:agnizwomakratukxpti,39278:agnizwomakratukxpti:n:xp,kx
acc:aCApAstotra,39291:aCApAstotra:n:aC
acc:aCAvAkaprayoga,211:aCAvAkaprayoga:n:aC
acc:aCAvAkaSastra,212:aCAvAkaSastra:n:aC
acc:aCidrASvameDa,213:aCidrASvameDa:n:aC
gra:aCidroti,164:aCidroti:n:aC
gra:aCidroDan,165:aCidroDan:n:aC
gra:aCinnapatra,166:aCinnapatra:n:aC
ap:ayaJaka,4303:ayaJaka:n:aJ
ap:ayaJiya,4304:ayaJiya:n:aJ
bur:avaCinadmi,1546:avaCinadmi:n:aC
acc:avaCedakatAmAlA,1273:avaCedakatAmAlA:n:aC
acc:avaCedakatAleSa,1274:avaCedakatAleSa:n:aC
acc:avaCedakatAvAda,1275:avaCedakatAvAda:n:aC
acc:avaCedakatAsAra,1276:avaCedakatAsAra:n:aC
acc:avaCedakatvanirukti,1277:avaCedakatvanirukti:n:aC
acc:avaCedakatvalakzaRa,31572:avaCedakatvalakzaRa:n:aC
acc:avaCedakatvavAda,41990:avaCedakatvavAda:n:aC
acc:avaCedakapattra,1282:avaCedakapattra:n:aC
acc:avaCedakAnumitivicAra,31574:avaCedakAnumitivicAra:n:aC
bhs:ABaraRaCattranirGoza,2798:ABaraRaCattranirGoza:n:aC
inm:unmattaveSapraCanna,11152:unmattaveSapraCanna:n:aC
mw:upasaMpraC,36180:upasaMpraC:n:aC
acc:ekArTAvaCinnasUtrasamUha,42358:ekArTAvaCinnasUtrasamUha:n:aC
vcp:gaNgojJa,16716:gaNgojJa:n:jJ
wil:gomayaCavikA,14037:gomayaCavikA:n:aC
acc:grahaRaCAyAdisADanayogasAraRI,39887:grahaRaCAyAdisADanayogasAraRI:n:aC
bur:cikxpsAmi,6581:cikxpsAmi:n:xp,kx
acc:CamaCamikAratna,7592:CamaCamikAratna:n:aC
sch:JaRajJaRa,14065:JaRajJaRa:n:jJ
sch:JaRajJaRiti,14064:JaRajJaRiti:n:jJ
pw:JaRaJaRI,43694:JaRaJaRI:n:aJ
acc:JalajJalavAsudeva,8426:JalajJalavAsudeva:n:jJ
acc:drumaCedaprAyaScitta,10488:drumaCedaprAyaScitta:n:aC
acc:DarmitAvaCedakatApratyAsatti,33836:DarmitAvaCedakatApratyAsatti:n:aC
acc:DarmitAvaCedakatAvAda,10782:DarmitAvaCedakatAvAda:n:aC
acc:DarmitAvaCedakatAvAdArTa,10783:DarmitAvaCedakatAvAdArTa:n:aC
acc:DarmitAvaCedakapratyAsatti,10784:DarmitAvaCedakapratyAsatti:n:aC
acc:DarmitAvaCedakarahasya,10786:DarmitAvaCedakarahasya:n:aC
acc:DarmitAvaCedakavAda,10787:DarmitAvaCedakavAda:n:aC
acc:nandipadaCandas,11021:nandipadaCandas:n:aC
acc:navyaDarmitAvaCedakavAdArTa,11292:navyaDarmitAvaCedakavAdArTa:n:aC
mw:niyamojJiti,109159.1:niyamojJiti:n:jJ
acc:peYjallaJiNgayya,8427:peYjallaJiNgayya:n:aJ
acc:pORqarIkapraTamakxpti,34677:pORqarIkapraTamakxpti:n:xp,kx
acc:praCannabrahmavAdanirAkaraRa,13969:praCannabrahmavAdanirAkaraRa:n:aC
yat:prayaCat,26073:prayaCat:n:aC
acc:prAkftaCandazwIkA,14518:prAkftaCandazwIkA:n:aC
acc:banDanaCedanamantra,34948:banDanaCedanamantra:n:aC
sch:bramojJa,20372:bramojJa:n:jJ
bhs:muktaCattrapravAtasadfSa,12103:muktaCattrapravAtasadfSa:n:aC
acc:raRaCoqadAsa,45977:raRaCoqadAsa:n:aC
bhs:ratnaCattrakUwasaMdarSana,12607:ratnaCattrakUwasaMdarSana:n:aC
bhs:ratnaCattrAByudgatAvaBAsa,12608:ratnaCattrAByudgatAvaBAsa:n:aC
acc:rAjaSeKaramalaDArigaCamaRqana,19604:rAjaSeKaramalaDArigaCamaRqana:n:aC
acc:vaCAcArya,21283:vaCAcArya:n:aC
acc:vaCiya,21284:vaCiya:n:aC
bhs:vijJati,13750:vijJati:n:jJ
acc:viSezyatAvaCedakaprakArakajYAnakAraRatAvicAra,46732:viSezyatAvaCedakaprakArakajYAnakAraRatAvicAra:n:aC
mw:viSvAsojJitaDI,201603:viSvAsojJitaDI:n:jJ
mw:vfttabanDojJita,204429:vfttabanDojJita:n:jJ
acc:vyaDikaraRaDarmAvaCinna,37468:vyaDikaraRaDarmAvaCinna:n:aC
acc:vyaDikaraRaDarmAvaCinnABAva,23981:vyaDikaraRaDarmAvaCinnABAva:n:aC
yat:sandazwadaSanaCada,39990:sandazwadaSanaCada:n:aC
mw:samBAvanojJita,236965.1:samBAvanojJita:n:jJ
bhs:sarvaDarmanirnAdaCattramaRqalanirGoza,16448:sarvaDarmanirnAdaCattramaRqalanirGoza:n:aC
wil:sitaCaca,41819:sitaCaca:n:aC
bhs:suvarRaratnAkaraCattrakUwa,17150:suvarRaratnAkaraCattrakUwa:n:aC
acc:svaCandaBawwArakabfhatpUjApattrikAviDi,29180:svaCandaBawwArakabfhatpUjApattrikAviDi:n:aC
acc:svaCandaSaktyavatAra,48043:svaCandaSaktyavatAra:n:aC
acc:svaCandoddyota,29185:svaCandoddyota:n:aC
