pe:aMSuDanapattana,222:aMSuDanapattana:n:SuD
bhs:acCila,216:acCila:n:Cil
ap90:apariskaMda,2475:apariskaMda:n:isk
pw:aparvatanadIvfkza,6205:aparvatanadIvfkza:n:Ivf
sch:apArTI,3595:apArTI:n:rTI
acc:appayya,900:appayya:n:app
cae:apratigfhRant,2116:apratigfhRant:n:hRa
bhs:aBigfhRati,1468:aBigfhRati:n:hRa
acc:aBinavaBawwabARa,964:aBinavaBawwabARa:n:wab
bhs:aBinigfhRati,1509:aBinigfhRati:n:hRa
bur:amUni,1312:amUni:n:Uni
acc:araqakvamalla,1103:araqakvamalla:n:raq
mw:arkASvameDin,15656.2:arkASvameDin:n:rkA
mw:arkendusaMgama,15661:arkendusaMgama:n:rke
acc:arTavatsUtravyAKyA,1188:arTavatsUtravyAKyA:n:tsU
acc:alasakAjIrRaprakASa,1263:alasakAjIrRaprakASa:n:kAj
bhs:alluka,2020:alluka:n:llu
sch:aviskanttar,5688:aviskanttar:n:isk
pe:azwabudDiguRa,507:azwabudDiguRa:n:wab
mw:azwASvasamADi,20300.1:azwASvasamADi:n:wAS
vcp:asamparke,5805:asamparke:n:rke
acc:Agamottaratantra,30139:Agamottaratantra:n:mot
wil:Awabika,5191:Awabika:n:wab
mw:ARqIvatAyani,23327:ARqIvatAyani:n:qIv
mw:ADyaSvIya,24275:ADyaSvIya:n:SvI
acc:ApiSalISikzA,2023:ApiSalISikzA:n:ISi
yat:ApyAyitf,4919:ApyAyitf:n:pyA
acc:ArAmotsargapadDati,2086:ArAmotsargapadDati:n:mot
acc:ArAmotsargaprayoga,2087:ArAmotsargaprayoga:n:mot
acc:ArAmotsargaviDi,31734:ArAmotsargaviDi:n:mot
mw:ArkAyaRi,26386:ArkAyaRi:n:rkA
mw:izvanIkIya,29496:izvanIkIya:n:IkI
pw:ISitavyAy,17537:ISitavyAy:n:ISi
mw72:ucCilIndra,10234:ucCilIndra:n:Cil
mw:uttamottamika,31133.2:uttamottamika:n:mot
pwg:udBUtarasasya,67991:udBUtarasasya:n:dBU
acc:udBUtAnudBUtaviveka,31858:udBUtAnudBUtaviveka:n:dBU
sch:unmInaketana,8478:unmInaketana:n:nmI
acc:umottaraKaRqa,2818:umottaraKaRqa:n:mot
sch:uragASin,8812:uragASin:n:gAS
bhs:ullumpati,3933:ullumpati:n:llu
mw:ftvigASis,38617.31:ftvigASis:n:gAS
mw:eRIkIya,40028.2:eRIkIya:n:IkI
vcp:elAdiguwikA,10815:elAdiguwikA:n:guw
pe:ellu,2288:ellu:n:llu
acc:EtihyatattvarAdDAnta,31937:EtihyatattvarAdDAnta:n:ihy
bhs:OttarApaTika,4272:OttarApaTika:n:Ott
sch:kakkiRqa,9451:kakkiRqa:n:kki
mw:kakkinda,41503.1:kakkinda:n:kki
shs:karketara,9254:karketara:n:rke
mw:karketila,44752:karketila:n:rke
vcp:kaliNgAdyaguwikA,12551:kaliNgAdyaguwikA:n:guw
acc:kAkamETunadarSanaSAnti,3632:kAkamETunadarSanaSAnti:n:amE
acc:kAkoji,32045:kAkoji:n:koj
acc:kAyasTakzatriyatvadrumadalanakuWAra,3823:kAyasTakzatriyatvadrumadalanakuWAra:n:kuW,uWA
pw:kArkAriRa,26896:kArkAriRa:n:rkA
pwg:kArkArin,16631:kArkArin:n:rkA
acc:kAlikAjaganmaNgalakavaca,4007:kAlikAjaganmaNgalakavaca:n:kAj
mw:kAzWapAzARavAsas,50028:kAzWapAzARavAsas:n:Wap
vcp:kikkiwa,13599:kikkiwa:n:kki
mw:kikkisa,50192:kikkisa:n:kki
sch:kuWArAyate,28514:kuWArAyate:n:kuW,uWA
mw:kuqAyI,51751:kuqAyI:n:uqA
pw:kurIrIn,29013:kurIrIn:n:IrI
acc:kullukaBawwa,42702:kullukaBawwa:n:llu
yat:kusumotkira,10573:kusumotkira:n:mot
bhs:kusumottama,5078:kusumottama:n:mot
pui:kusumottara,3361:kusumottara:n:mot
bhs:kusumottarIya,5080:kusumottarIya:n:mot
bhs:kusumotpala,5081:kusumotpala:n:mot
mw:kUzmARqA,54141:kUzmARqA:n:kUz
pui:kUzmARqi,3401:kUzmARqi:n:kUz
pw:kftArTI,30054:kftArTI:n:rTI
acc:kftsUtrARi,4556:kftsUtrARi:n:tsU
vcp:kojAnara,15144:kojAnara:n:koj
acc:kramottamapadDati,5237:kramottamapadDati:n:mot
bhs:kzamottara,5352:kzamottara:n:mot
sch:Karaqita,11849:Karaqita:n:raq
acc:gadADaratarkAcArya,5771:gadADaratarkAcArya:n:rkA
mw72:garjanmeGa,17149:garjanmeGa:n:nme
sch:gAraqaka,12273:gAraqaka:n:raq
acc:guwikADikAra,5992:guwikADikAra:n:guw
pw:guwikI,35626:guwikI:n:guw
bhs:guqAguYjikaBUta,5737:guqAguYjikaBUta:n:uqA
bhs:gfhRana,5831:gfhRana:n:hRa
acc:gokulanATamETilamahAmahopADyAya,6205:gokulanATamETilamahAmahopADyAya:n:amE
mw:GftakzOdravat,69951:GftakzOdravat:n:zOd
mw:GorikA,70216:GorikA:n:ori
sch:cakorikA,12834:cakorikA:n:ori
sch:cakorikAyate,12835:cakorikAyate:n:ori
sch:caturaNgASvapadapUraRa,12939:caturaNgASvapadapUraRa:n:gAS
acc:candronmIlinI,7158:candronmIlinI:n:nmI
mw:cikkiRA,73429:cikkiRA:n:kki
bur:cukUzAmi,6693:cukUzAmi:n:kUz
sch:corin,13472:corin:n:ori
acc:janmezwakAlaSoDana,33035:janmezwakAlaSoDana:n:nme
acc:janmezwaSoDana,33037:janmezwaSoDana:n:nme
acc:jalASayArAmotsargapadDati,43517:jalASayArAmotsargapadDati:n:mot
acc:jalASayArAmotsargamayUKa,7951:jalASayArAmotsargamayUKa:n:mot
acc:jYAnasamUhahorAprakASa,8254:jYAnasamUhahorAprakASa:n:hah
bhs:wakkirAja,6759:wakkirAja:n:kki
bhs:WapanIyapraSna,6766:WapanIyapraSna:n:Wap
bhs:Wapeti,6767:Wapeti:n:Wap
acc:tarkAnuBAzya,8847:tarkAnuBAzya:n:rkA
acc:tarkojjIvinI,8850:tarkojjIvinI:n:koj
acc:tripurasundarIpAdukArcanakramottama,33437:tripurasundarIpAdukArcanakramottama:n:mot
acc:dattakojjvala,43893:dattakojjvala:n:koj
acc:dattArcanAviDicandrikA,43903:dattArcanAviDicandrikA:n:Dic
mw72:dadUkzeRya,21834:dadUkzeRya:n:dUk
acc:dAnakelicintAmaRi,9808:dAnakelicintAmaRi:n:lic
pw:dAmalihy,49734:dAmalihy:n:ihy
acc:durgASUlinIpratikriyA,10132:durgASUlinIpratikriyA:n:gAS,ASU
vcp:dehAtIta,26145:dehAtIta:n:ehA
sch:dehAtmaka,15709:dehAtmaka:n:ehA
