bur:anugfhRAmi,608:anugfhRAmi:n:hRA
bur:aByApnomi,1255:aByApnomi:n:pno
vei:aryamRaHpanTA,146:aryamRaHpanTA:n:RaH
bur:avazwaBnomi,1647:avazwaBnomi:n:Bno
mw72:asammoza,7496:asammoza:n:mmo
skd:ASvineyO,3903:ASvineyO:n:eyO
sch:iqenyakratu,7608:iqenyakratu:n:iqe
sch:udgUrayitar,8331:udgUrayitar:n:dgU
bhs:udgfhRAti,3540:udgfhRAti:n:hRA
bur:upagfhRAmi,3089:upagfhRAmi:n:hRA
acc:kASIdAsaprahasana,4158:kASIdAsaprahasana:n:SId
acc:koneriBawwa,32369:koneriBawwa:n:one
mw:gfhRAna,66760:gfhRAna:n:hRA
ieg:jowI,2396:jowI:n:jow
stc:Jatkfta,9744:Jatkfta:n:Jat
skd:RATa,14172:RATa:n:RAT
bur:tAtyajmi,7852:tAtyajmi:n:jmi
mw:trisaMDyI,88447:trisaMDyI:n:DyI
pui:dantakARvoSana,5821:dantakARvoSana:n:voS
mw:durgaGnA,94434:durgaGnA:n:GnA
bhs:DarmArciHsaMtejorAja,7865:DarmArciHsaMtejorAja:n:ciH
bur:nigfhRAmi,9757:nigfhRAmi:n:hRA
sch:niGnAyamAna,16727:niGnAyamAna:n:GnA
bur:nirvfRajmi,10046:nirvfRajmi:n:jmi
ieg:niSIdikA,3829:niSIdikA:n:SId
mci:nizwyUnaka,185:nizwyUnaka:n:wyU
wil:nfpasaMSfya,22554:nfpasaMSfya:n:Sfy
bur:parigfhRAmi,10558:parigfhRAmi:n:hRA
bhs:paryApnoti,9273:paryApnoti:n:pno
acc:paSUpahAra,34508:paSUpahAra:n:SUp
ap90:pAMcaBEtika,18582:pAMcaBEtika:n:BEt
bhs:pragfhRAti,9857:pragfhRAti:n:hRA
bur:pragfhRAmi,11440:pragfhRAmi:n:hRA
mw:praRayiBava,131257:praRayiBava:n:yiB
bhs:pratigfhRAti,9955:pratigfhRAti:n:hRA
bur:pratigfhRAmi,11563:pratigfhRAmi:n:hRA
skd:bAqaveyO,24215:bAqaveyO:n:eyO
ccs:bijakoSa,16774:bijakoSa:n:bij
ieg:bfhadvACaka,1094:bfhadvACaka:n:vAC
mw72:BfRiwakA,35758:BfRiwakA:n:Riw
ieg:mummuqi,3597:mummuqi:n:muq
mw:mEtreyyupanizad,168240:mEtreyyupanizad:n:yyu
pwg:yAvayaddUzas,82089:yAvayaddUzas:n:ddU
acc:rAkzoGnAni,19459:rAkzoGnAni:n:GnA
md:loBopahatacetas,15693:loBopahatacetas:n:oBo
bhs:vAyiBUmi,13517:vAyiBUmi:n:yiB
bur:vAvrajmi,15118:vAvrajmi:n:jmi
bur:vigfhRAmi,15256:vigfhRAmi:n:hRA
bhs:viGnAri,13688:viGnAri:n:GnA
bhs:vijJati,13750:vijJati:n:Jat
pui:vizaGnAni,13288:vizaGnAni:n:GnA
bur:vizkaBnomi,15882:vizkaBnomi:n:Bno
bur:vistaBnomi,15922:vistaBnomi:n:Bno
sch:vIRonnIti,24331:vIRonnIti:n:IRo
sch:vudvARqa,24361:vudvARqa:n:vud
acc:veNkawaBEw,23376:veNkawaBEw:n:BEw
acc:vEzRavaDarmAnuzWAnapadDatOnfsiMhaparicaryA,46957:vEzRavaDarmAnuzWAnapadDatOnfsiMhaparicaryA:n:Onf
pwg:SaMvUka,97000:SaMvUka:n:vUk
vcp:SimuqI,43485:SimuqI:n:muq
pui:SramadAgepi,14864:SramadAgepi:n:gep
pui:SrOtagepi,15002:SrOtagepi:n:gep
ccs:saMsKyA,25769:saMsKyA:n:sKy
mw72:saNgfByA,48566:saNgfByA:n:fBy
bur:saNgfhRAmi,17321:saNgfhRAmi:n:hRA
pui:sammUha,15467:sammUha:n:mmU
mw72:sammfjyamAna,51284:sammfjyamAna:n:mmf
mw72:sammohya,51277:sammohya:n:mmo
pui:sarvasammohinI,15610:sarvasammohinI:n:mmo
acc:sAkzInAmnImArgaSIrzEkadaSI,47744:sAkzInAmnImArgaSIrzEkadaSI:n:rzE
mw:svargepsu,259235:svargepsu:n:gep
