yat:aDibinnA,876:aDibinnA:n:ibi
pw:anABAyan,3911:anABAyan:n:BAy
gst:aBAyavARa,5884:aBAyavARa:n:BAy
bur:aBiBAyatanAni,1122:aBiBAyatanAni:n:BAy
sch:asaMmatAvavAda,6198:asaMmatAvavAda:n:Mma
pw:ahaMmamABimAna,13132:ahaMmamABimAna:n:Mma
vcp:AplAbita,7130:AplAbita:n:Abi
sch:Abilita,7091:Abilita:n:Abi
vcp:OrRRAvata,11154:OrRRAvata:n:RRA
sch:kandukAbindukA,9712:kandukAbindukA:n:Abi
acc:kavisinDusuDAmbuDibindu,3599:kavisinDusuDAmbuDibindu:n:ibi
yat:kzapotyaya,45062:kzapotyaya:n:oty
pwg:KamBAyatabindara,72280:KamBAyatabindara:n:BAy
acc:gurubAlaboDino,6094:gurubAlaboDino:n:rub
vcp:taRqulotya,21934:taRqulotya:n:oty
acc:tvaMmanoyogahetutA,40141:tvaMmanoyogahetutA:n:Mma
mw:darSanIyaMmanya,90676:darSanIyaMmanya:n:Mma
sch:nfjvAtA,17295:nfjvAtA:n:fjv
shs:pratibi,26546:pratibi:n:ibi
bur:badbaDe,12395:badbaDe:n:adb
bhs:boDisattvakzAntilABAya,11035:boDisattvakzAntilABAya:n:BAy
md:BAyaya,13162:BAyaya:n:BAy
sch:BAyasama,20549:BAyasama:n:BAy
pw:BuvaMmanyu,80192:BuvaMmanyu:n:Mma
mw:madbanDanasamudBava,155245:madbanDanasamudBava:n:adb
mw72:mukAbilA,37493:mukAbilA:n:Abi
acc:varRRASramaDarmadIpa,31236:varRRASramaDarmadIpa:n:RRA
acc:vedAntasaMmatakarmatattva,23609:vedAntasaMmatakarmatattva:n:Mma
ap90:SAbidaka,27822:SAbidaka:n:Abi
ap90:Subra,28113:Subra:n:Sub
pw:SoBAy,114461:SoBAy:n:BAy
bhs:saMmarjitaka,16342:saMmarjitaka:n:Mma
pw:saMmarditos,121226:saMmarditos:n:Mma
cae:saMmalozwakAYcana,35215:saMmalozwakAYcana:n:Mma
cae:saMmalozwASmakAYcana,35216:saMmalozwASmakAYcana:n:Mma
sch:suDAkumBAyate,26685:suDAkumBAyate:n:BAy
bhs:supraBAyakA,17027:supraBAyakA:n:BAy
sch:stamBAyate,27072:stamBAyate:n:BAy
pw:stAmBAyanya,130507:stAmBAyanya:n:BAy
mw72:srotya,53617:srotya:n:oty
