mw:akarmikA,196:akarmikA:n:rmi
md:ajIgar,493:ajIgar:n:jIg
cae:aDarmizwa,848:aDarmizwa:n:rmi
bhs:anAvfttikaDarmin,698:anAvfttikaDarmin:n:rmi
ap:anupfzWaya,1925:anupfzWaya:n:Way
sch:aparikarmitamati,3391:aparikarmitamati:n:rmi
pw:apArDakzetra,6454:apArDakzetra:n:ArD
bur:apovAha,991:apovAha:n:ovA
gst:aBisozyat,6528:aBisozyat:n:soz
mw:aByUzya,13663:aByUzya:n:ByU
bur:arIyarmi,1400:arIyarmi:n:rmi
bhs:alakuRqalaBawwiya,1967:alakuRqalaBawwiya:n:wiy
mw72:alaNkarmIRa,6009:alaNkarmIRa:n:rmI
mw:azwArDa,20291.2:azwArDa:n:ArD
pw:azwArDArDa,12149:azwArDArDa:n:ArD
acc:Ayuzkarmezwi,42148:Ayuzkarmezwi:n:rme
pw:iDmAbarhizI,16858:iDmAbarhizI:n:mAb
bur:iyarmi,2654:iyarmi:n:rmi
pe:ilibilA,2738:ilibilA:n:lib
pui:upAkarmezwi,1883:upAkarmezwi:n:rme
mw:UrmizawkAtiga,38315:UrmizawkAtiga:n:rmi
pwg:etavADrya,68987:etavADrya:n:ADr
pw:EtavADrya,22468:EtavADrya:n:ADr
bhs:ovAcu,4240:ovAcu:n:ovA
acc:kakudgirimAhAtmya,3126:kakudgirimAhAtmya:n:dgi
bhs:karmira,4549:karmira:n:rmi
pui:kOtujAtaya,3674:kOtujAtaya:n:tuj
vei:krAtujAteya,774:krAtujAteya:n:tuj
bhs:kzepu,5394:kzepu:n:epu
pe:KarakarmI,3524:KarakarmI:n:rmI
sch:gaRaDarasArDaSataka,12022:gaRaDarasArDaSataka:n:ArD
acc:garBezwakAlaSoDana,32572:garBezwakAlaSoDana:n:rBe
acc:gUQaboDakasaMgraha,6143:gUQaboDakasaMgraha:n:Qab
vcp:govAsadAsana,18243:govAsadAsana:n:ovA
bhs:cakravarmiRI,6005:cakravarmiRI:n:rmi
acc:caRqIsArDanavavizaya,6948:caRqIsArDanavavizaya:n:ArD
inm:candrArDakftaSIrza,1977:candrArDakftaSIrza:n:ArD
sch:caramArDaniravadya,13123:caramArDaniravadya:n:ArD
sch:carmitaru,13149:carmitaru:n:rmi
bur:cAkzarmi,6502:cAkzarmi:n:rmi
pui:cAtujIvA,4717:cAtujIvA:n:tuj
pe:cudAlA,1636:cudAlA:n:cud
vcp:cupunIkA,20026:cupunIkA:n:cup
ap90:jaMGila,13688:jaMGila:n:Gil
bur:jariharmi,7070:jariharmi:n:rmi
bur:jargarmi,7075:jargarmi:n:rmi
bur:jarBe,7084:jarBe:n:rBe
bur:jarharmi,7085:jarharmi:n:rmi
bur:jAjarmi,7149:jAjarmi:n:rmi
bur:jAharmi,7199:jAharmi:n:rmi
bur:jAhvarmi,7206:jAhvarmi:n:rmi
bur:jigezize,7225:jigezize:n:ige
bur:jiharmi,7272:jiharmi:n:rmi
mw:jyotIrUpasvayamBU,80804:jyotIrUpasvayamBU:n:IrU
bur:tAtarmi,7846:tAtarmi:n:rmi
bur:tAstarmi,7907:tAstarmi:n:rmi
bur:tizwige,7973:tizwige:n:ige
bur:tutormi,8019:tutormi:n:rmi
bur:dardarmi,8459:dardarmi:n:rmi
bur:dAdarmi,8568:dAdarmi:n:rmi
vcp:durmilakA,25486:durmilakA:n:rmi
pui:DanvatIrUpA,6507:DanvatIrUpA:n:IrU
bhs:DarmaDAtupraRiDitalanirBeda,7759:DarmaDAtupraRiDitalanirBeda:n:rBe
bhs:DarmaDAtupraRiDisunirmitacandrarAja,7760:DarmaDAtupraRiDisunirmitacandrarAja:n:rmi
bhs:DarmaDAtusunirmitapraRiDicandra,7770:DarmaDAtusunirmitapraRiDicandra:n:rmi
pwg:DarmitAvacCedakatApratyAsattivicAra,76540:DarmitAvacCedakatApratyAsattivicAra:n:rmi
