pe:aksasUtrA,153:akzasUtrA:t:ks
ap90:aMkfyat,263:aMkfyat:n:fy
pw:atamaAvizwa,1607:atamaAvizwa:n:aA
ccs:aDIrAkSa,617:aDIrAkza:t:kS
yat:aDobAyu,923:aDovAyu:t:Alphabetical misordering.
pwg:aniHzavya,63515:anizavya:t:Hz
sch:aniHzWitASa,2558:aniHzWitASa:n:Hz
sch:apalaksaRa,3478:apalakzaRa:t:ks
acc:appaRRaAcArya,899:appaRRaAcArya:n:aA
sch:ayukparRa,4656:ayukparRa:n:kp
md:ayuksaMKya,2506:ayuksaMKya:n:ks
acc:araSAnipAlaveNkawaAcArya,23333:araSAnipAlaveNkawaAcArya:n:aA
mw72:avikzobita,6855:avikzoBita:t:ob
mw:aviplutamanobudDi,18903:aviplutamanobudDi:n:ob
inm:azwAvakradiksaMvAda,887:azwAvakradiksaMvAda:n:ks
pw:asfkpaTopaga,12753:asfkpaTopaga:n:kp
acc:ahobalanATasidDAnta,1530:ahobalanATasidDAnta:n:ob
bur:AnaNGe,2188:AnaNGe:n:Ge
sch:AraksaRa,7221:ArakzaRa:p:ks
bhs:AryamahAsiMhaukkAsita,2934:AryamahAsiMhaukkAsita:n:au
yat:iNgitakobida,44862:iNgitakobida:n:ob
acc:ugrAdityaAcArya,2429:ugrAdityaAcArya:n:aA
pw:uttarataAyatana,18159:uttarataAyatana:n:aA
vcp:uttaradikpASa,8854:uttaradikpASa:n:kp
acc:fksarvasamAna,42320:fksarvasamAna:n:ks
inm:fksahasrAmitekzaRa,9149:fksahasrAmitekzaRa:n:ks
inm:ftavaHzat,9185:ftavaHzaw:t:Hz
pw:OdameGeya,22848:OdameGeya:n:Ge
acc:kavikalpadrumaskanDaupasargamaRqana,3535:kavikalpadrumaskanDaupasargamaRqana:n:au
pui:kAlaSIKa,2929:kAlaSIKa:n:IK
acc:kASIKaRqakaTAkeli,4155:kASIKaRqakaTAkeli:n:IK
mw:KAdagdat,61796:KAdagdat:n:gd
acc:gAyatrIkavacahfdayastotradigbanDanAni,5890:gAyatrIkavacahfdayastotradigbanDanAni:n:gb
mw:gobIjakAYcana,67333.1:gobIjakAYcana:n:ob
acc:granTAlaMkAraAryasidDAntatulyakaraRa,6700:granTAlaMkAraAryasidDAntatulyakaraRa:n:aA
acc:GeraRqacaRqasaMvAda,6825:GeraRqacaRqasaMvAda:n:Ge
sch:caulAdevI,28679:caulAdevI:n:au
sch:cauliNga,28680:cauliNga:n:au
acc:catuHzazwyazwakastotra,6966:catuHzazwyazwakastotra:n:Hz
acc:catuHzazwyupacAramAnasapUjAstotra,32839:catuHzazwyupacAramAnasapUjAstotra:n:Hz
acc:catuHzazwyupacAraviDi,6967:catuHzazwyupacAraviDi:n:Hz
pwg:catuHzwi,24650:catuHzazwa:t:Hz
bur:jeGemi,7388:jeGemi:n:Ge
bhs:jYAnaparvataDarmaDAtudikpratapanatejorAja,6680:jYAnaparvataDarmaDAtudikpratapanatejorAja:n:kp
pw:jyotiHzwomika,43591:jyotiHzwomika:n:Hz
sch:wikkaqauvAla,14123:wikkaqauvAla:n:au
mw:tejobalasamAyukta,86914:tejobalasamAyukta:n:ob
acc:towadaAcArya,9235:towadaAcArya:n:aA
pe:daksasAvarRi,1669:dakzasAvarRi:p:alphabetic misordering.
vcp:daDipayaAdi,24264:daDipayaAdi:n:aA
acc:danokaAcArya,43905:danokaAcArya:n:aA
bhs:diSadeSaAmuKajaga,7315:diSadeSaAmuKajaga:n:aA
vcp:duHzanDi,25269:duHzanDi:n:Hz
mw:duHzamA,93321:duHzamA:n:Hz
acc:dfkpakzasAraRI,33684:dfkpakzasAraRI:n:kp
sch:dOHzWulya,15772:dOHzWulya:n:Hz
acc:DarmakaraupADyAya,10675:DarmakaraupADyAya:n:au
pui:DAhakIKaRqa,6632:DAhakIKaRqa:n:IK
acc:nandISvaraAcAryagopAlASramarUpa,11030:nandISvaraAcAryagopAlASramarUpa:n:aA
pui:nAgda,7028:nAgda:n:gd
mw:nAnAdigdeSAt,105532:nAnAdigdeSAt:n:gd
acc:nArAyaRaBawwaAraqa,11666:nArAyaRaBawwaAraqa:n:aA
vcp:niHzanDi,28627:niHzanDi:n:Hz
pw:niHzAmat,60323:niHzAman:t:mat->man
mw:niHzikta,107763:niHzikta:n:Hz
mw72:niHziDavan,24303:niHziDvan:t:Hz
mw:niHzupta,107778:niHzupta:n:Hz
bur:niHzeDAmi,10206:niHzeDAmi:n:Hz
mw:niHzku,107765.1:niHzku:n:Hz
pw:niHzWa,60329:niHzWa:n:Hz
bhs:niSCavIkftvA,8523:niSCavIkftvA:n:SC
sch:niSCidrIkfta,17078:niSCidrIkfta:n:SC
wil:nfpasaMSfya,22554:nfpasaMSraya:t:fy
pw:nEHzWika,61357:nEHzWika:n:Hz
acc:paYcolaAcArya,40364:paYcolaAcArya:n:aA
yat:payaHPenaniBa,22699:payaHPenaniBa:n:HP
mw:pARquloba,121615:pARquloha:t:ob
mw:pituHzvasf,124168:pituHzvasf:n:Hz
acc:peqqanaAcArya,13852:peqqanaAcArya:n:aA
