acc:aRREyaAcArya,255:aRREyaAcArya:n:RE
acc:aRREyapaRqita,256:aRREyapaRqita:n:RE
pw:atridagja,2351:atridagja:n:gj
pw:anuzwupkArmIRa,4904:anuzwupkArmIRa:n:pk
ccs:arTayvavahAra,1827:arTavyavahAra:t:yv
pw:arDANI,9739:arDANgI:t:NI
acc:azwESvaryaPala,39397:azwESvaryaPala:n:wE
pe:uccESSravas,7650:uccESSravas:n:SS
bop:upaspfrSA,1466:upasparSa:t:fr
inm:etAvarRO,3903:etAvarRO:n:RO
vcp:kapikacCUPalopamA,11844:kapikacCUPalopamA:n:UP
inm:kirIwaBfw,5768:kirIwaBfw:n:fw
yat:KawKawati,12055:KawKawati:n:wK
inm:guROzada,4297:guROzada:n:RO
acc:gopIjanavallaBacaraREkatAna,32706:gopIjanavallaBacaraREkatAna:n:RE
acc:gOrANgasmaraREkadaSaka,6668:gOrANgasmaraREkadaSaka:n:RE
mw:pallISarawayoHPalAPalavicAra,120295.1:pallISarawayoHPalAPalavicAra:n:oH
mw:pallISarawayoHSAnti,120295.2:pallISarawayoHSAnti:n:oH
pwg:pANI,78382:pANI:n:NI
mw:pARO,121515:pARO:n:RO
bhs:pArTagjanaka,9464:pArTagjanaka:n:gj
bhs:prajYopaka,9909:prajYopaka:n:Yo
vcp:praRANI,33608:praRANI:n:NI
inm:prAgjyotizADipa,8478:prAgjyotizADipa:n:gj
acc:brahmasUtrazawSAntiprakaraRa,35108:brahmasUtrazawSAntiprakaraRa:n:wS
ben:Bipagjita,10591:Bipagjita:n:gj
acc:muhUrtacintAmaRO,35814:muhUrtacintAmaRO:n:RO
acc:yajYopanizad,45817:yajYopanizad:n:Yo
acc:yajYopavItaDAraRaviDi,35910:yajYopavItaDAraRaviDi:n:Yo
acc:yajYopavItanityaDAraRaviDi,45818:yajYopavItanityaDAraRaviDi:n:Yo
ccs:yajYoyavIta,19483:yajYoyavIta:n:Yo
pui:yazwikfw,11263:yazwikfw:n:fw
bhs:yvAgU,12524:yvAgU:n:yv
inm:rAmAyaROpAKyAna,8984:rAmAyaROpAKyAna:n:RO
pui:rudrakarRO,11697:rudrakarRO:n:RO
bhs:vAyvADika,13522:vAyvADika:n:yv
acc:vAsoyajYopavItasaYcikA,36901:vAsoyajYopavItasaYcikA:n:Yo
inm:SAntanoHputra,2437:SAntanoHputra:n:oH
ccs:SiMSSa,24536:SiMSSa:n:SS
mw:SirorogaGnayajYopavItadAna,217209:SirorogaGnayajYopavItadAna:n:Yo
acc:SirorogaGnayajYopavIvadAna,25053:SirorogaGnayajYopavIvadAna:n:Yo
acc:zawKaRqivedAntasAra,47468:zawKaRqivedAntasAra:n:wK
sch:zawtarkIrasa,25454:zawtarkIrasa:n:wt
skd:zawtilI,36937:zawtilI:n:wt
mw:zawtriMSan,225001:zawtriMSan:n:wt
cae:zawtriMSAbdika,33639:zawtriMSAbdika:n:wt
bhs:saMjYotpAda,15654:saMjYotpAda:n:Yo
pw:saMjYopasarjanI,117984:saMjYopasarjanI:n:Yo
inm:sadasatoHpara,9209:sadasatoHpara:n:oH
acc:saPalAkfzROkAdaSIpOzI,47656:saPalAkfzROkAdaSIpOzI:n:RO
pui:suDfwi,16173:suDfwi:n:fw
pui:sunaSSepa,16193:sunaSSepa:n:SS
mw:somaBakzayoHprayoga,252921:somaBakzayoHprayoga:n:oH
mw:sPuramAROzWa,256991:sPuramAROzWa:n:RO
