shs:akzabDu,187:akzubDa:t:bDu
acc:agniparIkzAdiwIkA,57:agniparIkzAdiwIkA:n:diw
shs:aNgalIqya,432:aNgalIqya:n:lIq
acc:acyutazUri,197:acyutasUri:t:azU
cae:atItaSOSava,655:atItaSESava:t:SOS
yat:aDibettf,877:aDivettf:t:bet
bur:aDojIhvikA,459:aDojIhvikA:n:Ihv,jIh
bhs:anuparigfhRIte,865:anuparigfhRIte:n:hRI
bur:anupraSoce,667:anupraSoce:n:oce
yat:anubiDAyitva,1369:anuviDAyitva:t:biD
wil:anuSfcikA,1664:anuSucikA:t:Sfc
yat:anekabiDa,1419:anekaviDa:t:biD
yat:anekabiDA,1420:anekaviDA:t:biD
bhs:anosAna,1104:anosAna:n:nos
yat:antarjotis,1470:antarjotis:n:rjo
bhs:apaRyIjAta,1244:apaRyIjAta:n:yIj
gst:aparANguKa,4757:aparANmuKa:t:guK
acc:appAdIkzita,905:appAdIkzita:n:ppA
acc:appAvAjapeyin,907:appAvAjapeyin:n:ppA
acc:appASAstrin,906:appASAstrin:n:ppA
acc:appAsUri,908:appAsUri:n:ppA
gst:apyEdIkzita,5358:apyEdIkzita:n:yEd
acc:apyodIkzita,910:apyodIkzita:n:pyo
mw72:aprajaYi,3886:aprajajYi:t:aYi
gst:abDiqiRqara,5795:abDiqiRqara:n:Diq
inm:aBimanyorBAryA,12:aBimanyorBAryA:n:orB
vcp:aBihvrat,3563:aBihvrat:n:hvr
pe:arupattimUvar,468:arupattimUvar:n:mUv
pe:arulmoliTevar,451:arulmoliTevar:n:liT,Tev
vcp:arGoSa,4370:arGISa:t:GoS
bhs:arciHsamudramuKavegapradIpa,1920:arciHsamudramuKavegapradIpa:n:ciH
vei:aryamRaHpanTA,146:aryamRaHpanTA:n:RaH
yat:arSehita,2885:arSehita:n:Seh
mw72:avakuRaWana,6121:avakuRWana:t:RaW
mw72:avaluRaWana,6610:avaluRWana:t:RaW
bur:avazwaBnomi,1647:avazwaBnomi:n:Bno
yat:avyApyabftti,3574:avyApyavftti:t:bft
pe:aSUrbanipal,560:aSUrbanipal:n:Urb
mci:aSvinos,1009:aSvinos:n:nos
vei:azAQisOSromateya,186:azAQisOSromateya:n:Qis
acc:azwayUTeSvarIyUTa,42023:azwayUTeSvarIyUTa:n:UTe
yat:asambfta,3925:asambfta:n:bft
bop:asyE,797:asyE:n:syE
bhs:ahfsvara,2495:ahfsvara:n:hfs
vcp:AgAragoGikA,6387:AgAragoDikA:t:oGi
pwg:Ajuja,66234:Ajuja:n:juj
