gra:aduCuna,290:aduCuna:n:uC
gra:aprayuCat,717:aprayuCat:n:uC
bur:ACinadmi,2078:ACinadmi:n:AC
bhs:ACindana,2596:ACindana:n:AC
bhs:ACoqita,2597:ACoqita:n:AC
acc:indrapuCa,2325:indrapuCa:n:uC
acc:fzidevatACandAMsi,2924:fzidevatACandAMsi:n:AC
vei:kUSAmbasvAyavalAtavya,684:kUSAmbasvAyavalAtavya:n:US
acc:kUSISavijaya,4511:kUSISavijaya:n:US
bur:guluCa,5959:guluCa:n:uC
bhs:CidrACidra,6414:CidrACidra:n:AC
acc:CuCukaBawwa,7635:CuCukaBawwa:n:uC
acc:tuCalakzaRa,9127:tuCalakzaRa:n:uC
shs:nASACinnI,21478:nAsACinnI:p:Alphabetic misordering.
acc:puCabrahmavAda,13517:puCabrahmavAda:n:uC
acc:puCalakzaRakroqa,13521:puCalakzaRakroqa:n:uC
acc:puCalakzaRawIkA,13520:puCalakzaRawIkA:n:uC
acc:puCalakzaRadIDitiwIkA,13522:puCalakzaRadIDitiwIkA:n:uC
acc:puCalakzaRavivecana,13524:puCalakzaRavivecana:n:uC
acc:puCalakzaRAnugama,13525:puCalakzaRAnugama:n:uC
vcp:peQAna,33231:peQAna:n:eQ
acc:brAhmaRACaMsiprayoga,15480:brAhmaRACaMsiprayoga:n:AC
acc:brAhmaRACaMsiSastra,15481:brAhmaRACaMsiSastra:n:AC
acc:brAhmaRACaMsiSastramagnizwome,35125:brAhmaRACaMsiSastramagnizwome:n:AC
mw:BUmikUSmaRqa,152131:BUmikUSmaRqa:n:US
pui:meQyA,11017:meQyA:n:eQ
acc:SunaHpuCasmfti,25539:SunaHpuCasmfti:n:uC
mw72:SUSuvAna,47050:SUSuvAna:n:US
pui:SrIBUSakti,14922:SrIBUSakti:n:US
