sch:anuzwAyajYayajYIya,2898:anuzWAyajYayajYIya:t:zw
mw:aByatyfj,13181:aByatyfj:n:yf
acc:aSvArUQI,1396:aSvArUQI:n:QI
bhs:AgAQIkaroti,2563:AgAQIkaroti:n:QI
bur:iyfmas,2659:iyfmas:n:yf
acc:kfzRapatiSarmanmETilasaNkarAQIvaMSodBUta,4742:kfzRapatiSarmanmETilasaNkarAQIvaMSodBUta:n:QI
sch:gAQIkriyA,12249:gAQIkriyA:n:QI
acc:janmavEPalyAzwaka,43489:janmavEPalyAzwaka:n:EP
pw:draQIkaraRa,53303:draQIkaraRa:n:QI
mw:nyagBAvayiyf,112705:nyagBAvayitf:t:yf
bur:nyfRAmi,10363:nyfRAmi:n:yf
pwg:pAraQI,44608:pAraQI:n:QI
skd:prajYI,22646:prajYI:n:YI
pw:prOQI,75120:prOQI:n:QI
vcp:Pulta,35182:Pulta:n:lt
sch:mUQIkf,21870:mUQIkf:n:QI
sch:mUQIBU,21871:mUQIBU:n:QI
vcp:yajYAyajYIya,38820:yajYAyajYIya:n:YI
acc:rAjYIstatva,46094:rAjYIstatva:n:YI
sch:vaQIyAra,23119:vaQIyAra:n:QI
pw:zaRQIy,116321:zaRQIy:n:QI
bhs:saMjYIkfta,15653:saMjYIkfta:n:YI
mw:satyAzAQI,230154:satyAzAQI:n:QI
