::::This is file of previously listed headwords
ap:atinicf,652:atinicf:n:cf
shs:anaMSamatPalA,1167:anaMSamatPalA:n:tP
mw:anACfRRa,5477:anACfRRa:n:Cf
ccs:anIQA,1043:anIQA:n:IQ
pw:arGISi,9318:arGISi:n:GI
sch:alaGIyaMs,5058:alaGIyaMs:n:GI
sch:aSoPayuta,5873:aSoPayuta:n:oP
vei:azAQOttarapArASarya,184:azAQOttarapArASarya:n:QO
bhs:asKalitapravarAgra,2465:asKalitapravarAgra:n:sK
ap:AlIQA,7614:AlIQA:n:IQ
bhs:AveWita,3025:AveWita:n:eW
bhs:AvrIQa,3033:AvrIQa:n:IQ
ieg:iqaNgEvari,7234:iqaNgEvari:n:gE
pwg:isPIva,67365:isPIva:n:PI
bur:ucCvasimi,2791:ucCvasimi:n:Cv
sch:utPullatanUruhI,8180:utPullatanUruhI:n:tP
ap:utPulliNga,8803:utPulliNga:n:tP
sch:utPullin,8182:utPullin:n:tP
bhs:flla,4012:flla:n:fl
sch:oGI,9341:oGI:n:GI
pw:oTAmodEva,22667:oTAmodEva:n:oT
ieg:kawwukkuttagE,7285:kawwukkuttagE:n:gE
ieg:kawwuguttagE,2658:kawwuguttagE:n:gE
ieg:kattigEppaccE,7283:kattigEppaccE:n:gE
ap:kflamudvaha,12751:kflamudvaha:n:fl
vcp:KasKama,16527:KasKama:n:sK
ieg:gaNgEkoRqa,1903:gaNgEkoRqa:n:gE
ieg:guttagE,2148:guttagE:n:gE
inm:gfDragomAyusaMvAda,4263:gfDragomAyusaMvAda:n:fD
yat:gfDraCaya,13275:gfDraCaya:n:fD
pw:gfDrajamBUka,36169:gfDrajamBUka:n:fD
mw:gfDrapattrA,66469:gfDrapattrA:n:fD
mw:gErikA,66868:gErikA:n:gE
mw:gElapUraRa,66883.1:gElapUraRa:n:gE
bhs:gElAnya,5836:gElAnya:n:gE
sch:golAgoPaRi,12561:golAgoPaRi:n:oP
bur:caricftye,6449:caricftye:n:cf
bur:cicftsAmi,6619:cicftsAmi:n:cf
mw:ciroTa,74321:ciroTa:n:oT
cae:jYuBAD,11574:jYuBAD:n:Yu
mw:JarJarikA,81027:JarJarikA:n:rJ
sch:QOkanikA,14165:QOkanikA:n:QO
ieg:QOra,1634:QOra:n:QO
pwg:tugriyAvfD,29921:tugriyAvfD:n:fD
vcp:damaGIza,24383:damaGIza:n:GI
inm:dfDasyu,3726:dfDasyu:n:fD
ieg:dOHsADasADanika,1469:dOHsADasADanika:n:OH
bhs:nirveWana,8471:nirveWana:n:eW
shs:niSoTinInATa,22225:niSoTinInATa:n:oT
mw:nEdAGI,112328.11:nEdAGI:n:GI
pwg:nErJariRa,77693:nErJariRa:n:rJ
inm:pitflokarzi,8389:pitflokarzi:n:fl
