ap:अतिनिचृ,652:अतिनिचृ:n:चृ
shs:अनंशमत्फला,1167:अनंशमत्फला:n:त्फ्
mw:अनाछृण्ण,5477:अनाछृण्ण:n:छृ
ccs:अनीढा,1043:अनीढा:n:ईढ्
pw:अर्घीशि,9318:अर्घीशि:n:घी
sch:अलघीयंस्,5058:अलघीयंस्:n:घी
sch:अशोफयुत,5873:अशोफयुत:n:ओफ्
vei:अषाढौत्तरपाराशर्य,184:अषाढौत्तरपाराशर्य:n:ढौ
bhs:अस्खलितप्रवराग्र,2465:अस्खलितप्रवराग्र:n:स्ख्
ap:आलीढा,7614:आलीढा:n:ईढ्
bhs:आवेठित,3025:आवेठित:n:एठ्
bhs:आव्रीढ,3033:आव्रीढ:n:ईढ्
pwg:इस्फीव,67365:इस्फीव:n:फी
bur:उच्छ्वसिमि,2791:उच्छ्वसिमि:n:छ्व्
sch:उत्फुल्लतनूरुही,8180:उत्फुल्लतनूरुही:n:त्फ्
ap:उत्फुल्लिङ्ग,8803:उत्फुल्लिङ्ग:n:त्फ्
sch:उत्फुल्लिन्,8182:उत्फुल्लिन्:n:त्फ्
bhs:ऋल्ल,4012:ऋल्ल:n:ऋल्
sch:ओघी,9341:ओघी:n:घी
pw:ओथामोदैव,22667:ओथामोदैव:n:ओथ्
ap:कृलमुद्वह,12751:कृलमुद्वह:n:ऋल्
vcp:खस्खम,16527:खस्खम:n:स्ख्
inm:गृध्रगोमायुसंवाद,4263:गृध्रगोमायुसंवाद:n:ऋध्
yat:गृध्रछय,13275:गृध्रछय:n:ऋध्
pw:गृध्रजम्भूक,36169:गृध्रजम्भूक:n:ऋध्
mw:गृध्रपत्त्रा,66469:गृध्रपत्त्रा:n:ऋध्
mw:गैरिका,66868:गैरिका:n:गै
mw:गैलपूरण,66883.1:गैलपूरण:n:गै
bhs:गैलान्य,5836:गैलान्य:n:गै
sch:गोलागोफणि,12561:गोलागोफणि:n:ओफ्
bur:चरिचृत्ये,6449:चरिचृत्ये:n:चृ
bur:चिचृत्सामि,6619:चिचृत्सामि:n:चृ
mw:चिरोथ,74321:चिरोथ:n:ओथ्
cae:ज्ञुभाध्,11574:ज्ञुभाध्:n:ञु
mw:झर्झरिका,81027:झर्झरिका:n:र्झ्
sch:ढौकनिका,14165:ढौकनिका:n:ढौ
pwg:तुग्रियावृध्,29921:तुग्रियावृध्:n:ऋध्
vcp:दमघीष,24383:दमघीष:n:घी
inm:दृधस्यु,3726:दृधस्यु:n:ऋध्
bhs:निर्वेठन,8471:निर्वेठन:n:एठ्
shs:निशोथिनीनाथ,22225:निशोथिनीनाथ:n:ओथ्
mw:नैदाघी,112328.11:नैदाघी:n:घी
pwg:नैर्झरिण,77693:नैर्झरिण:n:र्झ्
inm:पितृलोकर्षि,8389:पितृलोकर्षि:n:ऋल्
ccs:पृधुशिरस्,14929:पृधुशिरस्:n:ऋध्
ap:पोथा,21884:पोथा:n:ओथ्
mw72:पोथिक,29942:पोथिक:n:ओथ्
sch:प्रत्युपढौकनिका,19404:प्रत्युपढौकनिका:n:ढौ
mw:प्रस्खलद्गति,138229:प्रस्खलद्गति:n:स्ख्
bhs:फुष्फस,10829:फुष्फस:n:ष्फ्
pe:बृध्नाश्व,1289:बृध्नाश्व:n:ऋध्
pe:बृल्हण,1356:बृल्हण:n:ऋल्
ccs:भर्तृध्नी,17193:भर्तृध्नी:n:ऋध्
mw:मीढा,164581:मीढा:n:ईढ्
shs:मृदुच्छ्वद,32029:मृदुच्छ्वद:n:छ्व्
pui:मृलिक,10982:मृलिक:n:ऋल्
mw:यकृल्,169011:यकृल्:n:ऋल्
pe:यकृल्लोमा,8707:यकृल्लोमा:n:ऋल्
skd:लघीयान्,30104:लघीयान्:n:घी
bhs:लोथक,13094:लोथक:n:ओथ्
bur:विपोथयामि,15550:विपोथयामि:n:ओथ्
mw:विश्वस्फीणि,201393:विश्वस्फीणि:n:फी
sch:विष्फारीकृत,24239:विष्फारीकृत:n:ष्फ्
mw72:विष्फुल्,44349:विष्फुल्:n:ष्फ्
mw:विस्मयोत्फुल्लनयन,202994:विस्मयोत्फुल्लनयन:n:त्फ्
bhs:विहेठिक,14348:विहेठिक:n:एठ्
shs:वृलच्छल्क,38319:वृलच्छल्क:n:ऋल्
mw:शोथशत्र,221530:शोथशत्र:n:ओथ्
pw:शोथिन्,114424:शोथिन्:n:ओथ्
mw:शोफनाशनी,221588:शोफनाशनी:n:ओफ्
ap:श्रेघी,32589:श्रेघी:n:घी
ccs:संस्ख्या,25769:संस्ख्या:n:स्ख्
mw:सकृल्,227833:सकृल्:n:ऋल्
ccs:सदसत्फक,25995:सदसत्फक:n:त्फ्
bhs:संपरिवेठित,16202:संपरिवेठित:n:एठ्
pui:सुजंघी,16045:सुजंघी:n:घी
mw72:स्खलित्वा,52980:स्खलित्वा:n:स्ख्
sch:स्खलिनता,27056:स्खलिनता:n:स्ख्
mw:हिमनिर्झरविप्रुष्मत्,263019:हिमनिर्झरविप्रुष्मत्:n:र्झ्
bhs:हेठयितर्,17747:हेठयितर्:n:एठ्
