acc:अक्षोभ्यतन्त्रे,41695:अक्षोभ्यतन्त्रे:n:ओभ्य्
acc:अक्षोभ्यसंहितायामुग्रतारासहस्रनाम,39271:अक्षोभ्यसंहितायामुग्रतारासहस्रनाम:n:ओभ्य्
acc:अखिलाण्डस्तोत्रटीका,33:अखिलाण्डस्तोत्रटीका:n:डस्
mw:अगस्त्यगृहस्पतिक,828.1:अगस्त्यगृहस्पतिक:n:अगृ
acc:अङ्कामृतसागरी,154:अङ्कामृतसागरी:n:आमृ
yat:अङ्गमद्दिन्,365:अङ्गमद्दिन्:n:द्दि
yat:अतजज्ञ,44463:अतजज्ञ:n:जज्
stc:अतिपटीयांस्,459:अतिपटीयांस्:n:टीय्
bhs:अत्यन्तरीभूत,353:अत्यन्तरीभूत:n:ईभू
bhs:अत्युद्गच्छति,368:अत्युद्गच्छति:n:गच्
mw72:अथ्यवसो,1332:अथ्यवसो:n:असो
inm:अदितिनन्दनौ,176:अदितिनन्दनौ:n:अनौ
pw:अद्वयामृतपति,2656:अद्वयामृतपति:n:आमृ
acc:अद्वैतवैदिकसिद्धान्तसंग्रह,387:अद्वैतवैदिकसिद्धान्तसंग्रह:n:अवै
acc:अद्वैतसुधाकलाप,39309:अद्वैतसुधाकलाप:n:धाक्
ccs:अधिभन्थन,595:अधिभन्थन:n:धिभ्
ap90:अधिभातिक,6222:अधिभातिक:n:धिभ्
bhs:अध्यवगच्छति,475:अध्यवगच्छति:n:गच्
bhs:अध्यागच्छति,481:अध्यागच्छति:n:गच्
acc:अध्यात्मविद्योपदेश,461:अध्यात्मविद्योपदेश:n:योप्
acc:अध्यात्मविद्योपनिषद्,462:अध्यात्मविद्योपनिषद्:n:योप्
acc:अध्यायोपाकर्मप्रयोग,472:अध्यायोपाकर्मप्रयोग:n:योप्
acc:अनन्तकौशिकान्वय,496:अनन्तकौशिकान्वय:n:अकौ
pw:अनन्तदष्टि,3361:अनन्तदष्टि:n:दष्
ccs:अनिर्दष्ट,858:अनिर्दष्ट:n:दष्
bhs:अनुचालिन्,788:अनुचालिन्:n:उचा
bur:अनुसयान,736:अनुसयान:n:सय्
acc:अन्तरिक्षवायुवीर्यप्रकाश,769:अन्तरिक्षवायुवीर्यप्रकाश:n:उवी
gst:अन्यवीजज,4303:अन्यवीजज:n:जज्
acc:अपरोक्षमतानुसूत्रिका,875:अपरोक्षमतानुसूत्रिका:n:उसू
pw:अप्रकरणोत्पत्ति,6681:अप्रकरणोत्पत्ति:n:णोत्
bur:अप्रत्यान्नाये,1010:अप्रत्यान्नाये:n:आये
vcp:अप्राप्ता,3093:अप्राप्ता:n:प्ता
stc:अबहुव्यक्तिनिष्ठ,2757:अबहुव्यक्तिनिष्ठ:n:हुव्
pw:अब्दाधिप,7163:अब्दाधिप:n:दाध्
acc:अभिनवामृत,975:अभिनवामृत:n:आमृ
stc:अभिलाष्य,3128:अभिलाष्य:n:आष्य्
bhs:अभिसमागच्छति,1675:अभिसमागच्छति:n:गच्
mw72:अभिसीन,4806:अभिसीन:n:इसी
mw:अभुग्नकुक्षिता,13092.1:अभुग्नकुक्षिता:n:भुग्
bur:अभ्यनुमोदयामि,1230:अभ्यनुमोदयामि:n:उमो
bhs:अभ्यभिस्तुत्य,1727:अभ्यभिस्तुत्य:n:उत्य्
mw:अभ्याभू,13440:अभ्याभू:n:याभ्
mw:अभ्युदीरिते,13564:अभ्युदीरिते:n:इते
mw:अभ्युपावहृ,13634:अभ्युपावहृ:n:अहृ
bhs:अमृतपर्वतप्रभातेज,1829:अमृतपर्वतप्रभातेज:n:आते
pwg:अयोपाष्ठि,5526:अयोपाष्ठि:n:योप्
sch:अरसयितार्,4747:अरसयितार्:n:सय्
sch:अर्भकौकस्,5024:अर्भकौकस्:n:अकौ
pw:अल्पान्तरगत,10150:अल्पान्तरगत:n:ल्पा
mw:अल्पारम्भ,16913:अल्पारम्भ:n:ल्पा
bhs:अवभासयितर्,2120:अवभासयितर्:n:सय्
mw:अवयुत्या,17851:अवयुत्या:n:उत्य्
mw:अविदिते,18807:अविदिते:n:इते
sch:अवैदेशी,5723:अवैदेशी:n:अवै
sch:अव्यालहृदय,5766:अव्यालहृदय:n:अहृ
sch:अशिमिद्विष्,5825:अशिमिद्विष्:n:मिद्
pw:अशुकादष्ट,11578:अशुकादष्ट:n:दष्
cae:अष्टरसाशय,3599:अष्टरसाशय:n:साश्
