acc:अग्निष्टोमक्रतुकॢप्ति,39278:अग्निष्टोमक्रतुकॢप्ति:n:ऌप्,कॢ
acc:अछापास्तोत्र,39291:अछापास्तोत्र:n:अछ्
acc:अछावाकप्रयोग,211:अछावाकप्रयोग:n:अछ्
acc:अछावाकशस्त्र,212:अछावाकशस्त्र:n:अछ्
acc:अछिद्राश्वमेध,213:अछिद्राश्वमेध:n:अछ्
gra:अछिद्रोति,164:अछिद्रोति:n:अछ्
gra:अछिद्रोधन्,165:अछिद्रोधन्:n:अछ्
gra:अछिन्नपत्र,166:अछिन्नपत्र:n:अछ्
ap:अयझक,4303:अयझक:n:अझ्
ap:अयझिय,4304:अयझिय:n:अझ्
bur:अवछिनद्मि,1546:अवछिनद्मि:n:अछ्
acc:अवछेदकतामाला,1273:अवछेदकतामाला:n:अछ्
acc:अवछेदकतालेश,1274:अवछेदकतालेश:n:अछ्
acc:अवछेदकतावाद,1275:अवछेदकतावाद:n:अछ्
acc:अवछेदकतासार,1276:अवछेदकतासार:n:अछ्
acc:अवछेदकत्वनिरुक्ति,1277:अवछेदकत्वनिरुक्ति:n:अछ्
acc:अवछेदकत्वलक्षण,31572:अवछेदकत्वलक्षण:n:अछ्
acc:अवछेदकत्ववाद,41990:अवछेदकत्ववाद:n:अछ्
acc:अवछेदकपत्त्र,1282:अवछेदकपत्त्र:n:अछ्
acc:अवछेदकानुमितिविचार,31574:अवछेदकानुमितिविचार:n:अछ्
bhs:आभरणछत्त्रनिर्घोष,2798:आभरणछत्त्रनिर्घोष:n:अछ्
inm:उन्मत्तवेशप्रछन्न,11152:उन्मत्तवेशप्रछन्न:n:अछ्
mw:उपसंप्रछ्,36180:उपसंप्रछ्:n:अछ्
acc:एकार्थावछिन्नसूत्रसमूह,42358:एकार्थावछिन्नसूत्रसमूह:n:अछ्
vcp:गङ्गोज्झ,16716:गङ्गोज्झ:n:ज्झ्
wil:गोमयछविका,14037:गोमयछविका:n:अछ्
acc:ग्रहणछायादिसाधनयोगसारणी,39887:ग्रहणछायादिसाधनयोगसारणी:n:अछ्
bur:चिकॢप्सामि,6581:चिकॢप्सामि:n:ऌप्,कॢ
acc:छमछमिकारत्न,7592:छमछमिकारत्न:n:अछ्
sch:झणज्झण,14065:झणज्झण:n:ज्झ्
sch:झणज्झणिति,14064:झणज्झणिति:n:ज्झ्
pw:झणझणी,43694:झणझणी:n:अझ्
acc:झलज्झलवासुदेव,8426:झलज्झलवासुदेव:n:ज्झ्
acc:द्रुमछेदप्रायश्चित्त,10488:द्रुमछेदप्रायश्चित्त:n:अछ्
acc:धर्मितावछेदकताप्रत्यासत्ति,33836:धर्मितावछेदकताप्रत्यासत्ति:n:अछ्
acc:धर्मितावछेदकतावाद,10782:धर्मितावछेदकतावाद:n:अछ्
acc:धर्मितावछेदकतावादार्थ,10783:धर्मितावछेदकतावादार्थ:n:अछ्
acc:धर्मितावछेदकप्रत्यासत्ति,10784:धर्मितावछेदकप्रत्यासत्ति:n:अछ्
acc:धर्मितावछेदकरहस्य,10786:धर्मितावछेदकरहस्य:n:अछ्
acc:धर्मितावछेदकवाद,10787:धर्मितावछेदकवाद:n:अछ्
acc:नन्दिपदछन्दस्,11021:नन्दिपदछन्दस्:n:अछ्
acc:नव्यधर्मितावछेदकवादार्थ,11292:नव्यधर्मितावछेदकवादार्थ:n:अछ्
mw:नियमोज्झिति,109159.1:नियमोज्झिति:n:ज्झ्
acc:पेञ्जल्लझिङ्गय्य,8427:पेञ्जल्लझिङ्गय्य:n:अझ्
acc:पौण्डरीकप्रथमकॢप्ति,34677:पौण्डरीकप्रथमकॢप्ति:n:ऌप्,कॢ
acc:प्रछन्नब्रह्मवादनिराकरण,13969:प्रछन्नब्रह्मवादनिराकरण:n:अछ्
yat:प्रयछत्,26073:प्रयछत्:n:अछ्
acc:प्राकृतछन्दष्टीका,14518:प्राकृतछन्दष्टीका:n:अछ्
acc:बन्धनछेदनमन्त्र,34948:बन्धनछेदनमन्त्र:n:अछ्
sch:ब्रमोज्झ,20372:ब्रमोज्झ:n:ज्झ्
bhs:मुक्तछत्त्रप्रवातसदृश,12103:मुक्तछत्त्रप्रवातसदृश:n:अछ्
acc:रणछोडदास,45977:रणछोडदास:n:अछ्
bhs:रत्नछत्त्रकूटसंदर्शन,12607:रत्नछत्त्रकूटसंदर्शन:n:अछ्
bhs:रत्नछत्त्राभ्युद्गतावभास,12608:रत्नछत्त्राभ्युद्गतावभास:n:अछ्
acc:राजशेखरमलधारिगछमण्डन,19604:राजशेखरमलधारिगछमण्डन:n:अछ्
acc:वछाचार्य,21283:वछाचार्य:n:अछ्
acc:वछिय,21284:वछिय:n:अछ्
bhs:विज्झति,13750:विज्झति:n:ज्झ्
acc:विशेष्यतावछेदकप्रकारकज्ञानकारणताविचार,46732:विशेष्यतावछेदकप्रकारकज्ञानकारणताविचार:n:अछ्
mw:विश्वासोज्झितधी,201603:विश्वासोज्झितधी:n:ज्झ्
mw:वृत्तबन्धोज्झित,204429:वृत्तबन्धोज्झित:n:ज्झ्
acc:व्यधिकरणधर्मावछिन्न,37468:व्यधिकरणधर्मावछिन्न:n:अछ्
acc:व्यधिकरणधर्मावछिन्नाभाव,23981:व्यधिकरणधर्मावछिन्नाभाव:n:अछ्
yat:सन्दष्टदशनछद,39990:सन्दष्टदशनछद:n:अछ्
mw:सम्भावनोज्झित,236965.1:सम्भावनोज्झित:n:ज्झ्
bhs:सर्वधर्मनिर्नादछत्त्रमण्डलनिर्घोष,16448:सर्वधर्मनिर्नादछत्त्रमण्डलनिर्घोष:n:अछ्
wil:सितछच,41819:सितछच:n:अछ्
bhs:सुवर्णरत्नाकरछत्त्रकूट,17150:सुवर्णरत्नाकरछत्त्रकूट:n:अछ्
acc:स्वछन्दभट्टारकबृहत्पूजापत्त्रिकाविधि,29180:स्वछन्दभट्टारकबृहत्पूजापत्त्रिकाविधि:n:अछ्
acc:स्वछन्दशक्त्यवतार,48043:स्वछन्दशक्त्यवतार:n:अछ्
acc:स्वछन्दोद्द्योत,29185:स्वछन्दोद्द्योत:n:अछ्
