sch:अचन्द्रार्कग्रह,680:अचन्द्रार्कग्रह:n:कग्
ccs:अतितपुस्विन्,349:अतितपुस्विन्:n:उस्व्
bhs:अतिप्रथते,300:अतिप्रथते:n:थत्
mw:अद्वैतेन,3935:अद्वैतेन:n:ऐते
acc:अद्वैतेन्द्रयति,41790:अद्वैतेन्द्रयति:n:ऐते
pw:अनुस्वारी,4986:अनुस्वारी:n:उस्व्
acc:अन्त्येष्टिक्रियादिसपिण्डीकरणान्तप्रयोग,41865:अन्त्येष्टिक्रियादिसपिण्डीकरणान्तप्रयोग:n:दिस्
gst:अभिधेयालङ्कार,6048:अभिधेयालङ्कार:n:एया
pwg:अम्बलगच्छनायकगुरु,5290:अम्बलगच्छनायकगुरु:n:कग्
acc:अर्थवादचरणभाष्य,1191:अर्थवादचरणभाष्य:n:णभ्
pw:अलष्टिका,9971:अलष्टिका:n:लष्
bhs:अष्टमहाभयतारा,2363:अष्टमहाभयतारा:n:हाभ्
mw:असुखाविष्ट,21099:असुखाविष्ट:n:खाव्
mw:आत्रेया,23716:आत्रेया:n:एया
pui:आत्रेयायणि,1215:आत्रेयायणि:n:एया
acc:आधानादिसर्वकर्मविधि,1849:आधानादिसर्वकर्मविधि:n:दिस्
bhs:आर्यमहासिंहविजृम्भित,2935:आर्यमहासिंहविजृम्भित:n:इजृ
mw:उक्तमाश्र,30018.2:उक्तमाश्र:n:माश्
acc:उक्थवाजपेयादिदशरात्रान्तप्रयोग,42231:उक्थवाजपेयादिदशरात्रान्तप्रयोग:n:एया
sch:उत्कल्लोलीकृत,7999:उत्कल्लोलीकृत:n:ओली
bhs:उपसंहर्षी,3804:उपसंहर्षी:n:र्षी
sch:उम्माणी,28299:उम्माणी:n:म्मा
acc:उल्कादिस्वरूप,2823:उल्कादिस्वरूप:n:दिस्
mw:ऊर्णालंकृतमुखता,38102.2:ऊर्णालंकृतमुखता:n:खत्
stc:ओगीयांस्,7410:ओगीयांस्:n:ओगी
vei:औपस्वतीपुत्र,483:औपस्वतीपुत्र:n:ईपु
ap:कङ्कोली,11144:कङ्कोली:n:ओली
acc:कत्स्यमहादेव,3184:कत्स्यमहादेव:n:हाद्
acc:कदम्बवनमाहात्म्य,3196:कदम्बवनमाहात्म्य:n:बव्
pui:कदम्बवनवासिनी,2412:कदम्बवनवासिनी:n:बव्
acc:कदलीपुरमाहात्म्य,3197:कदलीपुरमाहात्म्य:n:ईपु
acc:कन्दर्पदर्पणभाण,30323:कन्दर्पदर्पणभाण:n:णभ्
acc:कन्यकापरमेश्वरीपुराण,3220:कन्यकापरमेश्वरीपुराण:n:ईपु
vcp:कन्याहुद,11813:कन्याहुद:n:हुद्
pwg:कम्बवातायिन्,15058:कम्बवातायिन्:n:बव्
skd:करघर्षी,6428:करघर्षी:n:र्षी
pwg:कर्माश्रित,69948:कर्माश्रित:n:माश्
acc:कादिसहस्रनामकला,3726:कादिसहस्रनामकला:n:दिस्
acc:कारकसमासतद्धितप्रत्ययादिसंक्षेप,32100:कारकसमासतद्धितप्रत्ययादिसंक्षेप:n:दिस्
pw:कालकेयान्तक,27099:कालकेयान्तक:n:एया
acc:कालीकादिसहस्रनामस्तुतिरत्नटीका,4038:कालीकादिसहस्रनामस्तुतिरत्नटीका:n:दिस्
pw:कुम्भादिस्वर्णकारता,28935:कुम्भादिस्वर्णकारता:n:दिस्
inm:कुरुपुङ्गवाग्रज,6346:कुरुपुङ्गवाग्रज:n:उपु
inm:कुरुपुङ्गवाग्र्य,6347:कुरुपुङ्गवाग्र्य:n:उपु
acc:कृष्णभक्तिरसोदय,4754:कृष्णभक्तिरसोदय:n:णभ्
acc:कृष्णभजनक्रमसंग्रह,30499:कृष्णभजनक्रमसंग्रह:n:णभ्
acc:कृष्णराजसार्वभौमवंशरत्नप्रभा,4781:कृष्णराजसार्वभौमवंशरत्नप्रभा:n:अभौ
mw:कोलम्बवर्ष,56716.1:कोलम्बवर्ष:n:बव्
pui:कोलीकिलस्,3655:कोलीकिलस्:n:ओली
acc:कौण्डभट्ट,5138:कौण्डभट्ट:n:डभ्
bhs:खतयति,5430:खतयति:n:खत्
acc:गकारादिसहस्रनामावलि,42914:गकारादिसहस्रनामावलि:n:दिस्
acc:गणभाग्यरत्नमाला,5620:गणभाग्यरत्नमाला:n:णभ्
mw:गलगोली,64249:गलगोली:n:ओली
pui:गविस्थिरस्,4122:गविस्थिरस्:n:इस्थ्
inm:गान्धारीपुत्रोत्पत्ति,3998:गान्धारीपुत्रोत्पत्ति:n:ईपु
acc:ग्रहलाघवसूर्यादिमध्यादिसारणी,32794:ग्रहलाघवसूर्यादिमध्यादिसारणी:n:दिस्
acc:ग्रहाद्युपयुक्तमन्त्रराशिपरिशिष्ट,6783:ग्रहाद्युपयुक्तमन्त्रराशिपरिशिष्ट:n:हाद्
acc:ग्रहाभिधान,6786:ग्रहाभिधान:n:हाभ्
sch:चन्द्राभरणभन्ध,13057:चन्द्राभरणभन्ध:n:णभ्
acc:चयनपूरणभाष्य,7184:चयनपूरणभाष्य:n:णभ्
bhs:चातुर्महाद्वीपक,6187:चातुर्महाद्वीपक:n:हाद्
bhs:चातुर्महाभूतिक,6188:चातुर्महाभूतिक:n:हाभ्
mw:चिराभिलषित,74309:चिराभिलषित:n:लष्
inm:जज्ञसेन,4718:जज्ञसेन:n:ञस्
acc:जयसिंहाभ्युदय,7922:जयसिंहाभ्युदय:n:हाभ्
acc:जानकीरामसार्वभौम,43548:जानकीरामसार्वभौम:n:अभौ
sch:जाम्बवाभ,13874:जाम्बवाभ:n:बव्
mw:जीवानुसिद्धिकुलक,79771:जीवानुसिद्धिकुलक:n:उसि
bhs:ज्ञानश्रीपुण्यप्रभा,6702:ज्ञानश्रीपुण्यप्रभा:n:ईपु
acc:ज्ञानसिन्धुप्राकृतभाष्य,8259:ज्ञानसिन्धुप्राकृतभाष्य:n:धुप्
bur:ज्ञेयात्,7445:ज्ञेयात्:n:एया
mw:ज्ञेयार्णव,80517.1:ज्ञेयार्णव:n:एया
acc:ज्ञेयार्थसार,43604:ज्ञेयार्थसार:n:एया
acc:तकारादिस्वरूपसहस्रनामस्तोत्र,8477:तकारादिस्वरूपसहस्रनामस्तोत्र:n:दिस्
mw:तङ्गनखता,81653.1:तङ्गनखता:n:खत्
