sch:अक्ळ्प्त,173:अक्ळ्प्त:n:ळ्प्,क्ळ्
pui:अजिम्ःअ,239:अजिम्ःअ:n:ःअ,म्ः
skd:अत्टङ,706:अत्टङ:n:त्ट्
inm:अदितेःपुत्र,170:अदितेःपुत्र:n:एः
inm:अदितेःसुत,171:अदितेःसुत:n:एः
skd:अद्टङ,774:अद्टङ:n:द्ट्
pwg:अध्यारूठ,2144:अध्यारूठ:n:ऊठ्
sch:अनवक्ळ्प्त,2216:अनवक्ळ्प्त:n:ळ्प्,क्ळ्
pui:अनुःलाद,472:अनुःलाद:n:ःल्
pwg:अन्तऋआवेदी,3290:अन्तऋआवेदी:n:ऋआ
acc:अन्त्येष्टिप्रयोगेएकादशाहविहितदानानि,31465:अन्त्येष्टिप्रयोगेएकादशाहविहितदानानि:n:एए
ccs:अभिप्रेफ्सु,1528:अभिप्रेफ्सु:n:फ्स्
ap:अभ्यनुझा,3930:अभ्यनुझा:n:उझ्
vei:अरुणऔपवेशिगौतम,134:अरुणऔपवेशिगौतम:n:अऔ
cae:अवयातहेळ्स्,3179:अवयातहेळ्स्:n:ळ्स्
ccs:अविढूस्,2102:अविढूस्:n:ढू
ccs:अव्युछ्हिन्न,2179:अव्युछ्हिन्न:n:छ्ह्
sch:असंक्ळ्प्त,6086:असंक्ळ्प्त:n:ळ्प्,क्ळ्
vei:अहीनाआश्वत्थ्य,203:अहीनाआश्वत्थ्य:n:आआ
pe:आय्राजस्,816:आय्राजस्:n:य्र्
acc:इन्दिराआश्विनकृष्णा,42209:इन्दिराआश्विनकृष्णा:n:आआ
ccs:उत्थ्हित,3350:उत्थ्हित:n:थ्ह्
wil:उव्ज,7800:उव्ज:n:व्ज्
sch:एवंक्ळ्प्त,9281:एवंक्ळ्प्त:n:ळ्प्,क्ळ्
sch:कलभ्हाम्बुराशि,10062:कलभ्हाम्बुराशि:n:भ्ह्
pwg:कँय्य,14152:कँय्य:n:ँय्,अँ
cae:किंड्किरात,7766:किंड्किरात:n:ड्क्
vei:कुसुरुबिन्दऔद्दलकि,675:कुसुरुबिन्दऔद्दलकि:n:अऔ
krm:क्ष्वेऌ,328:क्ष्वेऌ:n:एऌ
pui:गिरिकंइका,4208:गिरिकंइका:n:ंइ
pe:ग्रेएक्,2513:ग्रेएक्:n:एए
pw:घ्राँ,38164:घ्राँ:n:आँ
krm:ङुङ्,482:ङुङ्:n:ङु
acc:चन्दनानन्दभौआलकुल,7044:चन्दनानन्दभौआलकुल:n:औआ
sch:चुऋई,13390:चुऋई:n:ऋई
pe:चुरय्क्का,1641:चुरय्क्का:n:य्क्
pui:चूऌइकस्,4852:चूऌइकस्:n:ऌइ,ऊऌ
krm:चेऌ,555:चेऌ:n:एऌ
inm:जनंएजय,4779:जनंएजय:n:ंए
pw:जाँहागीर,42361:जाँहागीर:n:ँह्,आँ
acc:जैमिनिभारतअश्वमेधपर्वन्,43571:जैमिनिभारतअश्वमेधपर्वन्:n:अअ
bhs:झलुझलु,6756:झलुझलु:n:उझ्
sch:तन्तुकऋअण,14280:तन्तुकऋअण:n:ऋअ
acc:तिरुकडैयूर्माहात्म्य,9062:तिरुकडैयूर्माहात्म्य:n:डै
acc:त्रिपिण्डैकपिण्डश्राद्धप्रयोग,33429:त्रिपिण्डैकपिण्डश्राद्धप्रयोग:n:डै
pui:दिक्गजस्,5955:दिक्गजस्:n:क्ग्
ccs:दुऋअशिस्,9916:दुऋअशिस्:n:ऋअ
ccs:दुड्ःई,10155:दुड्ःई:n:ड्ः,ःई
vei:देवतरस्श्यावसायनकाश्यप,1360:देवतरस्श्यावसायनकाश्यप:n:स्श्
yat:द्ःख्,18652:द्ःख्:n:द्ः
acc:धर्मराजअध्वरिवर,10725:धर्मराजअध्वरिवर:n:अअ
acc:नरसिंहअग्निचित्वाजपेयिन्,11104:नरसिंहअग्निचित्वाजपेयिन्:n:अअ
