shs:अक्षब्धु,187:अक्षब्धु:n:ब्धु
bur:अक्षौह्लिणी,77:अक्षौह्लिणी:n:औह्ल्
ccs:अगृह्लन्त्,131:अगृह्लन्त्:n:ऋह्ल्
acc:अग्निपरीक्षादिटीका,57:अग्निपरीक्षादिटीका:n:दिट्
ccs:अग्रभुख,170:अग्रभुख:n:भुख्
shs:अङ्गलीड्य,432:अङ्गलीड्य:n:लीड्
acc:अच्युतषूरि,197:अच्युतषूरि:n:अषू
cae:अतीतशौशव,655:अतीतशौशव:n:शौश्
ccs:अधःशिय,566:अधःशिय:n:शिय्
yat:अधिबेत्तृ,877:अधिबेत्तृ:n:बेत्
bur:अधोजीह्विका,459:अधोजीह्विका:n:ईह्व्,जीह्
bhs:अनुपरिगृह्णीते,865:अनुपरिगृह्णीते:n:ह्णी
bur:अनुप्रशोचे,667:अनुप्रशोचे:n:ओचे
yat:अनुबिधायित्व,1369:अनुबिधायित्व:n:बिध्
wil:अनुशृचिका,1664:अनुशृचिका:n:शृच्
yat:अनेकबिध,1419:अनेकबिध:n:बिध्
yat:अनेकबिधा,1420:अनेकबिधा:n:बिध्
bhs:अनोसान,1104:अनोसान:n:नोस्
yat:अन्तर्जोतिस्,1470:अन्तर्जोतिस्:n:र्जो
bhs:अपण्यीजात,1244:अपण्यीजात:n:यीज्
gst:अपराङ्गुख,4757:अपराङ्गुख:n:गुख्
acc:अप्पादीक्षित,905:अप्पादीक्षित:n:प्पा
acc:अप्पावाजपेयिन्,907:अप्पावाजपेयिन्:n:प्पा
acc:अप्पाशास्त्रिन्,906:अप्पाशास्त्रिन्:n:प्पा
acc:अप्पासूरि,908:अप्पासूरि:n:प्पा
gst:अप्यैदीक्षित,5358:अप्यैदीक्षित:n:यैद्
acc:अप्योदीक्षित,910:अप्योदीक्षित:n:प्यो
mw72:अप्रजञि,3886:अप्रजञि:n:अञि
ccs:अबलोयंस्,1454:अबलोयंस्:n:लोय्
gst:अब्धिडिण्डर,5795:अब्धिडिण्डर:n:धिड्
inm:अभिमन्योर्भार्या,12:अभिमन्योर्भार्या:n:ओर्भ्
vcp:अभिह्व्रत्,3563:अभिह्व्रत्:n:ह्व्र्
pe:अरुपत्तिमूवर्,468:अरुपत्तिमूवर्:n:मूव्
pe:अरुल्मोलिथेवर्,451:अरुल्मोलिथेवर्:n:लिथ्,थेव्
vcp:अर्घोश,4370:अर्घोश:n:घोश्
bhs:अर्चिःसमुद्रमुखवेगप्रदीप,1920:अर्चिःसमुद्रमुखवेगप्रदीप:n:चिः
vei:अर्यम्णःपन्था,146:अर्यम्णःपन्था:n:णः
yat:अर्शेहित,2885:अर्शेहित:n:शेह्
ccs:अलिकपणिडत,1914:अलिकपणिडत:n:णिड्
mw72:अवकुणठन,6121:अवकुणठन:n:णठ्
mw72:अवलुणठन,6610:अवलुणठन:n:णठ्
