bhs:अड्ढतिय,272:अड्ढतिय:n:ड्ढ्
acc:अपराजितपृछा,860:अपराजितपृछा:n:ऋछ्
sch:अप्रव्लव,3841:अप्रव्लव:n:व्ल्
vcp:अब्भ्रङ्कष,3195:अब्भ्रङ्कष:n:ब्भ्
mw:अब्लिङ्गा,11083:अब्लिङ्गा:n:ब्ल्
sch:अब्लिण्ग,3958:अब्लिण्ग:n:ब्ल्
bhs:अभिभ्वायतन,1586:अभिभ्वायतन:n:भ्व्
acc:अभिरामविआलंकार,982:अभिरामविआलंकार:n:इआ
vcp:अभ्युत्थेथ,3695:अभ्युत्थेथ:n:एथ्
ap90:अभ्ववस्कंद्,3605:अभ्ववस्कंद्:n:भ्व्
vei:अमित्रतपनशुष्मिणशैब्य,114:अमित्रतपनशुष्मिणशैब्य:n:ऐब्
pw:अस्थिशौथिल्य,12935:अस्थिशौथिल्य:n:औथ्
bhs:आकड्ढन,2503:आकड्ढन:n:ड्ढ्
mw72:आचाइक,8154:आचाइक:n:आइ
bur:आनर्फ,2211:आनर्फ:n:र्फ्
bhs:उच्चग्घन,3250:उच्चग्घन:n:ग्घ्
mw:उन्नतेछ,33796.1:उन्नतेछ:n:एछ्
ccs:उपरृपक,3601:उपरृपक:n:रृ
ccs:एकरृप,3961:एकरृप:n:रृ
acc:एकाक्षरीबैट्,2992:एकाक्षरीबैट्:n:बै
ccs:एवरृप,4059:एवरृप:n:रृ
ccs:कथंरृप,4276:कथंरृप:n:रृ
acc:कप्फिनाभ्युदय,3251:कप्फिनाभ्युदय:n:प्फ्
ccs:कामरृप,4704:कामरृप:n:रृ
acc:कालनिणर्यचंद्रिकालघ्वी,3956:कालनिणर्यचंद्रिकालघ्वी:n:घ्व्
acc:कृछ्रचान्द्रायणलक्षण,4522:कृछ्रचान्द्रायणलक्षण:n:ऋछ्
acc:कृष्णभट्टआर्डे,4657:कृष्णभट्टआर्डे:n:र्ड्
acc:कौथुमि,5156:कौथुमि:n:औथ्
mw:कौथुमी,57150:कौथुमी:n:औथ्
mw:क्रीळु,58213:क्रीळु:n:ळु,ईळ्
sch:क्षैब्य,11741:क्षैब्य:n:ऐब्
krm:खेरृ,363:खेरृ:n:रृ
acc:गायत्र्याऋषिछन्दोदेवतानुक्रमणिका,39805:गायत्र्याऋषिछन्दोदेवतानुक्रमणिका:n:आऋ
yat:गौथ्,13613:गौथ्:n:औथ्
mw:चतुरृद्धिपादचरणतलसुप्रतिष्ठित,71196:चतुरृद्धिपादचरणतलसुप्रतिष्ठित:n:रृ
acc:चतुश्चरणकलशाहूआनपद्धति,7036:चतुश्चरणकलशाहूआनपद्धति:n:ऊआ
ieg:चौथिआ,1238:चौथिआ:n:इआ,औथ्
pwg:जजाइण,74108:जजाइण:n:आइ
pwg:जज्जाइण,74111:जज्जाइण:n:आइ
ieg:जदिआक्षेत्र,2291:जदिआक्षेत्र:n:इआ
acc:जयपृछाधिकार,33054:जयपृछाधिकार:n:ऋछ्
acc:जयसिंहसवाई,7919:जयसिंहसवाई:n:आई
bur:जुह्वूर्षामि,7364:जुह्वूर्षामि:n:वू
pwg:ज्ञौदनीय्,120050:ज्ञौदनीय्:n:ञौ
pw:ज्ञौदानीय्,43446:ज्ञौदानीय्:n:ञौ
pw:झणझ्झणिति,43695:झणझ्झणिति:n:झ्झ्
vcp:झूलि,21685:झूलि:n:झू
ap:झूषिणी,15901:झूषिणी:n:झू
sch:झोलिका,14105:झोलिका:n:झो
pwg:ताईकदेश,74938:ताईकदेश:n:आई
ccs:त्रिवरृथ,9070:त्रिवरृथ:n:रृ
acc:त्रिष्खलशान्ति,9422:त्रिष्खलशान्ति:n:ष्ख्
acc:थोआक,9484:थोआक:n:ओआ
acc:थोआनन्द,9485:थोआनन्द:n:ओआ
vei:दक्षकात्यायनिआत्रेय,1239:दक्षकात्यायनिआत्रेय:n:इआ
ieg:दणाइक्,1372:दणाइक्:n:आइ
ieg:दण्णाइक्,1433:दण्णाइक्:n:आइ
pwg:देवहेउन,34729:देवहेउन:n:एउ
acc:द्युभ्वादिपादस्यदुर्वादिजयहालाहली,10449:द्युभ्वादिपादस्यदुर्वादिजयहालाहली:n:भ्व्
acc:द्वादशाहेछावाकप्रयोग,33783:द्वादशाहेछावाकप्रयोग:n:एछ्
pw:धूःषट्कवह,55697:धूःषट्कवह:n:ऊः
pwg:धोई,37049:धोई:n:ओई
ieg:नष्रान,3752:नष्रान:n:ष्र्
bur:निरृणामि,9936:निरृणामि:n:रृ
vcp:नेउली,29699:नेउली:n:एउ
acc:नैरृतलक्षणविचार,44497:नैरृतलक्षणविचार:n:रृ
vcp:नैरृतेया,29830:नैरृतेया:n:रृ
ieg:पञ्चवारवूरिडुवरि,7383:पञ्चवारवूरिडुवरि:n:वू
mw72:पर्युड्भृत,28442:पर्युड्भृत:n:ड्भ्
ieg:पसाइत,4209:पसाइत:n:आइ
acc:पाइयलच्छीनाममाला,13252:पाइयलच्छीनाममाला:n:आइ
vcp:पैठिनसि,33276:पैठिनसि:n:ऐठ्
ieg:पोर्रु,4408:पोर्रु:n:र्र्
ccs:पौरुह्वूत,15060:पौरुह्वूत:n:वू
pw:प्राप्तिशौथिल्य,74435:प्राप्तिशौथिल्य:n:औथ्
mw:प्रावृड्,140303:प्रावृड्:n:ऋड्
vcp:प्रावृडत्थय,34782:प्रावृडत्थय:n:ऋड्
ieg:फैण्डिआयायि,4354:फैण्डिआयायि:n:इआ
pui:बैजभृत्,9209:बैजभृत्:n:बै
mw:बैजवापयन,146455:बैजवापयन:n:बै
mw:बैडालिकर्णिकन्थ,146478:बैडालिकर्णिकन्थ:n:बै
pwg:बैतालिन्,95709:बैतालिन्:n:बै
yat:ब्लेक्ष,37040:ब्लेक्ष:n:ब्ल्
inm:भरतश्रेष्ठौ,1349:भरतश्रेष्ठौ:n:ठौ
acc:भाईभट्ट,35209:भाईभट्ट:n:आई
acc:मधुपर्ककौथुमशाखीय,45443:मधुपर्ककौथुमशाखीय:n:औथ्
bur:मरीमृड्ये,13083:मरीमृड्ये:n:ऋड्
ieg:महाशाइत्,3264:महाशाइत्:n:आइ
bur:मिमर्डिषामि,13365:मिमर्डिषामि:n:र्ड्
mw:मीळ्ह,164586.1:मीळ्ह:n:ईळ्ह्,ळ्ह
mw:मीळ्हु,164588:मीळ्हु:n:ळ्हु,ईळ्ह्
ieg:मुदर्रिरमन्,7348:मुदर्रिरमन्:n:र्र्
acc:मूत्रकृछ्रचिकित्सादि,35832:मूत्रकृछ्रचिकित्सादि:n:ऋछ्
ieg:मूलाइटन,3586:मूलाइटन:n:आइ
sch:मृडीची,21934:मृडीची:n:ऋड्
ieg:मेल्विट्टियवड्दारवुल,7340:मेल्विट्टियवड्दारवुल:n:ड्द्
acc:रामकृष्णदीक्षितनाह्नाभाई,19864:रामकृष्णदीक्षितनाह्नाभाई:n:आई
mw:रेळ्,179371.1:रेळ्:n:एळ्
ieg:वन्निआ,6400:वन्निआ:n:इआ
pw:वभ्लुक,98268:वभ्लुक:n:भ्ल्
ap:वर्वू,28644:वर्वू:n:वू
vei:वाऋष्णिवृद्ध,2906:वाऋष्णिवृद्ध:n:आऋ
bur:वाग्घीन,14962:वाग्घीन:n:ग्घ्
bhs:विकड्ढते,13599:विकड्ढते:n:ड्ढ्
acc:विट्ठलनामस्तोत्र,41108:विट्ठलनामस्तोत्र:n:ट्ठ्
acc:विट्ठलेशाष्टक,46618:विट्ठलेशाष्टक:n:ट्ठ्
acc:विट्ठलेश्वरचिन्तनप्रकार,46620:विट्ठलेश्वरचिन्तनप्रकार:n:ट्ठ्
acc:विट्ठलेश्वराष्टोत्तरशत,46621:विट्ठलेश्वराष्टोत्तरशत:n:ट्ठ्
ap90:विठंक,25862:विठंक:n:इठ्
bhs:विठपयति,13771:विठपयति:n:इठ्
ieg:विठविगार,6716:विठविगार:n:इठ्
yat:विड्बराह,34609:विड्बराह:n:ड्ब्
pe:विभ्वा,8238:विभ्वा:n:भ्व्
bur:वुवूर्षामि,15992:वुवूर्षामि:n:वू
bhs:वूदग्र,14394:वूदग्र:n:वू
skd:वृहड्ढक्का,33931:वृहड्ढक्का:n:ड्ढ्
pw:व्यासविट्ठलाचार्य,108816:व्यासविट्ठलाचार्य:n:ट्ठ्
mw:व्यूळ्ह,210304:व्यूळ्ह:n:ऊळ्ह्,ळ्ह
mw:व्यूळ्हच्छन्दस्,210304.25:व्यूळ्हच्छन्दस्:n:ऊळ्ह्,ळ्ह
bur:व्लेपयामि,16478:व्लेपयामि:n:व्ल्
pwg:शंवूक,97000:शंवूक:n:वू
pe:शाइवाल,5949:शाइवाल:n:आइ
ieg:शुर्रायक्काशु,7452:शुर्रायक्काशु:n:र्र्
pui:शैब्जा,14745:शैब्जा:n:ऐब्
inm:शैब्यसुग्रीववाहन,2221:शैब्यसुग्रीववाहन:n:ऐब्
inm:शैब्यात्मज,2222:शैब्यात्मज:n:ऐब्
mw:षट्चक्रभेदविवृतिटीका,224975.40:षट्चक्रभेदविवृतिटीका:n:ट्च्
acc:षडाम्नायषड्दर्शनसंक्षेपवाद,26412:षडाम्नायषड्दर्शनसंक्षेपवाद:n:ड्द्
mw:षडाम्नायषड्दशनसंक्षेपवाद,225129:षडाम्नायषड्दशनसंक्षेपवाद:n:ड्द्
bhs:संशृखला,15446:संशृखला:n:ऋख्
mw72:सड्भाव,48948:सड्भाव:n:ड्भ्
mw:सम्यग्घुत,237361:सम्यग्घुत:n:ग्घ्
ieg:ससैबर,7090:ससैबर:n:ऐब्
mw:साहित्यकौथूहल,243677:साहित्यकौथूहल:n:औथ्
acc:सिद्धार्थपृछा,28217:सिद्धार्थपृछा:n:ऋछ्
pui:सुदूघमुखी,16119:सुदूघमुखी:n:ऊघ्
pw:सुस्थेथ,128459:सुस्थेथ:n:एथ्
pui:सैबल्का,16751:सैबल्का:n:ऐब्
inm:स्कन्दोफ्यान,9967:स्कन्दोफ्यान:n:फ्य्
vcp:स्फ्याश्लिष्टेज्याधिकरण,47422:स्फ्याश्लिष्टेज्याधिकरण:n:फ्य्
acc:स्वयंभ्वग्निमाहात्म्य,39026:स्वयंभ्वग्निमाहात्म्य:n:भ्व्
pwg:हरेउ,116370:हरेउ:n:एउ
mw:हितेछा,262925:हितेछा:n:एछ्
mw:हेळ्,263977.1:हेळ्:n:एळ्
ieg:होब्लि,2253:होब्लि:n:ब्ल्
