vcp:अग्रेदिषिषूपति,428:अग्रेदिषिषूपति:n:षूप्
acc:अज्जोक,234:अज्जोक:n:ज्जो
bhs:अधिष्ठिहति,466:अधिष्ठिहति:n:ठिह्
gst:अधोघण्ठा,1999:अधोघण्ठा:n:धोघ्
stc:अनिर्देशेन,1474:अनिर्देशेन:n:एशे
skd:अनीचिदर्शी,1068:अनीचिदर्शी:n:र्शी
gst:अनुबीध,3165:अनुबीध:n:बीध्
acc:अन्वाधानीयेष्टिपद्धति,41886:अन्वाधानीयेष्टिपद्धति:n:ईये
cae:अपराङ्मूख,1913:अपराङ्मूख:n:मूख्
bur:अपशोशुचामि,923:अपशोशुचामि:n:शोश्
bhs:अपसव्यीकरोति,1332:अपसव्यीकरोति:n:व्यी
gst:अभिधोपाधिक,6049:अभिधोपाधिक:n:इधो
mw:अभ्याह्वे,13490:अभ्याह्वे:n:ह्वे
pw:अलब्धोपवास,9944:अलब्धोपवास:n:ब्धो
pw:अवघषण,10270:अवघषण:n:घष्
pw:अस्मोहिति,13009:अस्मोहिति:n:स्मो
mw:अहितेच्छु,21919:अहितेच्छु:n:तेच्
wil:आगन्तब्य,5058:आगन्तब्य:n:अब्य्
sch:आचार्यी,6714:आचार्यी:n:र्यी
acc:आपस्तम्बाग्निहोत्रप्रायश्चित्तदीपिका,2006:आपस्तम्बाग्निहोत्रप्रायश्चित्तदीपिका:n:बाग्
acc:आपस्तम्बीयाधानप्रकरणदीपिका,2015:आपस्तम्बीयाधानप्रकरणदीपिका:n:बीय्
acc:आपस्तम्बीयोपासनप्रयोग,2016:आपस्तम्बीयोपासनप्रयोग:n:बीय्
acc:आमलकीग्राममाहात्म्य,42137:आमलकीग्राममाहात्म्य:n:कीग्
shs:आमूस्त,5624:आमूस्त:n:मूस्
bur:आशोशुचामि,2505:आशोशुचामि:n:शोश्
vcp:आसिबन्धकि,7896:आसिबन्धकि:n:सिब्
mw:आसिबन्धिक,28022:आसिबन्धिक:n:सिब्
sch:आहर्तोस्,7567:आहर्तोस्:n:र्तो
acc:इन्द्रावरुणेष्टिहौत्र,2341:इन्द्रावरुणेष्टिहौत्र:n:इहौ
acc:उक्थ्यादिक्रतुहौत्र,31809:उक्थ्यादिक्रतुहौत्र:n:उहौ
acc:उत्सर्गेष्टिहौत्रप्रयोग,42264:उत्सर्गेष्टिहौत्रप्रयोग:n:इहौ
cae:उद्विग्नोद्विग्न,5626:उद्विग्नोद्विग्न:n:ग्नो
bhs:उपदेशेति,3677:उपदेशेति:n:एशे
sch:उष्णिहाककुभौ,8897:उष्णिहाककुभौ:n:उभौ
sch:एकबेरप्रतिष्ठाविधि,9113:एकबेरप्रतिष्ठाविधि:n:अबे
sch:ओघोपकरण,9343:ओघोपकरण:n:घोप्
sch:कङ्करौल,28359:कङ्करौल:n:रौल्
pw:कन्दगुदूची,24043:कन्दगुदूची:n:दूच्
pui:कपिथक,2478:कपिथक:n:पिथ्
ap:कर्णेटिरटिरा,11630:कर्णेटिरटिरा:n:णेट्
mw:कर्णेटिरिटिरा,44988:कर्णेटिरिटिरा:n:णेट्
vcp:कुडिहुञ्ची,13936:कुडिहुञ्ची:n:डिह्
acc:कुन्तेश्वरदौत्य,4345:कुन्तेश्वरदौत्य:n:अदौ
yat:कृच्छ्रोपनत,45032:कृच्छ्रोपनत:n:छ्रो
vcp:कृमिकोषोत्थ,14755:कृमिकोषोत्थ:n:ओषो
acc:केवलान्वयिग्रन्थदीधितिटीका,4940:केवलान्वयिग्रन्थदीधितिटीका:n:यिग्
acc:केशवदासखुशाली,5002:केशवदासखुशाली:n:खुश्
acc:केशिराजुब्राह्मण,5041:केशिराजुब्राह्मण:n:जुब्
cae:कोशोत्थ,8361:कोशोत्थ:n:ओशो
bhs:कोशोपगतवस्तिगुह्य,5257:कोशोपगतवस्तिगुह्य:n:ओशो
skd:क्षेपीयान्,9800:क्षेपीयान्:n:एपी
ap:खिच्चाच्ची,13669:खिच्चाच्ची:n:खिच्
mw:खिच्चि,61899:खिच्चि:n:खिच्
pw:गल्भाय्,35061:गल्भाय्:n:ल्भा
acc:गायत्रीब्राह्मणोल्लासतन्त्र,5910:गायत्रीब्राह्मणोल्लासतन्त्र:n:ईब्र्
mw:गुप्तवेषे,65931:गुप्तवेषे:n:एषे
acc:गूदडमल्ल,32653:गूदडमल्ल:n:गूद्
pw:घटोधनी,37712:घटोधनी:n:टोध्
mw:घटोध्नी,69283:घटोध्नी:n:टोध्
mw:घुरुघुरा,69826:घुरुघुरा:n:उघु
mw:घुरुघुराघोरनिर्घोष,69827:घुरुघुराघोरनिर्घोष:n:उघु
sch:घुरुघुरु,12776:घुरुघुरु:n:उघु
mw72:चञ्चूर्गमाण,18137:चञ्चूर्गमाण:n:ऊर्ग्
acc:चातुर्मास्येष्टिहौत्र,32909:चातुर्मास्येष्टिहौत्र:n:इहौ
skd:चुव,12728:चुव:n:चुव्
bur:चेक्षीये,6773:चेक्षीये:n:ईये
acc:चौण्डिसूरि,43430:चौण्डिसूरि:n:डिस्
pui:छिद्रदर्शी,4927:छिद्रदर्शी:n:र्शी
cae:जडिसन्,10952:जडिसन्:n:डिस्
ccs:जयधोष,7461:जयधोष:n:धोष्
acc:जियोक,8106:जियोक:n:जिय्
bur:जुघुक्षामि,7330:जुघुक्षामि:n:उघु
bur:जुघुषिषामि,7331:जुघुषिषामि:n:उघु
bur:जेजीये,7391:जेजीये:n:ईये
bur:जेहिंस्मि,7406:जेहिंस्मि:n:जेह्
acc:जोग्लोक,8179:जोग्लोक:n:ओग्ल्
pui:डिबिक,5262:डिबिक:n:डिब्
acc:तत्कालचन्द्रशुभाशुभफल,8494:तत्कालचन्द्रशुभाशुभफल:n:भफ्
pui:तत्वदर्शी,5279:तत्वदर्शी:n:र्शी
acc:तिथिकोष्ठीसंग्रह,9009:तिथिकोष्ठीसंग्रह:n:ठीस्
mw:तृतीयेन,86687:तृतीयेन:n:ईये
bhs:तेजोधिपति,7044:तेजोधिपति:n:जोध्
sch:तोयेन्धनानल,14813:तोयेन्धनानल:n:ओये
skd:त्रिकालदर्शी,15497:त्रिकालदर्शी:n:र्शी
acc:त्रैधातवीयेष्टि,33491:त्रैधातवीयेष्टि:n:ईये
pw:दधिषूपति,48805:दधिषूपति:n:षूप्
pw:दम्भोभि,49015:दम्भोभि:n:भोभ्
skd:दीर्घदर्शी,16536:दीर्घदर्शी:n:र्शी
skd:दूरदर्शी,16786:दूरदर्शी:n:र्शी
bur:देदेशिम,8959:देदेशिम:n:देद्
bur:देद्युत्ये,8961:देद्युत्ये:n:देद्
pgn:दोषीभोगपुष्करिणी,443:दोषीभोगपुष्करिणी:n:ईभो
mw:दोषोपचय,97087:दोषोपचय:n:ओषो
pw:द्रवदीड,53328:द्रवदीड:n:दीड्
shs:धातुकाशोश,20514:धातुकाशोश:n:शोश्
pw:धुनीचुमुरी,55484:धुनीचुमुरी:n:ईचु
ccs:नदीमूख,11441:नदीमूख:n:मूख्
pe:नम्बूतिरिस्,4705:नम्बूतिरिस्:n:बूत्
mw:नागरयायिग्रह,105249:नागरयायिग्रह:n:यिग्
pgn:नागीजोडाकक्षेत्र,433:नागीजोडाकक्षेत्र:n:गीज्
ccs:नातिदूर्ग,11741:नातिदूर्ग:n:ऊर्ग्
mw:निदेशे,108507:निदेशे:n:एशे
mw:निरवशेषेण,106660:निरवशेषेण:n:एषे
mw:निरुष्णतांनी,106914:निरुष्णतांनी:n:ंनी
sch:निर्लूनित,16979:निर्लूनित:n:र्लू
pw:निर्लूयनी,59548:निर्लूयनी:n:र्लू
mw:निर्विशेषेण,107329:निर्विशेषेण:n:एषे
bur:नुनूषामि,10274:नुनूषामि:n:उनू
pw:पचंबचा,61775:पचंबचा:n:बच्
acc:पञ्चाध्यायोपदेश,34349:पञ्चाध्यायोपदेश:n:चाध्
pw:परिखी,63694:परिखी:n:इखी
mw:परिघोपम,117326:परिघोपम:n:घोप्
skd:परिणामदर्शी,20510:परिणामदर्शी:n:र्शी
mw:परिमितेच्छता,118250.45:परिमितेच्छता:n:तेच्
mw:पर्याह्वे,119851:पर्याह्वे:n:ह्वे
mw:पर्युपह्वे,119890:पर्युपह्वे:n:ह्वे
bhs:पिथति,9529:पिथति:n:पिथ्
bhs:पिथन,9530:पिथन:n:पिथ्
pw:पिथय्,67074:पिथय्:n:पिथ्
pui:पिथर,7912:पिथर:n:पिथ्
mw:पिथित,124252:पिथित:n:पिथ्
sch:पिथुर,18531:पिथुर:n:पिथ्
acc:पूजोपयोगिसामानि,13753:पूजोपयोगिसामानि:n:ऊजो
mw:पृथूपाख्यान,128650:पृथूपाख्यान:n:थूप्
mw:पृष्ठदेशे,128847:पृष्ठदेशे:n:एशे
bur:पेपीये,11315:पेपीये:n:ईये,एपी
mw:पोषधोषित,129371:पोषधोषित:n:धोष्
vcp:पौरागीव,33379:पौरागीव:n:गीव्
shs:पौसवन,25967:पौसवन:n:पौस्
acc:प्रकृतिविकृतिहौत्रविचारव्यवस्था,34688:प्रकृतिविकृतिहौत्रविचारव्यवस्था:n:इहौ
bhs:प्रगल्भायते,9854:प्रगल्भायते:n:ल्भा
ap90:प्रणढ्,19735:प्रणढ्:n:णढ्
pw:प्रत्यवहर्तोस्,72030:प्रत्यवहर्तोस्:n:र्तो
vcp:प्रत्यापत्तिखी,33973:प्रत्यापत्तिखी:n:इखी
bhs:प्रदेशेति,10351:प्रदेशेति:n:एशे
