gra:अदुछुन,290:अदुछुन:n:उछ्
gra:अप्रयुछत्,717:अप्रयुछत्:n:उछ्
bur:आछिनद्मि,2078:आछिनद्मि:n:आछ्
bhs:आछिन्दन,2596:आछिन्दन:n:आछ्
bhs:आछोडित,2597:आछोडित:n:आछ्
acc:इन्द्रपुछ,2325:इन्द्रपुछ:n:उछ्
acc:ऋषिदेवताछन्दांसि,2924:ऋषिदेवताछन्दांसि:n:आछ्
ccs:एतदूश,4034:एतदूश:n:ऊश्
vei:कूशाम्बस्वायवलातव्य,684:कूशाम्बस्वायवलातव्य:n:ऊश्
acc:कूशीशविजय,4511:कूशीशविजय:n:ऊश्
bur:गुलुछ,5959:गुलुछ:n:उछ्
bhs:छिद्राछिद्र,6414:छिद्राछिद्र:n:आछ्
acc:छुछुकभट्ट,7635:छुछुकभट्ट:n:उछ्
acc:तुछलक्षण,9127:तुछलक्षण:n:उछ्
shs:नाशाछिन्नी,21478:नाशाछिन्नी:n:आछ्
ccs:निर्वेढर,12412:निर्वेढर:n:एढ्
acc:पुछब्रह्मवाद,13517:पुछब्रह्मवाद:n:उछ्
acc:पुछलक्षणक्रोड,13521:पुछलक्षणक्रोड:n:उछ्
acc:पुछलक्षणटीका,13520:पुछलक्षणटीका:n:उछ्
acc:पुछलक्षणदीधितिटीका,13522:पुछलक्षणदीधितिटीका:n:उछ्
acc:पुछलक्षणविवेचन,13524:पुछलक्षणविवेचन:n:उछ्
acc:पुछलक्षणानुगम,13525:पुछलक्षणानुगम:n:उछ्
vcp:पेढान,33231:पेढान:n:एढ्
acc:ब्राह्मणाछंसिप्रयोग,15480:ब्राह्मणाछंसिप्रयोग:n:आछ्
acc:ब्राह्मणाछंसिशस्त्र,15481:ब्राह्मणाछंसिशस्त्र:n:आछ्
acc:ब्राह्मणाछंसिशस्त्रमग्निष्टोमे,35125:ब्राह्मणाछंसिशस्त्रमग्निष्टोमे:n:आछ्
mw:भूमिकूश्मण्ड,152131:भूमिकूश्मण्ड:n:ऊश्
pui:मेढ्या,11017:मेढ्या:n:एढ्
ccs:लघूशिन्,20759:लघूशिन्:n:ऊश्
ccs:विवेढर्,22913:विवेढर्:n:एढ्
acc:शुनःपुछस्मृति,25539:शुनःपुछस्मृति:n:उछ्
mw72:शूशुवान,47050:शूशुवान:n:ऊश्
pui:श्रीभूशक्ति,14922:श्रीभूशक्ति:n:ऊश्
