pui:अकारादिक्षकारान्तवर्णमूर्ति,11:अकारादिक्षकारान्तवर्णमूर्ति:n:र्ति
mw:अखण्डोपधि,733.3:अखण्डोपधि:n:डोप्
cae:अग्निजिहू,211:अग्निजिहू:n:इहू
pe:अग्निषोम,76:अग्निषोम:n:इषो
bur:अतिवर्ते,314:अतिवर्ते:n:र्ते
mw72:अतिसौपर्णा,839:अतिसौपर्णा:n:इसौ
ccs:अतूतुचि,444:अतूतुचि:n:ऊतु
bhs:अध्यो,514:अध्यो:n:ध्यो
bhs:अध्योहरति,515:अध्योहरति:n:ध्यो
bhs:अनिवर्तिय,752:अनिवर्तिय:n:र्ति
sch:अनौजस्कता,27826:अनौजस्कता:n:नौज्
sch:अन्तराशृङ्गिल्य,3043:अन्तराशृङ्गिल्य:n:आशृ
mw:अन्तराशृङ्गीय,8227.2:अन्तराशृङ्गीय:n:आशृ
bur:अपवर्ते,912:अपवर्ते:n:र्ते
gst:अपूर्वोपयोगिन्,5275:अपूर्वोपयोगिन्:n:र्वो
sch:अपृथग्वर्तिन्,3653:अपृथग्वर्तिन्:n:र्ति
gst:अपोशान,5316:अपोशान:n:पोश्
mw:अप्तोर्यामन्,10446:अप्तोर्यामन्:n:ओर्य्
acc:अप्तोर्यामार्चिक,30073:अप्तोर्यामार्चिक:n:ओर्य्
bhs:अप्रतिवर्तिय,1387:अप्रतिवर्तिय:n:र्ति
bhs:अप्रतिहतगुणकीर्तिविमोक्षप्रभराज,1403:अप्रतिहतगुणकीर्तिविमोक्षप्रभराज:n:र्ति
pui:अप्रतीपी,602:अप्रतीपी:n:ईपी
pw:अबुबुत्समान,7125:अबुबुत्समान:n:बुब्
acc:अब्दपूर्तिप्रयोग,913:अब्दपूर्तिप्रयोग:n:र्ति
stc:अभिप्रवर्धित,3006:अभिप्रवर्धित:n:र्धि
mw72:अभिमर्धिन्,4613:अभिमर्धिन्:n:र्धि
bur:अभिवर्ते,1160:अभिवर्ते:n:र्ते
gst:अभिषिषिचान,6440:अभिषिषिचान:n:षिच्
vcp:अभिह्रत्,3561:अभिह्रत्:n:इह्र्
bur:अभ्युज्जुहोमि,1264:अभ्युज्जुहोमि:n:उहो
bur:अरार्ये,1390:अरार्ये:n:र्ये
pw:अर्धार्धिका,9751:अर्धार्धिका:n:र्धि
sch:अविपरिणामवर्तिन्,5598:अविपरिणामवर्तिन्:n:र्ति
mw:अविभागेन,18915:अविभागेन:n:आगे
bhs:अवैवर्तिय,2292:अवैवर्तिय:n:र्ति
mw:अशीतीष्टक,19587:अशीतीष्टक:n:तीष्
vcp:असंसर्गाग्रह,5707:असंसर्गाग्रह:n:गाग्
sch:असकृदावर्तिन्,6079:असकृदावर्तिन्:n:र्ति
bhs:असदृशगुणकीर्तिध्वज,2414:असदृशगुणकीर्तिध्वज:n:र्ति
sch:असितर्ति,6254:असितर्ति:n:र्ति
acc:असिताङ्गादियामल,1487:असिताङ्गादियामल:n:दिय्
pw:अस्पर्धितमनस्,12963:अस्पर्धितमनस्:n:र्धि
sch:अहीशवैरिन्,6502:अहीशवैरिन्:n:हीश्
sch:आदेयमूर्तिता,6921:आदेयमूर्तिता:n:र्ति
vcp:आनुयूष्य,6969:आनुयूष्य:n:उयू
mw:आपन्नार्तिप्रशमनफल,24892:आपन्नार्तिप्रशमनफल:n:र्ति
mw:आरोग्यप्रतिपद्व्रत,26369:आरोग्यप्रतिपद्व्रत:n:द्व्र्
mw:आहुतीषहि,28363.1:आहुतीषहि:n:तीष्
pui:इन्द्रस्पृग्,1568:इन्द्रस्पृग्:n:पृग्
bhs:इशाधार,3186:इशाधार:n:शाध्
vcp:ईशानादिपञ्चमूर्ति,8548:ईशानादिपञ्चमूर्ति:n:र्ति
sch:उड्डिडयिषु,7968:उड्डिडयिषु:n:डिड्,ड्डि
