mw:अंसोच्चय,104.1:अंसोच्चय:n:सोच्
bur:अकर्तार,16:अकर्तार:n:र्ता
bhs:अगणिय,93:अगणिय:n:णिय्
pw:अङ्घ्र्य,1094:अङ्घ्र्य:n:घ्र्य्
ccs:अतिजोगती,347:अतिजोगती:n:जोग्
bur:अतिभ्रवीमि,299:अतिभ्रवीमि:n:ईमि
mw:अदयीय,3659:अदयीय:n:यीय्
bhs:अदेक्षिय,390:अदेक्षिय:n:देक्
acc:अद्वैतस्तीत्र,399:अद्वैतस्तीत्र:n:ईत्र्
sch:अधिष्ठायिका,1807:अधिष्ठायिका:n:ठाय्
yat:अध्यबसायिन्,933:अध्यबसायिन्:n:बस्
mw:अध्युद्भृ,4691:अध्युद्भृ:n:द्भृ
bhs:अनधिष्ठापद,530:अनधिष्ठापद:n:ठाप्
bhs:अनन्तबलविघुष्टनिनादितश्रीसंभवमति,551:अनन्तबलविघुष्टनिनादितश्रीसंभवमति:n:इघु
bhs:अनन्तावर्ता,572:अनन्तावर्ता:n:र्ता
ap:अनन्याद्दश,1310:अनन्याद्दश:n:आद्द्
yat:अनबसर,1075:अनबसर:n:बस्
yat:अनबस्थिति,1080:अनबस्थिति:n:बस्
ccs:अनहोयमान,1647:अनहोयमान:n:होय्
sch:अनाथी,2340:अनाथी:n:आथी
acc:अनुमितिबृहट्टिप्पण,712:अनुमितिबृहट्टिप्पण:n:इबृ
bur:अनुवर्तामि,706:अनुवर्तामि:n:र्ता
acc:अन्नपूर्णादेवीत्रैलोक्यमोहनकवच,31467:अन्नपूर्णादेवीत्रैलोक्यमोहनकवच:n:ईत्र्
acc:अपराधसुन्दरस्तीत्र,41901:अपराधसुन्दरस्तीत्र:n:ईत्र्
mw72:अपिच्य,3747:अपिच्य:n:इच्य्
bhs:अभिरामवर्ता,1606:अभिरामवर्ता:n:र्ता
gst:अभिषिच्यमान,6438:अभिषिच्यमान:n:इच्य्
bhs:अभूत्वाश्रद्धा,1711:अभूत्वाश्रद्धा:n:ऊत्व्
pwg:अमियाण,64785:अमियाण:n:मिय्
ccs:अरिवथीय,1767:अरिवथीय:n:थीय्
bhs:अर्तीयना,1925:अर्तीयना:n:र्ती
bhs:अर्दीयते,1940:अर्दीयते:n:र्दी
pwg:अर्धुमुष्टि,5984:अर्धुमुष्टि:n:र्धु
mw:अर्यमिय,16403:अर्यमिय:n:मिय्
inm:अलम्बायन,385:अलम्बायन:n:बाय्
pw:अवलोगित,10665:अवलोगित:n:लोग्
bur:अवलोज,1637:अवलोज:n:लोज्
pwg:अवश्यकबृहद्वृत्त,65534:अवश्यकबृहद्वृत्त:n:अबृ
cae:अशोत्र,3547:अशोत्र:n:शोत्
cae:अशोत्रिय,3548:अशोत्रिय:n:शोत्
yat:अश्नुवान,3643:अश्नुवान:n:श्नु
sch:अष्टाह्नी,6021:अष्टाह्नी:n:ह्नी
sch:अष्टीवती,6024:अष्टीवती:n:टीव्
ccs:असंस्व्य,2287:असंस्व्य:n:स्व्य्
pui:असिसाहारीतायनस्,1082:असिसाहारीतायनस्:n:सिस्
sch:आकारोल्लेखिन्,6554:आकारोल्लेखिन्:n:एखि
acc:आगस्त्यव्याकरणोक्तशब्दसंग्रहनिघण्टु,1577:आगस्त्यव्याकरणोक्तशब्दसंग्रहनिघण्टु:n:णोक्
pwg:आजुनावक,9251:आजुनावक:n:आजु
ap90:आढयंकरण,6053:आढयंकरण:n:ढय्
pw:आत्मलाभीय,14237:आत्मलाभीय:n:भीय्
